as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,8080,1,1-999,12870,544363,0.81
20260709,8080,2,"1,000-5,000",1308,2493162,3.71
20260709,8080,3,"5,001-10,000",144,1107374,1.64
20260709,8080,4,"10,001-15,000",44,567351,0.84
20260709,8080,5,"15,001-20,000",25,459678,0.68
20260709,8080,6,"20,001-30,000",27,690053,1.02
20260709,8080,7,"30,001-40,000",12,411345,0.61
20260709,8080,8,"40,001-50,000",8,371050,0.55
20260709,8080,9,"50,001-100,000",17,1275800,1.89
20260709,8080,10,"100,001-200,000",9,1356800,2.02
20260709,8080,11,"200,001-400,000",5,1384200,2.06
20260709,8080,12,"400,001-600,000",1,426902,0.63
20260709,8080,13,"600,001-800,000",1,640355,0.95
20260709,8080,14,"800,001-1,000,000",0,0,0.0
20260709,8080,15,"1,000,001以上",2,55435388,82.53
20260709,8080,16,合　計,14473,67163821,100.0
