as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6277,1,1-999,2158,390269,0.32
20260709,6277,2,"1,000-5,000",6198,12860214,10.76
20260709,6277,3,"5,001-10,000",1020,7846255,6.56
20260709,6277,4,"10,001-15,000",327,4184104,3.5
20260709,6277,5,"15,001-20,000",186,3381725,2.83
20260709,6277,6,"20,001-30,000",164,4165713,3.48
20260709,6277,7,"30,001-40,000",76,2699785,2.25
20260709,6277,8,"40,001-50,000",54,2475014,2.07
20260709,6277,9,"50,001-100,000",88,5988294,5.01
20260709,6277,10,"100,001-200,000",32,4367620,3.65
20260709,6277,11,"200,001-400,000",17,4703588,3.93
20260709,6277,12,"400,001-600,000",12,5777503,4.83
20260709,6277,13,"600,001-800,000",6,4121226,3.44
20260709,6277,14,"800,001-1,000,000",5,4331047,3.62
20260709,6277,15,"1,000,001以上",17,52178809,43.67
20260709,6277,16,合　計,10360,119471166,100.0
