as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,1570,1,1-999,32512,168870,0.32
20260709,1570,2,"1,000-5,000",1721,3649361,7.08
20260709,1570,3,"5,001-10,000",290,2284055,4.43
20260709,1570,4,"10,001-15,000",99,1265752,2.45
20260709,1570,5,"15,001-20,000",58,1065027,2.06
20260709,1570,6,"20,001-30,000",66,1642718,3.18
20260709,1570,7,"30,001-40,000",27,964000,1.87
20260709,1570,8,"40,001-50,000",25,1150000,2.23
20260709,1570,9,"50,001-100,000",53,3963572,7.69
20260709,1570,10,"100,001-200,000",28,3725000,7.23
20260709,1570,11,"200,001-400,000",11,2885000,5.6
20260709,1570,12,"400,001-600,000",8,4089000,7.93
20260709,1570,13,"600,001-800,000",1,722000,1.4
20260709,1570,14,"800,001-1,000,000",2,1809000,3.51
20260709,1570,15,"1,000,001以上",2,22117484,42.94
20260709,1570,16,合　計,34903,51500839,100.0
