as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6560,1,1-999,887,160906,0.49
20260709,6560,2,"1,000-5,000",1905,3904582,12.02
20260709,6560,3,"5,001-10,000",261,2012624,6.19
20260709,6560,4,"10,001-15,000",90,1136059,3.49
20260709,6560,5,"15,001-20,000",51,917635,2.82
20260709,6560,6,"20,001-30,000",58,1459315,4.49
20260709,6560,7,"30,001-40,000",19,674042,2.07
20260709,6560,8,"40,001-50,000",17,810272,2.49
20260709,6560,9,"50,001-100,000",36,2593284,7.98
20260709,6560,10,"100,001-200,000",21,2798693,8.61
20260709,6560,11,"200,001-400,000",11,3210873,9.88
20260709,6560,12,"400,001-600,000",1,500000,1.53
20260709,6560,13,"600,001-800,000",0,0,0.0
20260709,6560,14,"800,001-1,000,000",2,1809000,5.57
20260709,6560,15,"1,000,001以上",3,10487430,32.29
20260709,6560,16,合　計,3362,32474715,100.0
