as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,8081,1,1-999,11415,988305,1.14
20260709,8081,2,"1,000-5,000",8065,13767051,15.97
20260709,8081,3,"5,001-10,000",603,4686796,5.43
20260709,8081,4,"10,001-15,000",176,2259945,2.62
20260709,8081,5,"15,001-20,000",99,1818701,2.11
20260709,8081,6,"20,001-30,000",90,2280073,2.64
20260709,8081,7,"30,001-40,000",60,2150664,2.49
20260709,8081,8,"40,001-50,000",33,1472457,1.7
20260709,8081,9,"50,001-100,000",78,5660631,6.56
20260709,8081,10,"100,001-200,000",51,7231967,8.39
20260709,8081,11,"200,001-400,000",34,9165839,10.63
20260709,8081,12,"400,001-600,000",13,6139687,7.12
20260709,8081,13,"600,001-800,000",4,2690794,3.12
20260709,8081,14,"800,001-1,000,000",4,3535188,4.1
20260709,8081,15,"1,000,001以上",5,22323974,25.9
20260709,8081,16,合　計,20730,86172072,100.0
