as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,2002,1,1-999,321250,45356854,0.28
20260709,2002,2,"1,000-5,000",744693,1509636504,9.59
20260709,2002,3,"5,001-10,000",138606,1047858932,6.65
20260709,2002,4,"10,001-15,000",51417,634855750,4.03
20260709,2002,5,"15,001-20,000",30013,544879702,3.46
20260709,2002,6,"20,001-30,000",26126,650486980,4.13
20260709,2002,7,"30,001-40,000",12025,422996411,2.68
20260709,2002,8,"40,001-50,000",7562,347300554,2.2
20260709,2002,9,"50,001-100,000",12744,900809742,5.72
20260709,2002,10,"100,001-200,000",5605,772859755,4.91
20260709,2002,11,"200,001-400,000",2604,717064949,4.55
20260709,2002,12,"400,001-600,000",701,338990675,2.15
20260709,2002,13,"600,001-800,000",229,156547930,0.99
20260709,2002,14,"800,001-1,000,000",113,100896052,0.64
20260709,2002,15,"1,000,001以上",483,7544320207,47.94
20260709,2002,16,合　計,1354171,15734860997,100.0
