as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,1530,1,1-999,6704,1333001,1.4
20260709,1530,2,"1,000-5,000",3382,6471167,6.84
20260709,1530,3,"5,001-10,000",384,2877269,3.04
20260709,1530,4,"10,001-15,000",142,1766966,1.86
20260709,1530,5,"15,001-20,000",58,1030926,1.08
20260709,1530,6,"20,001-30,000",69,1737603,1.83
20260709,1530,7,"30,001-40,000",45,1566470,1.65
20260709,1530,8,"40,001-50,000",13,599386,0.63
20260709,1530,9,"50,001-100,000",31,2183965,2.3
20260709,1530,10,"100,001-200,000",11,1394469,1.47
20260709,1530,11,"200,001-400,000",7,1793333,1.89
20260709,1530,12,"400,001-600,000",6,3125908,3.3
20260709,1530,13,"600,001-800,000",1,786728,0.83
20260709,1530,14,"800,001-1,000,000",2,1646562,1.74
20260709,1530,15,"1,000,001以上",6,66280418,70.06
20260709,1530,16,合　計,10861,94594171,100.0
