as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6104,1,1-999,39029,1219250,1.33
20260709,6104,2,"1,000-5,000",15215,28041403,30.77
20260709,6104,3,"5,001-10,000",1323,10191459,11.18
20260709,6104,4,"10,001-15,000",353,4525794,4.96
20260709,6104,5,"15,001-20,000",211,3918932,4.3
20260709,6104,6,"20,001-30,000",159,4023645,4.41
20260709,6104,7,"30,001-40,000",81,2925478,3.21
20260709,6104,8,"40,001-50,000",44,2051670,2.25
20260709,6104,9,"50,001-100,000",83,5903641,6.47
20260709,6104,10,"100,001-200,000",32,4398053,4.82
20260709,6104,11,"200,001-400,000",18,4986503,5.47
20260709,6104,12,"400,001-600,000",6,2688124,2.94
20260709,6104,13,"600,001-800,000",3,2037719,2.23
20260709,6104,14,"800,001-1,000,000",2,1820000,1.99
20260709,6104,15,"1,000,001以上",7,12397436,13.6
20260709,6104,16,合　計,56566,91129107,100.0
