as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260102,1805,4,"10,001-15,000",122,1570920,1.16
20260102,1805,5,"15,001-20,000",77,1380642,1.02
20260102,1805,6,"20,001-30,000",96,2448022,1.81
20260102,1805,7,"30,001-40,000",48,1720117,1.27
20260102,1805,8,"40,001-50,000",30,1383559,1.02
20260102,1805,9,"50,001-100,000",69,5031660,3.72
20260102,1805,10,"100,001-200,000",30,4388253,3.25
20260102,1805,11,"200,001-400,000",20,5569250,4.12
20260102,1805,12,"400,001-600,000",13,6546660,4.85
20260102,1805,13,"600,001-800,000",3,2131000,1.57
20260102,1805,14,"800,001-1,000,000",4,3785948,2.8
20260102,1805,15,"1,000,001以上",20,91935503,68.11
20260102,1805,16,合　計,9764,134970455,100.0
20260109,1805,1,1-999,6861,866071,0.64
20260109,1805,2,"1,000-5,000",2043,3909728,2.89
20260109,1805,3,"5,001-10,000",283,2212072,1.63
20260109,1805,4,"10,001-15,000",118,1517920,1.12
20260109,1805,5,"15,001-20,000",72,1290927,0.95
20260109,1805,6,"20,001-30,000",100,2535557,1.87
20260109,1805,7,"30,001-40,000",49,1748348,1.29
20260109,1805,8,"40,001-50,000",28,1286559,0.95
20260109,1805,9,"50,001-100,000",69,5107668,3.78
20260109,1805,10,"100,001-200,000",31,4506253,3.33
20260109,1805,11,"200,001-400,000",20,5632250,4.17
20260109,1805,12,"400,001-600,000",13,6544660,4.84
20260109,1805,13,"600,001-800,000",3,2131000,1.57
20260109,1805,14,"800,001-1,000,000",4,3787948,2.8
20260109,1805,15,"1,000,001以上",20,91893494,68.08
20260109,1805,16,合　計,9714,134970455,100.0
20260116,1805,1,1-999,6849,863411,0.63
20260116,1805,2,"1,000-5,000",2022,3867238,2.86
20260116,1805,3,"5,001-10,000",285,2227360,1.65
20260116,1805,4,"10,001-15,000",121,1557634,1.15
20260116,1805,5,"15,001-20,000",71,1276609,0.94
20260116,1805,6,"20,001-30,000",100,2532064,1.87
20260116,1805,7,"30,001-40,000",52,1854348,1.37
20260116,1805,8,"40,001-50,000",29,1342559,0.99
20260116,1805,9,"50,001-100,000",67,4953660,3.67
20260116,1805,10,"100,001-200,000",30,4267953,3.16
20260116,1805,11,"200,001-400,000",21,5871550,4.35
20260116,1805,12,"400,001-600,000",13,6464660,4.78
20260116,1805,13,"600,001-800,000",3,2131000,1.57
20260116,1805,14,"800,001-1,000,000",4,3788948,2.8
20260116,1805,15,"1,000,001以上",20,91971461,68.14
20260116,1805,16,合　計,9687,134970455,100.0
20260123,1805,1,1-999,6832,859376,0.63
20260123,1805,2,"1,000-5,000",2012,3858955,2.85
20260123,1805,3,"5,001-10,000",285,2222180,1.64
20260123,1805,4,"10,001-15,000",125,1610332,1.19
20260123,1805,5,"15,001-20,000",76,1367714,1.01
20260123,1805,6,"20,001-30,000",101,2569762,1.9
20260123,1805,7,"30,001-40,000",47,1654498,1.22
20260123,1805,8,"40,001-50,000",30,1375158,1.01
20260123,1805,9,"50,001-100,000",69,5038908,3.73
20260123,1805,10,"100,001-200,000",31,4317953,3.19
20260123,1805,11,"200,001-400,000",23,6521550,4.83
20260123,1805,12,"400,001-600,000",11,5547660,4.11
20260123,1805,13,"600,001-800,000",3,2131000,1.57
20260123,1805,14,"800,001-1,000,000",3,2789948,2.06
20260123,1805,15,"1,000,001以上",21,93105461,68.98
20260123,1805,16,合　計,9669,134970455,100.0
20260130,1805,1,1-999,6824,857027,0.63
20260130,1805,2,"1,000-5,000",1992,3816400,2.82
20260130,1805,3,"5,001-10,000",279,2178237,1.61
20260130,1805,4,"10,001-15,000",125,1611637,1.19
20260130,1805,5,"15,001-20,000",72,1299354,0.96
20260130,1805,6,"20,001-30,000",102,2617217,1.93
20260130,1805,7,"30,001-40,000",49,1720945,1.27
20260130,1805,8,"40,001-50,000",28,1281158,0.94
20260130,1805,9,"50,001-100,000",69,5062908,3.75
20260130,1805,10,"100,001-200,000",32,4559953,3.37
20260130,1805,11,"200,001-400,000",21,5915550,4.38
20260130,1805,12,"400,001-600,000",12,5999660,4.44
20260130,1805,13,"600,001-800,000",3,2131000,1.57
20260130,1805,14,"800,001-1,000,000",3,2789948,2.06
20260130,1805,15,"1,000,001以上",21,93129461,68.99
20260130,1805,16,合　計,9632,134970455,100.0
20260206,1805,1,1-999,6816,855819,0.63
20260206,1805,2,"1,000-5,000",1970,3754694,2.78
20260206,1805,3,"5,001-10,000",276,2147761,1.59
20260206,1805,4,"10,001-15,000",123,1590732,1.17
20260206,1805,5,"15,001-20,000",68,1219409,0.9
20260206,1805,6,"20,001-30,000",101,2586457,1.91
20260206,1805,7,"30,001-40,000",52,1840496,1.36
20260206,1805,8,"40,001-50,000",27,1242607,0.92
20260206,1805,9,"50,001-100,000",70,5104908,3.78
20260206,1805,10,"100,001-200,000",31,4414953,3.27
