as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,8929,1,1-999,7048,1641439,3.24
20260709,8929,2,"1,000-5,000",3814,7922829,15.66
20260709,8929,3,"5,001-10,000",518,3676984,7.26
20260709,8929,4,"10,001-15,000",157,1902864,3.76
20260709,8929,5,"15,001-20,000",62,1079911,2.13
20260709,8929,6,"20,001-30,000",70,1721362,3.4
20260709,8929,7,"30,001-40,000",26,892364,1.76
20260709,8929,8,"40,001-50,000",23,1024628,2.02
20260709,8929,9,"50,001-100,000",42,3090601,6.11
20260709,8929,10,"100,001-200,000",13,1752448,3.46
20260709,8929,11,"200,001-400,000",10,2765427,5.46
20260709,8929,12,"400,001-600,000",2,1046578,2.06
20260709,8929,13,"600,001-800,000",2,1397899,2.76
20260709,8929,14,"800,001-1,000,000",1,846217,1.67
20260709,8929,15,"1,000,001以上",5,19819311,39.18
20260709,8929,16,合　計,11793,50580862,100.0
