as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,7744,1,1-999,1729,193494,0.6
20260709,7744,2,"1,000-5,000",942,1708503,5.32
20260709,7744,3,"5,001-10,000",72,579601,1.8
20260709,7744,4,"10,001-15,000",28,350852,1.09
20260709,7744,5,"15,001-20,000",14,259934,0.81
20260709,7744,6,"20,001-30,000",16,397086,1.23
20260709,7744,7,"30,001-40,000",6,215313,0.67
20260709,7744,8,"40,001-50,000",9,415000,1.29
20260709,7744,9,"50,001-100,000",4,260710,0.81
20260709,7744,10,"100,001-200,000",10,1500017,4.67
20260709,7744,11,"200,001-400,000",4,946000,2.94
20260709,7744,12,"400,001-600,000",3,1489000,4.64
20260709,7744,13,"600,001-800,000",2,1396200,4.35
20260709,7744,14,"800,001-1,000,000",4,3564000,11.11
20260709,7744,15,"1,000,001以上",7,18801000,58.61
20260709,7744,16,合　計,2850,32076710,100.0
