as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,7704,1,1-999,477,49824,0.14
20260709,7704,2,"1,000-5,000",956,1849946,5.47
20260709,7704,3,"5,001-10,000",125,992755,2.93
20260709,7704,4,"10,001-15,000",45,586581,1.73
20260709,7704,5,"15,001-20,000",38,699571,2.07
20260709,7704,6,"20,001-30,000",33,844548,2.5
20260709,7704,7,"30,001-40,000",20,686547,2.03
20260709,7704,8,"40,001-50,000",6,269769,0.79
20260709,7704,9,"50,001-100,000",21,1460120,4.32
20260709,7704,10,"100,001-200,000",17,2504197,7.41
20260709,7704,11,"200,001-400,000",13,3770402,11.16
20260709,7704,12,"400,001-600,000",6,2947921,8.72
20260709,7704,13,"600,001-800,000",1,655909,1.94
20260709,7704,14,"800,001-1,000,000",2,1889317,5.59
20260709,7704,15,"1,000,001以上",4,14562397,43.12
20260709,7704,16,合　計,1764,33769804,100.0
