as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,3152,1,1-999,5305,1591751,4.07
20260709,3152,2,"1,000-5,000",2488,4679989,11.99
20260709,3152,3,"5,001-10,000",313,2154268,5.52
20260709,3152,4,"10,001-15,000",91,1087322,2.78
20260709,3152,5,"15,001-20,000",56,963993,2.47
20260709,3152,6,"20,001-30,000",40,976340,2.5
20260709,3152,7,"30,001-40,000",25,866975,2.22
20260709,3152,8,"40,001-50,000",18,788269,2.02
20260709,3152,9,"50,001-100,000",32,2154183,5.52
20260709,3152,10,"100,001-200,000",22,3178262,8.14
20260709,3152,11,"200,001-400,000",14,3577954,9.17
20260709,3152,12,"400,001-600,000",2,1130638,2.89
20260709,3152,13,"600,001-800,000",2,1231259,3.15
20260709,3152,14,"800,001-1,000,000",4,3702374,9.48
20260709,3152,15,"1,000,001以上",7,10932623,28.02
20260709,3152,16,合　計,8419,39016200,100.0
