as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6242,1,1-999,1448,208963,0.65
20260709,6242,2,"1,000-5,000",1344,2678249,8.42
20260709,6242,3,"5,001-10,000",200,1461714,4.59
20260709,6242,4,"10,001-15,000",66,839504,2.63
20260709,6242,5,"15,001-20,000",25,447219,1.4
20260709,6242,6,"20,001-30,000",37,939084,2.95
20260709,6242,7,"30,001-40,000",14,490356,1.54
20260709,6242,8,"40,001-50,000",5,228342,0.71
20260709,6242,9,"50,001-100,000",15,1006391,3.16
20260709,6242,10,"100,001-200,000",12,1620149,5.09
20260709,6242,11,"200,001-400,000",6,1628264,5.11
20260709,6242,12,"400,001-600,000",2,1082337,3.4
20260709,6242,13,"600,001-800,000",1,669834,2.1
20260709,6242,14,"800,001-1,000,000",1,862905,2.71
20260709,6242,15,"1,000,001以上",3,17643189,55.47
20260709,6242,16,合　計,3179,31806500,100.0
