as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,5356,1,1-999,44907,1381296,1.34
20260709,5356,2,"1,000-5,000",6139,13649747,13.24
20260709,5356,3,"5,001-10,000",1038,8129621,7.88
20260709,5356,4,"10,001-15,000",291,3665091,3.55
20260709,5356,5,"15,001-20,000",209,3770913,3.65
20260709,5356,6,"20,001-30,000",164,4130854,4.0
20260709,5356,7,"30,001-40,000",71,2506520,2.43
20260709,5356,8,"40,001-50,000",46,2105204,2.04
20260709,5356,9,"50,001-100,000",85,6137122,5.95
20260709,5356,10,"100,001-200,000",52,7476198,7.25
20260709,5356,11,"200,001-400,000",17,4687060,4.54
20260709,5356,12,"400,001-600,000",3,1607000,1.55
20260709,5356,13,"600,001-800,000",3,2159446,2.09
20260709,5356,14,"800,001-1,000,000",1,848000,0.82
20260709,5356,15,"1,000,001以上",16,40785928,39.58
20260709,5356,16,合　計,53042,103040000,100.0
