as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6609,1,1-999,3064,390299,0.53
20260709,6609,2,"1,000-5,000",5305,9938409,13.71
20260709,6609,3,"5,001-10,000",624,4743795,6.54
20260709,6609,4,"10,001-15,000",172,2144369,2.95
20260709,6609,5,"15,001-20,000",85,1582348,2.18
20260709,6609,6,"20,001-30,000",74,1901472,2.62
20260709,6609,7,"30,001-40,000",39,1364125,1.88
20260709,6609,8,"40,001-50,000",22,1027267,1.41
20260709,6609,9,"50,001-100,000",43,2999969,4.14
20260709,6609,10,"100,001-200,000",25,3270302,4.51
20260709,6609,11,"200,001-400,000",6,1813211,2.5
20260709,6609,12,"400,001-600,000",2,1051000,1.45
20260709,6609,13,"600,001-800,000",0,0,0.0
20260709,6609,14,"800,001-1,000,000",0,0,0.0
20260709,6609,15,"1,000,001以上",4,40229680,55.52
20260709,6609,16,合　計,9465,72456246,100.0
