as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,8110,1,1-999,17978,2933861,0.56
20260709,8110,2,"1,000-5,000",53500,102880618,19.87
20260709,8110,3,"5,001-10,000",5516,44862196,8.66
20260709,8110,4,"10,001-15,000",1247,16235625,3.13
20260709,8110,5,"15,001-20,000",832,15797722,3.05
20260709,8110,6,"20,001-30,000",562,14553046,2.81
20260709,8110,7,"30,001-40,000",239,8581264,1.65
20260709,8110,8,"40,001-50,000",164,7726933,1.49
20260709,8110,9,"50,001-100,000",193,13830187,2.67
20260709,8110,10,"100,001-200,000",67,9293893,1.79
20260709,8110,11,"200,001-400,000",32,9380636,1.81
20260709,8110,12,"400,001-600,000",14,6948556,1.34
20260709,8110,13,"600,001-800,000",6,4115000,0.79
20260709,8110,14,"800,001-1,000,000",4,3558956,0.68
20260709,8110,15,"1,000,001以上",19,257041383,49.64
20260709,8110,16,合　計,80373,517739876,100.0
