as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,3317,1,1-999,46144,1721709,1.91
20260709,3317,2,"1,000-5,000",15308,27190003,30.21
20260709,3317,3,"5,001-10,000",1199,9033777,10.03
20260709,3317,4,"10,001-15,000",333,4222797,4.69
20260709,3317,5,"15,001-20,000",152,2766244,3.07
20260709,3317,6,"20,001-30,000",135,3453216,3.83
20260709,3317,7,"30,001-40,000",44,1536289,1.7
20260709,3317,8,"40,001-50,000",36,1616857,1.79
20260709,3317,9,"50,001-100,000",55,3892635,4.32
20260709,3317,10,"100,001-200,000",27,3593547,3.99
20260709,3317,11,"200,001-400,000",14,3803946,4.22
20260709,3317,12,"400,001-600,000",8,3859217,4.28
20260709,3317,13,"600,001-800,000",2,1392787,1.54
20260709,3317,14,"800,001-1,000,000",0,0,0.0
20260709,3317,15,"1,000,001以上",7,21916976,24.35
20260709,3317,16,合　計,63464,90000000,100.0
