as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,5011,1,1-999,28025,241872,0.24
20260709,5011,2,"1,000-5,000",4186,8668304,8.61
20260709,5011,3,"5,001-10,000",745,6103139,6.06
20260709,5011,4,"10,001-15,000",223,2899701,2.88
20260709,5011,5,"15,001-20,000",148,2778392,2.75
20260709,5011,6,"20,001-30,000",132,3388453,3.36
20260709,5011,7,"30,001-40,000",77,2782298,2.76
20260709,5011,8,"40,001-50,000",54,2536462,2.51
20260709,5011,9,"50,001-100,000",88,6409877,6.36
20260709,5011,10,"100,001-200,000",52,7494161,7.44
20260709,5011,11,"200,001-400,000",29,7535904,7.48
20260709,5011,12,"400,001-600,000",6,2958586,2.93
20260709,5011,13,"600,001-800,000",6,3995716,3.96
20260709,5011,14,"800,001-1,000,000",6,5323000,5.28
20260709,5011,15,"1,000,001以上",14,37558057,37.3
20260709,5011,16,合　計,33791,100673922,100.0
