as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,5533,1,1-999,1851,405000,0.14
20260709,5533,2,"1,000-5,000",2345,5263477,1.84
20260709,5533,3,"5,001-10,000",558,4367100,1.53
20260709,5533,4,"10,001-15,000",201,2540928,0.89
20260709,5533,5,"15,001-20,000",150,2707746,0.94
20260709,5533,6,"20,001-30,000",166,4244286,1.48
20260709,5533,7,"30,001-40,000",73,2557006,0.89
20260709,5533,8,"40,001-50,000",44,1990319,0.69
20260709,5533,9,"50,001-100,000",124,8838228,3.09
20260709,5533,10,"100,001-200,000",75,10310099,3.61
20260709,5533,11,"200,001-400,000",44,13371122,4.68
20260709,5533,12,"400,001-600,000",19,8704259,3.05
20260709,5533,13,"600,001-800,000",17,11434081,4.0
20260709,5533,14,"800,001-1,000,000",6,5452036,1.91
20260709,5533,15,"1,000,001以上",35,203059257,71.18
20260709,5533,16,合　計,5708,285244944,100.0
