as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,5301,1,1-999,3053,594892,0.9
20260709,5301,2,"1,000-5,000",632,1522391,2.31
20260709,5301,3,"5,001-10,000",157,1152984,1.74
20260709,5301,4,"10,001-15,000",56,703258,1.06
20260709,5301,5,"15,001-20,000",25,440534,0.66
20260709,5301,6,"20,001-30,000",33,811940,1.23
20260709,5301,7,"30,001-40,000",18,638840,0.96
20260709,5301,8,"40,001-50,000",12,539660,0.81
20260709,5301,9,"50,001-100,000",18,1157678,1.75
20260709,5301,10,"100,001-200,000",17,2234796,3.39
20260709,5301,11,"200,001-400,000",10,2898082,4.39
20260709,5301,12,"400,001-600,000",3,1473361,2.23
20260709,5301,13,"600,001-800,000",1,624423,0.94
20260709,5301,14,"800,001-1,000,000",3,2622658,3.98
20260709,5301,15,"1,000,001以上",4,48474807,73.56
20260709,5301,16,合　計,4042,65890304,100.0
