as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6658,1,1-999,7335,340485,0.93
20260709,6658,2,"1,000-5,000",3191,5452609,14.99
20260709,6658,3,"5,001-10,000",280,2173123,5.97
20260709,6658,4,"10,001-15,000",78,1008829,2.77
20260709,6658,5,"15,001-20,000",55,1018187,2.79
20260709,6658,6,"20,001-30,000",53,1300150,3.57
20260709,6658,7,"30,001-40,000",37,1300013,3.57
20260709,6658,8,"40,001-50,000",15,682413,1.87
20260709,6658,9,"50,001-100,000",35,2432159,6.68
20260709,6658,10,"100,001-200,000",23,3247775,8.92
20260709,6658,11,"200,001-400,000",7,1845520,5.07
20260709,6658,12,"400,001-600,000",4,1996972,5.49
20260709,6658,13,"600,001-800,000",3,2158010,5.93
20260709,6658,14,"800,001-1,000,000",0,0,0.0
20260709,6658,15,"1,000,001以上",5,11413755,31.38
20260709,6658,16,合　計,11121,36370000,100.0
