as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,3484,1,1-999,39320,547884,0.69
20260709,3484,2,"1,000-5,000",6698,12976074,16.46
20260709,3484,3,"5,001-10,000",859,6525819,8.27
20260709,3484,4,"10,001-15,000",289,3623780,4.59
20260709,3484,5,"15,001-20,000",159,2897428,3.67
20260709,3484,6,"20,001-30,000",171,4248410,5.38
20260709,3484,7,"30,001-40,000",61,2160101,2.74
20260709,3484,8,"40,001-50,000",32,1451103,1.84
20260709,3484,9,"50,001-100,000",89,6219376,7.88
20260709,3484,10,"100,001-200,000",36,5025685,6.37
20260709,3484,11,"200,001-400,000",32,8904288,11.29
20260709,3484,12,"400,001-600,000",5,2313849,2.93
20260709,3484,13,"600,001-800,000",3,2089511,2.65
20260709,3484,14,"800,001-1,000,000",3,2601840,3.3
20260709,3484,15,"1,000,001以上",10,17243041,21.87
20260709,3484,16,合　計,47767,78828189,100.0
