as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6890,1,1-999,3588,595950,0.23
20260709,6890,2,"1,000-5,000",3277,5851562,2.33
20260709,6890,3,"5,001-10,000",277,2102579,0.84
20260709,6890,4,"10,001-15,000",82,1046226,0.41
20260709,6890,5,"15,001-20,000",39,704908,0.28
20260709,6890,6,"20,001-30,000",29,705810,0.28
20260709,6890,7,"30,001-40,000",26,929602,0.37
20260709,6890,8,"40,001-50,000",19,865828,0.34
20260709,6890,9,"50,001-100,000",25,1719524,0.68
20260709,6890,10,"100,001-200,000",17,2293183,0.91
20260709,6890,11,"200,001-400,000",3,733000,0.29
20260709,6890,12,"400,001-600,000",2,1099352,0.43
20260709,6890,13,"600,001-800,000",1,693000,0.27
20260709,6890,14,"800,001-1,000,000",1,957000,0.38
20260709,6890,15,"1,000,001以上",17,229998280,91.89
20260709,6890,16,合　計,7403,250295804,100.0
