as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,2072,1,1-999,2756,511484,0.26
20260709,2072,2,"1,000-5,000",5578,9995085,5.2
20260709,2072,3,"5,001-10,000",585,4508751,2.34
20260709,2072,4,"10,001-15,000",193,2506967,1.3
20260709,2072,5,"15,001-20,000",109,1962591,1.02
20260709,2072,6,"20,001-30,000",110,2739872,1.42
20260709,2072,7,"30,001-40,000",69,2473320,1.28
20260709,2072,8,"40,001-50,000",37,1662748,0.86
20260709,2072,9,"50,001-100,000",82,6003651,3.12
20260709,2072,10,"100,001-200,000",46,6500273,3.38
20260709,2072,11,"200,001-400,000",32,8548721,4.45
20260709,2072,12,"400,001-600,000",7,3293325,1.71
20260709,2072,13,"600,001-800,000",3,2053898,1.06
20260709,2072,14,"800,001-1,000,000",1,808681,0.42
20260709,2072,15,"1,000,001以上",16,138430633,72.09
20260709,2072,16,合　計,9624,192000000,100.0
