as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,2029,1,1-999,3521,359184,0.11
20260709,2029,2,"1,000-5,000",8028,17082777,5.31
20260709,2029,3,"5,001-10,000",1371,11154389,3.47
20260709,2029,4,"10,001-15,000",467,6083654,1.89
20260709,2029,5,"15,001-20,000",322,6023650,1.87
20260709,2029,6,"20,001-30,000",283,7320142,2.27
20260709,2029,7,"30,001-40,000",131,4719572,1.46
20260709,2029,8,"40,001-50,000",122,5723733,1.78
20260709,2029,9,"50,001-100,000",181,13057821,4.06
20260709,2029,10,"100,001-200,000",81,11274966,3.51
20260709,2029,11,"200,001-400,000",37,9634947,2.99
20260709,2029,12,"400,001-600,000",9,4374716,1.36
20260709,2029,13,"600,001-800,000",4,2946000,0.91
20260709,2029,14,"800,001-1,000,000",2,1756000,0.54
20260709,2029,15,"1,000,001以上",6,219668449,68.39
20260709,2029,16,合　計,14565,321180000,100.0
