as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6477,1,1-999,14138,454985,0.36
20260709,6477,2,"1,000-5,000",11074,20756841,16.76
20260709,6477,3,"5,001-10,000",1535,11103769,8.97
20260709,6477,4,"10,001-15,000",488,5706738,4.61
20260709,6477,5,"15,001-20,000",212,3770593,3.04
20260709,6477,6,"20,001-30,000",204,4986995,4.02
20260709,6477,7,"30,001-40,000",83,2920635,2.35
20260709,6477,8,"40,001-50,000",40,1814036,1.46
20260709,6477,9,"50,001-100,000",89,6306280,5.09
20260709,6477,10,"100,001-200,000",37,4873180,3.93
20260709,6477,11,"200,001-400,000",21,5764713,4.65
20260709,6477,12,"400,001-600,000",7,3130007,2.52
20260709,6477,13,"600,001-800,000",6,4367654,3.52
20260709,6477,14,"800,001-1,000,000",1,940180,0.75
20260709,6477,15,"1,000,001以上",14,46890590,37.88
20260709,6477,16,合　計,27949,123787196,100.0
