as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,4971,1,1-999,28995,1416662,3.54
20260709,4971,2,"1,000-5,000",5200,8376117,20.94
20260709,4971,3,"5,001-10,000",325,2472837,6.18
20260709,4971,4,"10,001-15,000",75,938028,2.34
20260709,4971,5,"15,001-20,000",44,787520,1.96
20260709,4971,6,"20,001-30,000",34,850110,2.12
20260709,4971,7,"30,001-40,000",16,554729,1.38
20260709,4971,8,"40,001-50,000",11,496000,1.24
20260709,4971,9,"50,001-100,000",31,2074917,5.18
20260709,4971,10,"100,001-200,000",19,2770583,6.92
20260709,4971,11,"200,001-400,000",19,5629001,14.07
20260709,4971,12,"400,001-600,000",10,5009664,12.52
20260709,4971,13,"600,001-800,000",7,4811694,12.03
20260709,4971,14,"800,001-1,000,000",1,989001,2.47
20260709,4971,15,"1,000,001以上",2,2808880,7.02
20260709,4971,16,合　計,34789,39985743,100.0
