as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,3276,1,1-999,43606,244588,0.35
20260709,3276,2,"1,000-5,000",2561,5400515,7.74
20260709,3276,3,"5,001-10,000",405,3289726,4.71
20260709,3276,4,"10,001-15,000",117,1493339,2.14
20260709,3276,5,"15,001-20,000",106,1974979,2.83
20260709,3276,6,"20,001-30,000",73,1849796,2.65
20260709,3276,7,"30,001-40,000",49,1724361,2.47
20260709,3276,8,"40,001-50,000",24,1126100,1.61
20260709,3276,9,"50,001-100,000",60,4166748,5.97
20260709,3276,10,"100,001-200,000",27,3851460,5.52
20260709,3276,11,"200,001-400,000",14,3581000,5.13
20260709,3276,12,"400,001-600,000",7,3229157,4.63
20260709,3276,13,"600,001-800,000",2,1490000,2.13
20260709,3276,14,"800,001-1,000,000",0,0,0.0
20260709,3276,15,"1,000,001以上",4,36290897,52.05
20260709,3276,16,合　計,47055,69712666,100.0
