as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,3324,1,1-999,72802,6093240,6.54
20260709,3324,2,"1,000-5,000",13414,20952241,22.51
20260709,3324,3,"5,001-10,000",577,4421724,4.75
20260709,3324,4,"10,001-15,000",165,2115057,2.27
20260709,3324,5,"15,001-20,000",91,1655705,1.77
20260709,3324,6,"20,001-30,000",56,1386263,1.48
20260709,3324,7,"30,001-40,000",37,1295621,1.39
20260709,3324,8,"40,001-50,000",18,838085,0.9
20260709,3324,9,"50,001-100,000",57,4092606,4.39
20260709,3324,10,"100,001-200,000",32,4216788,4.53
20260709,3324,11,"200,001-400,000",19,5310111,5.7
20260709,3324,12,"400,001-600,000",10,5132459,5.51
20260709,3324,13,"600,001-800,000",5,3451923,3.7
20260709,3324,14,"800,001-1,000,000",8,6959406,7.47
20260709,3324,15,"1,000,001以上",6,25155608,27.02
20260709,3324,16,合　計,87297,93076837,100.0
