as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,2362,1,1-999,13103,2807764,0.45
20260709,2362,2,"1,000-5,000",16214,33207002,5.33
20260709,2362,3,"5,001-10,000",2304,17915913,2.87
20260709,2362,4,"10,001-15,000",647,8269340,1.32
20260709,2362,5,"15,001-20,000",400,7403278,1.18
20260709,2362,6,"20,001-30,000",369,9365803,1.5
20260709,2362,7,"30,001-40,000",175,6310574,1.01
20260709,2362,8,"40,001-50,000",110,5072027,0.81
20260709,2362,9,"50,001-100,000",194,14449020,2.32
20260709,2362,10,"100,001-200,000",76,11146072,1.79
20260709,2362,11,"200,001-400,000",45,12464835,2.0
20260709,2362,12,"400,001-600,000",24,11949013,1.92
20260709,2362,13,"600,001-800,000",5,3381887,0.54
20260709,2362,14,"800,001-1,000,000",9,8052191,1.29
20260709,2362,15,"1,000,001以上",73,470468281,75.6
20260709,2362,16,合　計,33748,622263000,100.0
