as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,4904,1,1-999,51874,12824994,0.35
20260709,4904,2,"1,000-5,000",30112,59465580,1.64
20260709,4904,3,"5,001-10,000",3304,24926361,0.69
20260709,4904,4,"10,001-15,000",929,11769181,0.32
20260709,4904,5,"15,001-20,000",567,10262174,0.28
20260709,4904,6,"20,001-30,000",491,12304226,0.34
20260709,4904,7,"30,001-40,000",251,8895078,0.24
20260709,4904,8,"40,001-50,000",149,6841329,0.18
20260709,4904,9,"50,001-100,000",297,21264599,0.58
20260709,4904,10,"100,001-200,000",194,27845261,0.77
20260709,4904,11,"200,001-400,000",161,46730245,1.29
20260709,4904,12,"400,001-600,000",65,31700591,0.87
20260709,4904,13,"600,001-800,000",50,34718265,0.96
20260709,4904,14,"800,001-1,000,000",31,28049302,0.77
20260709,4904,15,"1,000,001以上",229,3270108171,90.64
20260709,4904,16,合　計,88704,3607705357,100.0
