as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,5410,1,1-999,47257,819781,0.88
20260709,5410,2,"1,000-5,000",7183,14718835,15.8
20260709,5410,3,"5,001-10,000",1249,9894863,10.62
20260709,5410,4,"10,001-15,000",336,4292041,4.6
20260709,5410,5,"15,001-20,000",215,4027689,4.32
20260709,5410,6,"20,001-30,000",168,4242836,4.55
20260709,5410,7,"30,001-40,000",84,2976248,3.19
20260709,5410,8,"40,001-50,000",59,2742182,2.94
20260709,5410,9,"50,001-100,000",94,6649671,7.14
20260709,5410,10,"100,001-200,000",28,3750413,4.02
20260709,5410,11,"200,001-400,000",14,3945956,4.23
20260709,5410,12,"400,001-600,000",6,3139738,3.37
20260709,5410,13,"600,001-800,000",3,1887689,2.02
20260709,5410,14,"800,001-1,000,000",3,2777875,2.98
20260709,5410,15,"1,000,001以上",11,27263806,29.27
20260709,5410,16,合　計,56710,93129623,100.0
