dimension,signal_count,category,avg_return_d1,win_rate_d1,avg_relative_return_vs_benchmark_d1,benchmark_outperform_rate_d1,avg_mfe_d1,avg_mae_d1,avg_return_d2,win_rate_d2,avg_relative_return_vs_benchmark_d2,benchmark_outperform_rate_d2,avg_mfe_d2,avg_mae_d2,avg_return_d5,win_rate_d5,avg_relative_return_vs_benchmark_d5,benchmark_outperform_rate_d5,avg_mfe_d5,avg_mae_d5,avg_return_d10,win_rate_d10,avg_relative_return_vs_benchmark_d10,benchmark_outperform_rate_d10,avg_mfe_d10,avg_mae_d10,avg_return_d20,win_rate_d20,avg_relative_return_vs_benchmark_d20,benchmark_outperform_rate_d20,avg_mfe_d20,avg_mae_d20,hit_5pct_rate_d10,tdcc_status,warrant_status,sector,sub_theme,revenue_signal_type,similar_to_shihsinko_flag,catalyst_confidence,price_reaction_level,theme_strength_score,catalyst_strength_score,eps_surprise_flag,margin_improvement_flag,revenue_good_eps_unconfirmed_flag,low_reaction_after_catalyst,already_reacted_to_catalyst,market_regime
category,2179,pattern,4.3416434709232075,67.5704989154013,2.9132035355726544,57.64642082429501,7.444810340650786,2.06164727517627,4.342481681335539,64.58476321207962,2.816200468247284,54.70144131777626,8.681700492265962,1.20295720622812,6.836975594270136,72.17741935483872,1.279227845645932,42.74193548387097,10.077215149042097,0.5088350395838818,,,,,10.077215149042097,0.5088350395838818,,,,,10.077215149042097,0.5088350395838818,63.28633405639913,,,,,,,,,,,,,,,,
category,94,pullback_rebound,1.1773232029187453,58.06451612903226,2.2177234753974226,66.66666666666666,3.672570985455551,-1.1223716926473524,0.6535006376784541,43.90243902439025,,,4.675705126153755,-1.6731287622248685,,,,,5.275319730699431,-1.9218268497512188,,,,,5.275319730699431,-1.9218268497512188,,,,,5.275319730699431,-1.9218268497512188,38.70967741935484,,,,,,,,,,,,,,,,
category,845,range_rebound,0.5929068233695073,45.98337950138504,-1.124018825038203,33.10249307479224,4.00767172975783,-1.6446655337369216,-0.10132488328945713,38.144329896907216,-1.433195716865697,29.381443298969074,5.1621272084898555,-2.838095807863045,3.062146429164091,59.30232558139535,-2.5219476031268515,34.30232558139535,6.40530778275953,-3.4399213785311233,,,,,6.40530778275953,-3.4399213785311233,,,,,6.40530778275953,-3.4399213785311233,44.04432132963989,,,,,,,,,,,,,,,,
category,164,revenue_breakout_low_response,0.5792311299701728,46.09929078014184,-0.9394145823705939,34.751773049645394,2.6091787583056183,-0.9111523703796607,0.21783344432956347,39.63963963963964,-1.4393699068074213,24.324324324324326,3.4406669144255964,-1.4838840458493678,0.7797231780043263,41.46341463414634,-4.928351728134045,19.51219512195122,4.280413432096937,-1.9703901656450007,,,,,4.280413432096937,-1.9703901656450007,,,,,4.280413432096937,-1.9703901656450007,26.95035460992908,,,,,,,,,,,,,,,,
category,1029,revenue_pullback,1.4568276943088203,58.38852097130243,-0.5001401948890245,32.83582089552239,3.9716834115293853,-0.6922312549313411,1.5762922923113447,54.0,-0.6062960050117648,35.483870967741936,5.114766700067933,-1.3748271351426307,3.9271506406874215,56.36942675159236,-0.9349486537544112,38.70967741935484,6.760711428423185,-2.231482556828015,,,,,6.760711428423185,-2.231482556828015,,,,,6.760711428423185,-2.231482556828015,46.688741721854306,,,,,,,,,,,,,,,,
category,263,true_breakout,1.5109745384274167,52.293577981651374,0.8324288402425253,49.54128440366973,5.5898043743114965,-2.0866954919405125,1.4367201726194518,50.595238095238095,0.4902522015248081,45.23809523809524,7.608648761222916,-3.126982870173352,,,,,9.090582295695802,-3.7502904138843363,,,,,9.090582295695802,-3.7502904138843363,,,,,9.090582295695802,-3.7502904138843363,67.43119266055045,,,,,,,,,,,,,,,,
tdcc_status,9,,1.6580510616565878,71.42857142857143,0.7393046767761218,57.14285714285714,3.4137751574000994,0.7481916143750361,1.2196791879665827,66.66666666666666,0.6909370948114982,66.66666666666666,3.8803427061709437,-0.2797341369524635,,,,,4.231820856319184,-0.2797341369524635,,,,,4.231820856319184,-0.2797341369524635,,,,,4.231820856319184,-0.2797341369524635,28.57142857142857,,,,,,,,,,,,,,,,
tdcc_status,1988,,2.8077498353012156,59.0047393364929,1.8479648234553505,51.398337112622826,6.07738141920711,0.5617806910090049,2.655631286836342,54.92537313432836,1.6896650266497035,46.87800192122959,7.321074326196324,-0.3827655737963102,5.0807631451753466,63.07692307692307,0.12838556958810318,40.643274853801174,8.664900319072709,-1.1375573264138332,,,,,8.664900319072709,-1.1375573264138332,,,,,8.664900319072709,-1.1375573264138332,55.627962085308056,distribution_warning,,,,,,,,,,,,,,,
tdcc_status,1898,,2.2150433505456553,58.98389095415118,0.9187846572360658,45.74132492113564,5.218126462821384,-0.05440459644949011,2.006465854938431,53.48278622898318,0.7115678272108569,43.608247422680414,6.3714819116191475,-0.9727883923001592,4.257032574504214,62.796208530805686,-0.7697123812972569,37.15170278637771,7.700511952057935,-1.7124700744534933,,,,,7.700511952057935,-1.7124700744534933,,,,,7.700511952057935,-1.7124700744534933,52.540272614622054,mild_accumulation,,,,,,,,,,,,,,,
tdcc_status,28,,5.244180523751982,75.0,3.4645535294952743,41.66666666666667,7.659645495277637,2.879597888824937,8.18304635994016,69.23076923076923,6.7516410814720285,53.84615384615385,9.800616106408917,2.2589278447867547,13.318443517967037,100.0,7.9938175789716395,50.0,14.496974089026338,2.2589278447867547,,,,,14.496974089026338,2.2589278447867547,,,,,14.496974089026338,2.2589278447867547,75.0,neutral,,,,,,,,,,,,,,,
tdcc_status,644,,3.140180598318517,62.27436823104693,1.8745580445107777,51.843317972350235,5.586366772419453,0.6506958534465431,3.2412492179548815,59.64125560538116,1.686481728864413,48.11594202898551,6.9385577931333735,0.09993729713806065,7.14631125896755,68.57142857142857,1.0413958237763001,40.0,8.571364780753362,-0.3379185237901695,,,,,8.571364780753362,-0.3379185237901695,,,,,8.571364780753362,-0.3379185237901695,54.87364620938629,strong_accumulation,,,,,,,,,,,,,,,
tdcc_status,7,,7.720803990610338,100.0,6.215521286385649,100.0,8.505721830985918,6.4664025821596285,7.9709507042253644,100.0,6.234178937434055,100.0,9.3199823943662,6.246332159624417,10.475352112676074,100.0,4.643583991330292,100.0,10.585387323943676,6.246332159624417,,,,,10.585387323943676,6.246332159624417,,,,,10.585387323943676,6.246332159624417,100.0,無TDCC資料,,,,,,,,,,,,,,,
warrant_status,2011,,2.4151307331553844,58.74006810442679,1.0199672198256609,46.158940397350996,5.519701426513059,0.10829594550947953,2.395427450033601,54.41289332310054,1.0025980776620844,43.144424131627055,6.647355082099875,-0.7575447748515689,3.8729765122383593,57.003891050583654,-0.9666372663895922,36.027713625866056,8.060621792837132,-1.5013160740259721,,,,,8.060621792837132,-1.5013160740259721,,,,,8.060621792837132,-1.5013160740259721,53.34846765039728,,,,,,,,,,,,,,,,
warrant_status,353,,2.593203601333672,60.068259385665534,1.770200667104561,53.246753246753244,5.967345490838247,0.3794297227128053,2.077789724559719,55.45454545454545,1.5971802459173634,48.57142857142857,7.15876613158565,-0.6120159290828256,2.5339108929222127,55.55555555555556,-3.1443878933611376,50.0,8.021199205814872,-1.126491400756982,,,,,8.021199205814872,-1.126491400756982,,,,,8.021199205814872,-1.126491400756982,56.655290102389074,,call_inflow,,,,,,,,,,,,,,
warrant_status,229,,3.5442861418061247,57.6530612244898,3.431755325307863,54.248366013071895,7.688348137970365,1.1942060992691843,2.4385547318619043,49.056603773584904,2.2608281280921134,45.66929133858268,9.187570025331974,-0.02728901214556361,,,,,10.29364345563194,-0.3151972109628943,,,,,10.29364345563194,-0.3151972109628943,,,,,10.29364345563194,-0.3151972109628943,61.73469387755102,,call_put_bullish,,,,,,,,,,,,,,
warrant_status,308,,3.166529038463163,56.776556776556774,2.974334558984325,54.88372093023256,6.887616150898965,0.9709845108787689,2.4045797682486714,54.506437768240346,1.99073363214882,50.26737967914438,7.9715749957242,-0.1495236594210083,,,,,8.946562948176416,-0.5109361633206654,,,,,8.946562948176416,-0.5109361633206654,,,,,8.946562948176416,-0.5109361633206654,53.47985347985348,,call_strong_inflow,,,,,,,,,,,,,,
warrant_status,54,,9.517654111794577,84.31372549019608,9.530414677086842,75.0,12.558170490077273,4.70901272153357,9.414598813106622,81.57894736842105,8.615328335004783,77.77777777777779,15.14483472019112,4.0431076662978835,,,,,16.533228879123612,3.8755239883306487,,,,,16.533228879123612,3.8755239883306487,,,,,16.533228879123612,3.8755239883306487,82.35294117647058,,mixed_flow,,,,,,,,,,,,,,
warrant_status,1592,,2.4038314052324443,60.92664092664093,1.1596777685665858,49.83351831298557,4.907551307179715,0.22416700508564005,2.576539314701146,56.461961503208066,1.1902807462718463,47.368421052631575,6.226245026304024,-0.5291172932125345,6.338815813442843,71.2,1.1388947289854054,43.373493975903614,7.872693557166387,-1.364401889690224,,,,,7.872693557166387,-1.364401889690224,,,,,7.872693557166387,-1.364401889690224,53.43629343629344,,no_signal,,,,,,,,,,,,,,
warrant_status,27,,2.8365090174072862,47.82608695652174,2.9675121526760604,50.0,7.702528832572723,0.10951933196324797,-2.0893855124721044,33.33333333333333,-1.8882300778848105,30.0,7.881202409825683,-1.3825130091714433,,,,,8.402216001023758,-1.5522762837163833,,,,,8.402216001023758,-1.5522762837163833,,,,,8.402216001023758,-1.5522762837163833,43.47826086956522,,put_inflow,,,,,,,,,,,,,,
theme,4410,,2.706914090047204,60.154584221748394,1.6027078395762837,49.84594317014721,5.7746245156153995,0.3898136676204748,2.591449066280272,55.76662143826323,1.4604919314966482,46.98104892022917,7.0145707170303275,-0.49623180127596506,5.245371060845276,64.86761710794298,0.195555078314781,40.41095890410959,8.43311254581622,-1.200365456744226,,,,,8.43311254581622,-1.200365456744226,,,,,8.43311254581622,-1.200365456744226,55.41044776119403,,,,,,,,,,,,,,,,
theme,26,,-0.6374686956950851,26.08695652173913,-2.169680756228563,26.08695652173913,1.0123091317162922,-1.3526455157494235,-1.1941481803569343,16.666666666666664,-2.926076143268677,0.0,1.1632755240689716,-1.7331127735177154,-2.642373050207953,0.0,-8.32924340516791,0.0,1.3819543897006212,-2.3670493302477964,,,,,1.3819543897006212,-2.3670493302477964,,,,,1.3819543897006212,-2.3670493302477964,0.0,,,cyclical_turnaround,cyclical_turnaround,,,,,,,,,,,,
theme,72,,1.7617877015879704,64.51612903225806,0.21216558410605105,46.774193548387096,4.263566002594673,-0.3105594760607152,1.7334040970751,58.333333333333336,0.08252548699682734,39.58333333333333,5.584662402256354,-0.8650116992799546,5.509141411947479,72.22222222222221,-0.1535793152815074,44.44444444444444,6.74270198073067,-1.2758840379491334,,,,,6.74270198073067,-1.2758840379491334,,,,,6.74270198073067,-1.2758840379491334,50.0,,,mainstream_growth,mainstream_growth,,,,,,,,,,,,
theme,66,,-0.23031193163701516,33.92857142857143,-1.7090904452780702,25.0,1.4333929059062105,-1.3947669615273406,-0.833982602057743,28.888888888888886,-2.4680424989474505,17.77777777777778,2.002314802509442,-2.066702344973147,-3.0437052353388485,25.0,-8.812080583890832,0.0,2.744746788522362,-2.576394078703562,,,,,2.744746788522362,-2.576394078703562,,,,,2.744746788522362,-2.576394078703562,12.5,,,neutral,neutral,,,,,,,,,,,,
revenue_signal_type,3318,,3.1917194096573787,61.40915593705293,1.7851760864938304,51.33065986146554,6.467860248024718,0.7975622105501509,2.9935706048219997,56.9683257918552,1.599260270132257,47.90612057063967,7.755995960176604,-0.16379612234930754,6.011092483025446,69.51219512195121,0.44835710475578266,41.3109756097561,9.1150930266194,-0.8271252100260728,,,,,9.1150930266194,-0.8271252100260728,,,,,9.1150930266194,-0.8271252100260728,59.155937052932764,,,,,,,,,,,,,,,,
revenue_signal_type,1076,,1.5280734056176464,59.61945031712473,-0.5017682064881801,35.775862068965516,4.0977155563678895,-0.6163540450174508,1.6382777816556768,55.02063273727648,-0.778691679066871,32.11678832116788,5.284873547988435,-1.3200478217960032,4.055833023191956,57.407407407407405,-1.841697240857716,35.55555555555556,6.9419197312774115,-2.183732376902318,,,,,6.9419197312774115,-2.183732376902318,,,,,6.9419197312774115,-2.183732376902318,48.30866807610993,,,,,出貨型營收 / 其他,,,,,,,,,,,
revenue_signal_type,180,,-0.8714679200888769,27.1523178807947,-2.6583406673476824,16.091954022988507,0.48814051462870817,-2.0715537577696943,-1.1725215098809352,23.770491803278688,-3.0632239150708864,11.428571428571429,0.7850879747082621,-2.412915042016549,-1.7312450309453027,27.906976744186046,-7.507068909052187,0.0,1.2696715073632727,-2.6698231210449572,,,,,1.2696715073632727,-2.6698231210449572,,,,,1.2696715073632727,-2.6698231210449572,3.9735099337748347,,,,,營建認列型 / 交屋認列型,,,,,,,,,,,
