rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,abm_score,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,risk_label,risk_bucket,interpretation
21,6609,瀧澤科,other electronics,mainstream_leader,high,265.00,10,True,True,tdcc_leading_price,quiet_accumulation,85.00,1.92,9.63,2.77,2.17,0.79,10.00,563.41,10.00,73.00,0.00,1.41,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
22,7827,漢康-KY創,other,single_name_signal,high,265.00,10,True,True,tdcc_price_divergence,watch_only,92.00,-0.93,11.93,-2.07,0.76,1.39,10.00,279.39,10.00,28.00,0.00,-0.61,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
23,8277,商丞,other electronics,mainstream_leader,high,265.00,10,True,True,tdcc_leading_price,quiet_accumulation,95.00,0.49,1.75,-0.10,0.79,1.38,10.00,563.41,10.00,73.00,0.00,1.41,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
24,1558,伸興,other electronics,mainstream_leader,high,255.00,9,True,True,insufficient_price_context,watch_only,73.00,2.00,11.11,4.45,4.50,0.48,10.00,563.41,10.00,73.00,0.00,1.41,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
25,2520,冠德,traditional industries,mainstream_leader,high,255.00,9,True,True,tdcc_leading_price,quiet_accumulation,99.00,-4.08,1.88,0.16,-0.15,0.83,10.00,389.02,10.00,43.00,0.00,1.02,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
26,2534,宏盛,traditional industries,mainstream_leader,high,255.00,9,True,True,insufficient_price_context,watch_only,80.00,0.86,2.34,3.65,2.22,0.67,10.00,389.02,10.00,43.00,0.00,1.02,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
27,2633,台灣高鐵,traditional industries,mainstream_leader,high,255.00,9,True,True,tdcc_leading_price,quiet_accumulation,92.00,0.38,0.77,0.22,1.00,0.64,10.00,389.02,10.00,43.00,0.00,1.02,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
28,3508,位速,other electronics,mainstream_leader,high,255.00,9,True,True,insufficient_price_context,strong_momentum,40.00,-10.78,29.37,7.06,5.48,0.87,10.00,563.41,10.00,73.00,0.00,1.41,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
29,3710,連展投控,other electronics,mainstream_leader,high,255.00,9,True,True,tdcc_price_divergence,quiet_accumulation,81.00,-3.24,-0.39,-1.83,-1.15,0.97,10.00,563.41,10.00,73.00,0.00,1.41,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
30,4183,福永生技,biotechnology,mainstream_leader,high,255.00,9,True,True,tdcc_price_divergence,quiet_accumulation,96.00,-0.71,0.00,-5.55,-2.68,0.23,10.00,126.49,10.00,14.00,0.00,0.49,divergence_failed_watch,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
