model_id,pdf_view,pdf_section,pdf_section_zh,row_type,operation_asof_date,operation_source_date_status,display_order,stock_id,stock_name,stock_display,operation_status_zh,quality_status_zh,matched_trigger_ids,selected_trigger_id,selected_confirmation_date,selected_trigger_priority,trigger_zh,entry_basis_zh,entry_price_status_zh,stop_basis_zh,exit_rule_zh,operation_score,tdcc_score,pattern_score,risk_penalty,final_rank_score,rank_reason_zh,entry_rule_id,entry_price_basis,entry_date,entry_price,stop_loss_rule_id,stop_loss_price,stop_loss_label_zh,exit_rule_id,planned_holding_days,operation_age_days,signal_date,confirmation_date,pending_age_zh,pending_group_zh,pending_confirmation_zh,same_stock_pending_count,tdcc_status_zh,sample_size,win_rate_zh,avg_return_zh,median_return_zh,confidence_zh,evidence_match_status,evidence_tdcc_list_type,evidence_rank_bucket,evidence_confluence_scope,evidence_confluence_id,evidence_key,evidence_out_of_sample_pass,research_score,pdf_note_zh,daily_signal_date,daily_volume_model_signal_count,adapter_source,adapter_source_status,approval_source,approved_for_daily,operation_module_approved_for_daily,approval_status,operation_module_id,approval_version,operation_directive_level,row_action_status,buy_rank_eligible,buy_filter_id,approval_note_zh,adapter_note_zh,generated_at
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260617,ready,3,2851,中再保,2851 中再保,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260617,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,,,,,,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260616,20260617,,,,1,no_tdcc,270,43.70%,1.48%,-1.96%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_attack_method,general_breakout,no_tdcc|all|next_day_break_signal_high_confirmed|operation_attack_method|general_breakout,False,65.6,依模型風險欄位管理,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260617,ready,3,6668,中揚光,6668 中揚光,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260617,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,,,,,,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260616,20260617,,,,1,no_tdcc,2098,38.13%,1.26%,-3.28%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_trigger,all_confirmed_volume_breakout,no_tdcc|all|next_day_break_signal_high_confirmed|operation_trigger|all_confirmed_volume_breakout,False,73.9,依模型風險欄位管理,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260617,ready,4,2903,遠百,2903 遠百,已確認但未通過買入排名門檻,未通過買入排名門檻,pullback_5ma_confirmed,pullback_5ma_confirmed,20260617,1,回測 5 日線後站回,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,,,,,,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,5,20260605,20260617,,,,1,no_tdcc,305,39.34%,2.35%,-1.67%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_classification,high_position_breakout,no_tdcc|all|pullback_5ma_confirmed|operation_classification|high_position_breakout,False,72.3,,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260617,ready,4,6904,伯鑫,6904 伯鑫,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260617,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,,,,,,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260615,20260617,,,,1,no_tdcc,270,43.70%,1.48%,-1.96%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_attack_method,general_breakout,no_tdcc|all|next_day_break_signal_high_confirmed|operation_attack_method|general_breakout,False,66.2,依模型風險欄位管理,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260617,ready,5,7610,聯友金屬-創,7610 聯友金屬-創,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260617,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,,,,,,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260616,20260617,,,,1,no_tdcc,2098,38.13%,1.26%,-3.28%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_trigger,all_confirmed_volume_breakout,no_tdcc|all|next_day_break_signal_high_confirmed|operation_trigger|all_confirmed_volume_breakout,False,61.8,依模型風險欄位管理,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260617,ready,6,5227,立凱-KY,5227 立凱-KY,已確認但未通過買入排名門檻,未通過買入排名門檻,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260617,2,隔日突破訊號高點,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,,,,,,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,1,20260616,20260617,,,,1,no_tdcc,2098,38.13%,1.26%,-3.28%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_trigger,all_confirmed_volume_breakout,no_tdcc|all|next_day_break_signal_high_confirmed|operation_trigger|all_confirmed_volume_breakout,False,65.0,依模型風險欄位管理,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
volume_range_breakout,full,confirmed_unranked_operation,已確認但未通過買入排名門檻,data,20260617,ready,14,7828,創新服務,7828 創新服務,已確認但未通過買入排名門檻,未通過買入排名門檻,pullback_5ma_confirmed,pullback_5ma_confirmed,20260617,1,回測 5 日線後站回,已確認但未通過買入排名門檻，不列進場價。,未通過買入排名門檻，不列進場價。,未列買入排名，不列停損價。,未列買入排名，不列出場規則。,,,,,,已確認，但該股所屬 TDCC/型態/確認方式的正式歷史證據未通過買入排名門檻。,,,,,,,,,,2,20260615,20260617,,,,1,no_tdcc,305,39.34%,2.35%,-1.67%,medium,row_level_evidence_not_buy_ranked,no_tdcc,all,operation_classification,high_position_breakout,no_tdcc|all|pullback_5ma_confirmed|operation_classification|high_position_breakout,False,60.8,依模型風險欄位管理,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,confirmed_not_buy_ranked,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
volume_range_breakout,full,pending_confirmation,待確認,data,20260617,ready,1,6645,金萬林-創,6645 金萬林-創,待確認,模型已命中，尚未確認,,,,,,尚未確認，不列進場價,尚未確認，不列進場價,尚未確認，不列停損價,待確認後才顯示操作規則,,,,,,,pending_confirmation,,,,signal_low_stop_after_confirmation,,,signal_low_stop_or_fixed_10d_close,10,2,20260615,,D+2 待確認,新進榜,模型已命中但尚未確認，不能列買入排名；若確認前跌破訊號日最低價或超過 10 個交易日，則不列操作。,1,欄位尚未完成 / 暫用現有資料,657,44.76,3.85,,ok_first_pass,,,,,,,,74.0,依模型風險欄位管理,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,pending_confirmation,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
volume_range_breakout,full,pending_confirmation,待確認,data,20260617,ready,2,2484,希華,2484 希華,待確認,模型已命中，尚未確認,,,,,,尚未確認，不列進場價,尚未確認，不列進場價,尚未確認，不列停損價,待確認後才顯示操作規則,,,,,,,pending_confirmation,,,,signal_low_stop_after_confirmation,,,signal_low_stop_or_fixed_10d_close,10,2,20260615,,D+2 待確認,新進榜,模型已命中但尚未確認，不能列買入排名；若確認前跌破訊號日最低價或超過 10 個交易日，則不列操作。,1,欄位尚未完成 / 暫用現有資料,657,44.76,3.85,,ok_first_pass,,,,,,,,70.7,連續過熱,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,pending_confirmation,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
volume_range_breakout,full,pending_confirmation,待確認,data,20260617,ready,2,2618,長榮航,2618 長榮航,待確認,模型已命中，尚未確認,,,,,,尚未確認，不列進場價,尚未確認，不列進場價,尚未確認，不列停損價,待確認後才顯示操作規則,0.0,0.0,2.4,0.0,72.7,突破品質 +2.4,pending_confirmation,,,,signal_low_stop_after_confirmation,,,signal_low_stop_or_fixed_10d_close,10,0,20260617,,今日訊號,新進榜,模型已命中但尚未確認，不能列買入排名；若確認前跌破訊號日最低價或超過 10 個交易日，則不列操作。,1,欄位尚未完成 / 暫用現有資料,657,44.76,3.85,,ok_first_pass,,,,,,,,72.7,依模型風險欄位管理,20260617,14,daily_published_model_snapshots+stock_price_history,ready,approved_operation_patterns_latest.csv,True,True,approved_for_daily_v1,volume_breakout_confirmed_operation_v1,volume_breakout_operation_v1_20260615,approved_daily_operation_guidance,pending_confirmation,False,positive_evidence_oos_rank_v1,以目前 repo 可用歷史資料批准放量攻擊 v1 操作建議。後續固定 research/backtest 可用新版 approval_version 調整參數與條件。,由已發布模型快照與價格資料重建 D0-D10 操作狀態。,2026-06-18 15:42:41 Asia/Taipei
