date,category,category_cn,breakout_type,stock_id,stock_name,industry,細分族群,theme_score,theme_note,revaluation_priority,score,rank,latest_revenue_yoy,cumulative_revenue_yoy,revenue_acceleration_note,revenue_warning,revenue_release_date,return_after_revenue_1d,return_after_revenue_3d,return_5d,return_10d,return_20d,return_60d,return_120d,off_60d_low_pct,off_120d_low_pct,already_priced_in,priced_in_reason,close,volume,volume_lots,volume_ratio,ma20,ma60,ema23,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_ema23_pct,previous_high,previous_40d_high,previous_60d_high,distance_to_previous_high_pct,distance_to_previous_40d_high_pct,distance_to_previous_60d_high_pct,high_20,low_20,high_60,low_60,high_120,low_120,platform_high,platform_low,platform_width_pct,in_platform,w_bottom_flag,w_bottom_right_side_flag,platform_base_flag,platform_right_side_flag,pullback_entry_zone_flag,pullback_right_side_flag,ma20_reclaim_setup_flag,early_attack_volume_flag,early_entry_watch_flag,right_side_follow_through_flag,rebound_from_5d_low_pct,neckline_price,neckline_source,neckline_distance_pct,neckline_challenge_flag,neckline_breakout_flag,platform_breakout_flag,volume_confirmed_breakout,breakout_close_near_high_flag,false_breakout_risk,pattern_stage,short_platform_high,short_platform_low,short_platform_width_pct,higher_lows_flag,ma5_turning_up_flag,ma10_turning_up_flag,near_ma,available_days,price_data_warning,tdcc_date,holder_400_pct,holder_400_change,holder_1000_pct,holder_1000_change,tdcc_judgement,tdcc_weeks_used,tdcc_400_change_sum,tdcc_1000_change_sum,tdcc_400_up_weeks,tdcc_1000_up_weeks,tdcc_accumulation_signal,tdcc_accumulation_note,main_force_net_lots,institutional_net_lots,eight_banks_net_lots,chip_flow_adjusted_net_lots,positive_streak_days,latest_positive,chart_path,chart_url,price_data_path,chart_days,note,ticker,name,market,judge,rebound_judge,revenue_period,revenue_yoy_pct,cumulative_yoy_pct,open,high,low,gap_ma20_pct,gap_ma60_pct,gap_ema23_pct,return_5d_pct,return_10d_pct,return_20d_pct,return_60d_pct,return_120d_pct,previous_20d_high,previous_20d_low,previous_40d_low,previous_60d_low,consolidation_range_pct,breakout_pct,limit_up_breakout,abnormal_volume_up,pattern,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,is_mainstream,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge,stage_order,warrant_flow_signal,warrant_flow_score,warrant_flow_warning,call_turnover,put_turnover,call_put_turnover_ratio,call_turnover_change_1d,call_turnover_change_5d,low_float_call_spike_count,top_issuer,warrant_note,is_construction_recognition,recognition_type,revenue_signal_type,revenue_applicability_note,catalyst_strength_score,catalyst_tags,fundamental_catalyst_score,fundamental_catalyst_tags,event_catalyst_tags,pre_breakout_catalyst_flag,similar_to_shihsinko_flag,eps_surprise_flag,earnings_acceleration_flag,margin_improvement_flag,profit_turnaround_flag,undervalued_after_eps_flag,revenue_good_eps_unconfirmed_flag,theme_catalyst_flag,theme_catalyst_tags,catalyst_date,catalyst_source,catalyst_summary,price_reaction_after_catalyst,price_reaction_level,already_reacted_to_catalyst,catalyst_quality,catalyst_confidence,price_return_1d_after_catalyst,price_return_3d_after_catalyst,price_return_5d_after_catalyst,price_return_20d_after_catalyst,volume_ratio_after_catalyst,long_upper_shadow_after_catalyst,gap_up_failed_after_catalyst,low_reaction_after_catalyst,catalyst_overheated,event_calendar_tags,event_proximity_score,nearest_event_date,nearest_event_type,nearest_event_name,days_to_nearest_event,event_calendar_source,signal_date,consecutive_appear_days_any_category,consecutive_appear_days_same_category,appear_count_5d,appear_count_10d,appear_count_20d,first_seen_date,last_seen_date,multi_category_flags,repeat_appear_label,repeat_appear_note,taxonomy_primary_theme,taxonomy_secondary_themes,taxonomy_structural_theme_bucket,taxonomy_theme_structural_status,taxonomy_theme_mainstream_label,taxonomy_industry_mainstream_label,taxonomy_effective_mainstream_label,taxonomy_mainstream_conflict_flag,taxonomy_mainstream_conflict_note,taxonomy_report_line_memberships,taxonomy_mainstream_report_eligible,taxonomy_non_mainstream_report_eligible,taxonomy_dual_report_membership_flag,taxonomy_report_line_membership_note,taxonomy_source,taxonomy_confidence,taxonomy_notes,source_row_index,pattern_mapped_category,pattern_route,decision_priority,decision_priority_label,decision_score,decision_rank_in_category,decision_rank_overall_for_display,section_rank,highlight_tag,trade_decision,theme_group,display_section,risk_handling_bucket,risk_handling_label,momentum_risk_follow,hard_exclusion_flag,downgrade_flags,risk_tags,tdcc_status,repeat_appear_summary,overheat_status,why_selected,why_downgraded,next_confirmation,action_rating,action_rating_label_zh,entry_style,position_sizing,management_plan,entry_prerequisites,post_entry_watch_items,downgrade_reason,confidence_level,thesis_state,must_not_overstate,primary_theme,secondary_themes,structural_theme_bucket,industry_mainstream_label,effective_mainstream_label,mainstream_conflict_flag,mainstream_conflict_note,report_line_memberships,mainstream_report_eligible,non_mainstream_report_eligible,dual_report_membership_flag,report_line_membership_note,theme_taxonomy_source,theme_taxonomy_confidence,theme_taxonomy_note,theme_name,theme_candidate_count,theme_A_candidate_count,theme_B_candidate_count,theme_strict_breakout_count,theme_true_breakout_count,theme_volume_breakout_count,theme_near_high_count,theme_revenue_growth_count,theme_revenue_low_response_count,theme_tdcc_strong_count,theme_tdcc_mild_count,theme_tdcc_distribution_warning_count,theme_warrant_bullish_count,theme_warrant_bearish_count,theme_overheated_count,theme_avg_volume_ratio,theme_avg_relative_strength_vs_benchmark,theme_leader_stock_id,theme_leader_stock_name,theme_leader_confirmed,theme_breadth_score,theme_strength_score,theme_risk_score,theme_final_status,theme_market_flow_status,theme_structural_status,theme_mainstream_label,candidate_source_type,candidate_line,candidate_line_group,two_line_overlap_flag,theme_leadership_note
20260601,true_breakout,嚴格突破,true_breakout,5203,訊連,資訊服務業,,,,,165.0,,,,,,,,,,,,,,,,,,70.0,1538919.0,1538.92,5.2,64.84,64.15,65.12,,,,,68.4,68.4,,2.34,2.34,,,,,,,66.6,63.0,5.71,,True,False,True,False,False,True,True,True,True,False,10.06,68.4,previous_60d_high,2.34,False,True,True,True,True,False,breakout_confirmed,66.5,63.6,4.56,False,True,True,,278.0,,20260529.0,,,,,,3.0,0.26,-0.03,2.0,1.0,mild_accumulation,近幾週其中一項大戶級距增加,,,,,,,,,data/daily_price,180,嚴格突破；量比5.2x；月營收YoY -10.8%；累計YoY -1.2%；TDCC近幾週大戶溫和增加,5203,訊連,TWSE,強突破候選,,11504.0,-10.802522520837911,-1.1839254021323131,65.5,71.0,65.5,7.96,9.12,7.5,7.69,7.86,6.71,10.76,-29.65,66.6,63.0,61.2,61.2,11.76,2.34,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;資訊服務業,0,,,False,False,False,False,False,False,False,False,False,資訊服務業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_3d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,3,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,0,rule_based_from_Taiwan_monthly_revenue_deadline,20260601,1,1,1,1,1,20260601,20260601,true_breakout,first_seen,首次上榜，屬於新訊號，需等量價、TDCC 與 benchmark 確認。,資訊服務業_待細分,,information_service_general_theme,market_theme,core_mainstream,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,0,嚴格突破,breakout_confirmed / true_breakout,A_priority_watch,最優先追蹤,100.0,9,9,8,priority_candidate,selected_priority,core_mainstream,core_mainstream_selected_priority,normal,一般候選,False,False,,,mild_accumulation,first_seen,not_overheated,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=165；量比=5.20；距前高=2.34%；20日漲幅=6.71%；TDCC=mild_accumulation,,確認突破後不跌回平台/頸線，量能不要爆量失控或長上影。,buy_now,建議買進,breakout_follow,normal_position,buy_first_tranche_now|add_on_23ema_hold|add_on_reclaim_23ema|add_on_breakout|take_profit_near_prior_high|take_profit_on_volume_price_failure|exit_if_lost_23ema|exit_if_lost_recent_low|exit_if_revenue_breaks|exit_if_tdcc_and_price_both_weaken,model_recommended|decision_priority_high|decision_score_high|price_structure_not_broken|revenue_not_deteriorating|no_major_tdcc_warning|no_major_volume_price_failure|acceptable_risk_reward,next_monthly_revenue|next_tdcc_update|23ema_hold_or_reclaim|volume_price_confirmation|prior_high_breakout_quality|sector_benchmark_strength|event_follow_through|warrant_overheat_check,,high,breakout_confirmed,False,資訊服務業_待細分,,information_service_general_theme,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,資訊服務業_待細分,13,2,2,3,3,8,8,7,0,0,3,10,4,0,0,4.35,0.0,5203,訊連,True,100,100.0,100.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported,mainstream_theme_candidate,帶量突破 / 嚴格突破,breakout_attack_stock,True,mainstream_follow_through；帶量突破 / 嚴格突破；族群與個股條件同時命中
20260601,true_breakout,嚴格突破,true_breakout,2385,群光,電子零組件業,,,,,153.0,,,,,,,,,,,,,,,,,,141.5,6640551.0,6640.55,1.73,131.62,126.63,131.84,,,,,138.0,138.0,,2.54,2.54,,,,,,,138.0,122.5,12.65,,True,True,True,True,False,True,True,True,True,False,7.2,138.0,previous_60d_high,2.54,False,True,True,True,True,False,breakout_confirmed,138.0,130.5,5.75,True,True,True,,278.0,,20260529.0,,,,,,3.0,0.97,0.55,2.0,2.0,strong_accumulation,近幾週400張與1000張同步累積,,,,,,,,,data/daily_price,180,嚴格突破；量比1.73x；月營收YoY -9.4%；累計YoY -3.7%；TDCC近幾週400張與1000張同步累積,2385,群光,TWSE,強突破候選,,11504.0,-9.366615364484352,-3.71006745008006,136.5,142.5,136.0,7.5,11.74,7.32,4.43,7.6,5.6,14.11,21.46,138.0,122.5,121.5,117.0,13.58,2.54,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,call_strong_inflow,2.0,,3654020.0,0.0,,175.72,283.26,0.0,群益,認購權證成交金額明顯升溫,,,,,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電子零組件業,0,,,False,False,False,False,False,False,False,False,False,電子零組件業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_3d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,3,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,0,rule_based_from_Taiwan_monthly_revenue_deadline,20260601,8,8,5,8,8,20260523,20260601,pattern|true_breakout,continued_many_days,連續 8 個交易日上榜，需判斷是持續醞釀或訊號鈍化。,電子零組件業_待細分,,electronic_component_general_theme,market_theme,core_mainstream,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,1,嚴格突破,breakout_confirmed / true_breakout,A_priority_watch,最優先追蹤,100.0,5,5,5,priority_candidate,selected_priority,core_mainstream,core_mainstream_selected_priority,normal,一般候選,False,False,,,strong_accumulation,continued_many_days,not_overheated,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=153；量比=1.73；距前高=2.54%；20日漲幅=5.60%；TDCC=strong_accumulation；權證=call_strong_inflow,,確認突破後不跌回平台/頸線，量能不要爆量失控或長上影。,buy_now,建議買進,breakout_follow,normal_position,buy_first_tranche_now|add_on_23ema_hold|add_on_reclaim_23ema|add_on_breakout|take_profit_near_prior_high|take_profit_on_volume_price_failure|exit_if_lost_23ema|exit_if_lost_recent_low|exit_if_revenue_breaks|exit_if_tdcc_and_price_both_weaken,model_recommended|decision_priority_high|decision_score_high|price_structure_not_broken|revenue_not_deteriorating|no_major_tdcc_warning|no_major_volume_price_failure|acceptable_risk_reward,next_monthly_revenue|next_tdcc_update|23ema_hold_or_reclaim|volume_price_confirmation|prior_high_breakout_quality|sector_benchmark_strength|event_follow_through|warrant_overheat_check,,high,breakout_confirmed,False,電子零組件業_待細分,,electronic_component_general_theme,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,電子零組件業_待細分,80,6,21,8,8,20,30,20,0,7,33,38,18,0,8,1.54,0.0,2328,廣宇,True,100,100.0,100.0,mainstream_overheated,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,individual_quality_candidate,帶量突破 / 嚴格突破,breakout_attack_stock,False,mainstream_overheated；帶量突破 / 嚴格突破
20260601,true_breakout,嚴格突破,true_breakout,2603,長榮,航運業,,,,,151.0,,,,,,,,,,,,,,,,,,224.0,38077211.0,38077.21,1.51,211.85,207.5,211.74,,,,,222.0,222.0,,0.9,0.9,,,,,,,222.0,195.5,13.55,,True,True,True,True,False,True,True,True,True,False,6.16,222.0,previous_60d_high,0.9,False,True,True,True,True,False,breakout_confirmed,222.0,209.0,6.22,True,True,True,,278.0,,20260529.0,,,,,,3.0,1.22,1.44,2.0,2.0,strong_accumulation,近幾週400張與1000張同步累積,,,,,,,,,data/daily_price,180,嚴格突破；量比1.51x；月營收YoY 4.5%；累計YoY -15.8%；TDCC近幾週400張與1000張同步累積,2603,長榮,TWSE,強突破候選,,11504.0,4.514054892315798,-15.791817103836404,217.0,225.0,216.5,5.74,7.95,5.79,5.91,2.28,5.91,9.0,23.42,222.0,195.5,195.5,195.5,13.55,0.9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,call_inflow,1.0,,24050480.0,20230.0,1188.85,59.51,47.68,0.0,元大,認購權證資金升溫,,,,,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;航運業,0,,,False,False,False,False,False,False,False,False,False,航運業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_3d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,3,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,0,rule_based_from_Taiwan_monthly_revenue_deadline,20260601,2,1,4,7,7,20260523,20260601,true_breakout,continued_2_3d,連續 2 個交易日上榜，訊號延續但仍需確認。,航運業,,non_mainstream_theme,non_mainstream_theme,non_mainstream,non_mainstream,non_mainstream,False,,non_mainstream,False,True,False,non_mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,2,嚴格突破,breakout_confirmed / true_breakout,A_priority_watch,最優先追蹤,100.0,6,6,1,priority_candidate,selected_priority,non_mainstream,non_mainstream_selected_priority,normal,一般候選,False,False,,,strong_accumulation,continued_2_3d,not_overheated,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=151；量比=1.51；距前高=0.90%；20日漲幅=5.91%；TDCC=strong_accumulation；權證=call_inflow,,確認突破後不跌回平台/頸線，量能不要爆量失控或長上影。,buy_now,建議買進,breakout_follow,normal_position,buy_first_tranche_now|add_on_23ema_hold|add_on_reclaim_23ema|add_on_breakout|take_profit_near_prior_high|take_profit_on_volume_price_failure|exit_if_lost_23ema|exit_if_lost_recent_low|exit_if_revenue_breaks|exit_if_tdcc_and_price_both_weaken,model_recommended|decision_priority_high|decision_score_high|price_structure_not_broken|revenue_not_deteriorating|no_major_tdcc_warning|no_major_volume_price_failure|acceptable_risk_reward,next_monthly_revenue|next_tdcc_update|23ema_hold_or_reclaim|volume_price_confirmation|prior_high_breakout_quality|sector_benchmark_strength|event_follow_through|warrant_overheat_check,,high,breakout_confirmed,False,航運業,,non_mainstream_theme,non_mainstream,non_mainstream,False,,non_mainstream,False,True,False,non_mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,航運業,31,6,11,3,3,14,21,17,0,6,13,12,9,0,0,1.84,0.0,2603,長榮,True,100,100.0,100.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,individual_quality_candidate,帶量突破 / 嚴格突破,breakout_attack_stock,False,mainstream_follow_through；帶量突破 / 嚴格突破
20260601,true_breakout,嚴格突破,true_breakout,3015,全漢,電子零組件業,,,,,151.0,,,,,,,,,,,,,,,,,,55.2,2367815.0,2367.82,3.33,51.02,50.83,51.2,,,,,53.3,53.3,,3.56,3.56,,,,,,,53.3,48.7,9.45,,True,False,True,False,False,False,False,True,False,False,9.96,53.3,previous_60d_high,3.56,False,True,True,True,True,False,breakout_confirmed,53.3,50.2,6.18,True,False,True,,278.0,,20260529.0,,,,,,3.0,-0.13,0.63,0.0,1.0,mild_accumulation,近幾週其中一項大戶級距增加,,,,,,,,,data/daily_price,180,嚴格突破；量比3.33x；月營收YoY -12.7%；累計YoY -3.4%；TDCC近幾週大戶溫和增加,3015,全漢,TWSE,強突破候選,,11504.0,-12.74109372375226,-3.3667821862636824,51.1,55.2,51.1,8.2,8.6,7.82,6.98,7.18,8.88,8.88,0.55,53.3,48.7,48.7,48.5,9.45,3.56,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,108090.0,0.0,,209.18,700.31,0.0,群益,權證金流未見明顯高於近期平均的變化,,,,,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;電子零組件業,0,,,False,False,False,False,False,False,False,False,False,電子零組件業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_3d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,3,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,0,rule_based_from_Taiwan_monthly_revenue_deadline,20260601,1,1,1,1,1,20260601,20260601,true_breakout,first_seen,首次上榜，屬於新訊號，需等量價、TDCC 與 benchmark 確認。,電源_BBU,,power_supply_theme,market_theme,core_mainstream,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,authorized_seed,high,user_authorized_seed_20260530,3,嚴格突破,breakout_confirmed / true_breakout,A_priority_watch,最優先追蹤,100.0,7,7,6,priority_candidate,selected_priority,core_mainstream,core_mainstream_selected_priority,normal,一般候選,False,False,,,mild_accumulation,first_seen,not_overheated,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=151；量比=3.33；距前高=3.56%；20日漲幅=8.88%；TDCC=mild_accumulation；權證=no_signal,,確認突破後不跌回平台/頸線，量能不要爆量失控或長上影。,buy_now,建議買進,breakout_follow,normal_position,buy_first_tranche_now|add_on_23ema_hold|add_on_reclaim_23ema|add_on_breakout|take_profit_near_prior_high|take_profit_on_volume_price_failure|exit_if_lost_23ema|exit_if_lost_recent_low|exit_if_revenue_breaks|exit_if_tdcc_and_price_both_weaken,model_recommended|decision_priority_high|decision_score_high|price_structure_not_broken|revenue_not_deteriorating|no_major_tdcc_warning|no_major_volume_price_failure|acceptable_risk_reward,next_monthly_revenue|next_tdcc_update|23ema_hold_or_reclaim|volume_price_confirmation|prior_high_breakout_quality|sector_benchmark_strength|event_follow_through|warrant_overheat_check,,high,breakout_confirmed,False,電源_BBU,,power_supply_theme,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,authorized_seed,high,user_authorized_seed_20260530,電源_BBU,9,2,4,1,1,2,5,2,0,4,2,3,4,0,0,1.61,0.0,3015,全漢,True,100,100.0,36.0,mainstream_leader,mainstream_leader,core_mainstream_theme,core_mainstream_supported,mainstream_theme_candidate,帶量突破 / 嚴格突破,breakout_attack_stock,True,mainstream_leader；帶量突破 / 嚴格突破；族群與個股條件同時命中
20260601,true_breakout,嚴格突破,true_breakout,6214,精誠,資訊服務業,,,,,149.0,,,,,,,,,,,,,,,,,,144.0,4021531.0,4021.53,2.5,127.95,120.22,128.35,,,,,132.5,132.5,,8.68,8.68,,,,,,,132.5,121.0,9.5,,True,True,True,True,False,False,False,True,False,True,12.06,132.5,previous_60d_high,8.68,False,True,True,True,True,False,breakout_confirmed,132.5,127.0,4.33,True,True,True,,278.0,,20260529.0,,,,,,3.0,0.24,0.95,1.0,1.0,mild_accumulation,近幾週400張與1000張合計增加,,,,,,,,,data/daily_price,180,嚴格突破；量比2.5x；月營收YoY 28.3%；累計YoY 23.3%；TDCC近幾週大戶溫和增加,6214,精誠,TWSE,強突破候選,,11504.0,28.33226024009162,23.34742346393199,137.5,144.0,137.5,12.54,19.78,12.19,11.63,10.77,14.74,31.51,19.01,132.5,121.0,113.0,104.5,17.26,8.68,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,1054710.0,0.0,,-50.05,-24.78,0.0,永豐,權證金流未見明顯高於近期平均的變化,,,,,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;資訊服務業,0,,,False,False,False,False,False,False,False,False,False,資訊服務業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_3d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,3,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,0,rule_based_from_Taiwan_monthly_revenue_deadline,20260601,8,8,5,8,8,20260523,20260601,pattern|true_breakout,continued_many_days,連續 8 個交易日上榜，需判斷是持續醞釀或訊號鈍化。,資訊服務業_待細分,,information_service_general_theme,market_theme,core_mainstream,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,4,嚴格突破,breakout_confirmed / true_breakout,A_priority_watch,最優先追蹤,100.0,10,10,9,priority_candidate,selected_priority,core_mainstream,core_mainstream_selected_priority,normal,一般候選,False,False,,,mild_accumulation,continued_many_days,not_overheated,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=149；量比=2.50；距前高=8.68%；20日漲幅=14.74%；TDCC=mild_accumulation；權證=no_signal,,確認突破後不跌回平台/頸線，量能不要爆量失控或長上影。,buy_now,建議買進,breakout_follow,normal_position,buy_first_tranche_now|add_on_23ema_hold|add_on_reclaim_23ema|add_on_breakout|take_profit_near_prior_high|take_profit_on_volume_price_failure|exit_if_lost_23ema|exit_if_lost_recent_low|exit_if_revenue_breaks|exit_if_tdcc_and_price_both_weaken,model_recommended|decision_priority_high|decision_score_high|price_structure_not_broken|revenue_not_deteriorating|no_major_tdcc_warning|no_major_volume_price_failure|acceptable_risk_reward,next_monthly_revenue|next_tdcc_update|23ema_hold_or_reclaim|volume_price_confirmation|prior_high_breakout_quality|sector_benchmark_strength|event_follow_through|warrant_overheat_check,,high,breakout_confirmed,False,資訊服務業_待細分,,information_service_general_theme,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,資訊服務業_待細分,13,2,2,3,3,8,8,7,0,0,3,10,4,0,0,4.35,0.0,5203,訊連,True,100,100.0,100.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported,mainstream_theme_candidate,帶量突破 / 嚴格突破,breakout_attack_stock,True,mainstream_follow_through；帶量突破 / 嚴格突破；族群與個股條件同時命中
20260601,true_breakout,嚴格突破,true_breakout,2480,敦陽科,資訊服務業,,,,,146.0,,,,,,,,,,,,,,,,,,161.0,1943584.0,1943.58,4.08,148.78,143.98,148.27,,,,,152.0,152.0,,5.92,5.92,,,,,,,152.0,145.5,4.47,,True,False,True,False,False,False,False,True,False,False,10.65,152.0,previous_60d_high,5.92,False,True,True,True,True,False,breakout_confirmed,150.0,145.5,3.09,False,True,True,,278.0,,20260529.0,,,,,,3.0,-0.14,-0.08,1.0,1.0,distribution_warning,近幾週400張與1000張同步減少,,,,,,,,,data/daily_price,180,嚴格突破；量比4.08x；月營收YoY 8.0%；累計YoY 14.7%；TDCC近幾週大戶籌碼轉弱,2480,敦陽科,TWSE,強突破候選,,11504.0,7.953813759639084,14.731122978653168,150.0,161.0,150.0,8.22,11.82,8.58,9.9,7.69,8.78,14.18,5.57,152.0,145.5,136.5,136.5,11.36,5.92,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_signal,0.0,,282860.0,0.0,,166288.24,831841.18,0.0,統一,權證金流未見明顯高於近期平均的變化,,,,,0,monthly_revenue_calendar;calendar_monthly_revenue_expected_window;資訊服務業,0,,,False,False,False,False,False,False,False,False,False,資訊服務業,,,calendar event: monthly_revenue_expected_window on 20260601; status=expected_window; proximity=within_3d,no_catalyst_date; use current price reaction fields,mild,False,,,,,,,,,,True,False,monthly_revenue_calendar;calendar_monthly_revenue_expected_window,3,20260601,monthly_revenue_expected_window,202605 monthly revenue expected window,0,rule_based_from_Taiwan_monthly_revenue_deadline,20260601,1,1,1,1,1,20260601,20260601,true_breakout,first_seen,首次上榜，屬於新訊號，需等量價、TDCC 與 benchmark 確認。,資訊服務業_待細分,,information_service_general_theme,market_theme,core_mainstream,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,5,嚴格突破,breakout_confirmed / true_breakout,B_confirm_needed,可等確認,79.0,24,24,4,high_momentum_risk_follow,short_term_risk_follow,core_mainstream,core_mainstream_short_term_risk_follow,high_momentum_risk_follow,高動能風險追蹤,True,False,tdcc_distribution_warning,TDCC 大戶轉弱,distribution_warning,first_seen,not_overheated,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=146；量比=4.08；距前高=5.92%；20日漲幅=8.78%；TDCC=distribution_warning；權證=no_signal,TDCC 大戶轉弱,??????????????????????????????????? D+5/D+10 ???,starter_position,可小量試單,breakout_follow,starter_1_4,buy_first_tranche_near_support|add_on_23ema_hold|add_on_reclaim_23ema|add_on_breakout|take_profit_near_prior_high|take_profit_on_volume_price_failure|exit_if_lost_23ema|exit_if_lost_recent_low|exit_if_revenue_breaks|exit_if_tdcc_and_price_both_weaken,model_recommended|price_structure_not_broken|revenue_not_deteriorating|no_major_volume_price_failure|acceptable_risk_reward,next_monthly_revenue|next_tdcc_update|23ema_hold_or_reclaim|volume_price_confirmation|prior_high_breakout_quality|sector_benchmark_strength|event_follow_through|warrant_overheat_check,tdcc_distribution_warning,medium,breakout_confirmed,True,資訊服務業_待細分,,information_service_general_theme,core_mainstream,core_mainstream,False,,mainstream,True,False,False,mainstream_section,provisional_industry_theme,low,provisional_industry_mapping,資訊服務業_待細分,13,2,2,3,3,8,8,7,0,0,3,10,4,0,0,4.35,0.0,5203,訊連,True,100,100.0,100.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported,mainstream_theme_candidate,帶量突破 / 嚴格突破,breakout_attack_stock,True,mainstream_follow_through；帶量突破 / 嚴格突破；族群與個股條件同時命中
