target_return_pct,filter_metric,filter_rule,threshold,selected_stock_days,hit_stock_days,hit_rate_pct,selected_unique_stocks,hit_unique_stocks,coverage_of_all_hits_pct,base_hit_rate_pct,total_hit_stock_days
20.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,194560,13298,6.83,1967,1139,87.24,6.94,15243
20.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,138559,10487,7.57,1966,1093,68.8,6.94,15243
20.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1,1.0,98456,8390,8.52,1965,1046,55.04,6.94,15243
20.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,66767,6560,9.83,1963,977,43.04,6.94,15243
20.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,37435,4459,11.91,1952,859,29.25,6.94,15243
20.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=2,2.0,16339,2381,14.57,1721,644,15.62,6.94,15243
20.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=3,3.0,3998,706,17.66,1000,301,4.63,6.94,15243
20.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=5,5.0,406,74,18.23,286,58,0.49,6.94,15243
20.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,197156,13301,6.75,1968,1135,87.26,6.94,15243
20.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,141332,10214,7.23,1966,1074,67.01,6.94,15243
20.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1,1.0,98452,7876,8.0,1963,1000,51.67,6.94,15243
20.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,64577,5930,9.18,1963,900,38.9,6.94,15243
20.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,33632,3687,10.96,1938,713,24.19,6.94,15243
20.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=2,2.0,12771,1634,12.79,1566,466,10.72,6.94,15243
20.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=3,3.0,1506,214,14.21,427,101,1.4,6.94,15243
20.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=5,5.0,0,0,0.0,0,0,0.0,6.94,15243
10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,194560,42586,21.89,1967,1684,87.76,22.1,48523
10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,138559,32432,23.41,1966,1670,66.84,22.1,48523
10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1,1.0,98456,25260,25.66,1965,1628,52.06,22.1,48523
10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,66767,19215,28.78,1963,1564,39.6,22.1,48523
10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,37435,12900,34.46,1952,1451,26.59,22.1,48523
10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=2,2.0,16339,6878,42.1,1721,1215,14.17,22.1,48523
10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=3,3.0,3998,2087,52.2,1000,696,4.3,22.1,48523
10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=5,5.0,406,235,57.88,286,172,0.48,22.1,48523
10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,197156,42763,21.69,1968,1684,88.13,22.1,48523
10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,141332,31933,22.59,1966,1659,65.81,22.1,48523
10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1,1.0,98452,23980,24.36,1963,1598,49.42,22.1,48523
10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,64577,17397,26.94,1963,1501,35.85,22.1,48523
10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,33632,10698,31.81,1938,1314,22.05,22.1,48523
10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=2,2.0,12771,4746,37.16,1566,956,9.78,22.1,48523
10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=3,3.0,1506,618,41.04,427,249,1.27,22.1,48523
10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=5,5.0,0,0,0.0,0,0,0.0,22.1,48523
