group_name,group_value,sample_count,mature_d1_count,avg_return_d1,median_return_d1,win_rate_d1,avg_mfe_d1,avg_mae_d1,mature_d3_count,avg_return_d3,median_return_d3,win_rate_d3,avg_mfe_d3,avg_mae_d3,mature_d5_count,avg_return_d5,median_return_d5,win_rate_d5,avg_mfe_d5,avg_mae_d5,mature_d10_count,avg_return_d10,median_return_d10,win_rate_d10,avg_mfe_d10,avg_mae_d10,mature_d20_count,avg_return_d20,median_return_d20,win_rate_d20,avg_mfe_d20,avg_mae_d20,sample_status,best_horizon
volume_breakout_type,abnormal_volume_up,987,974,0.3347,-0.3047,45.59,4.0016,-2.3909,969,0.2596,-0.7449,43.14,6.6147,-4.2415,964,0.2892,-1.4072,41.39,8.2493,-5.4668,944,1.639,-1.537,43.54,11.753,-7.1965,893,3.9638,-1.4205,45.58,17.208,-8.895,ok,D+20
volume_breakout_type,loose_ma_reclaim_volume_watch,3086,2953,0.1957,0.0,41.58,1.9845,-1.3367,2889,0.5838,-0.2392,44.34,3.9947,-2.5911,2840,0.7042,-0.4167,43.2,5.4541,-3.4716,2778,1.5072,-0.4124,44.1,8.0721,-4.8494,2589,3.6445,0.0,49.21,12.4975,-6.2106,ok,D+20
volume_breakout_type,loose_platform_volume_watch,7524,7264,0.1202,0.0,40.76,1.7371,-1.4314,7092,0.3859,-0.2608,42.95,3.4748,-2.6061,6932,0.4971,-0.4,42.34,4.7156,-3.3958,6748,1.0325,-0.5298,43.52,7.0834,-4.7743,6199,2.5354,-0.3992,46.14,11.0861,-6.2865,ok,D+20
volume_breakout_type,loose_right_side_volume_watch,1088,1063,0.3416,0.0,41.11,2.5963,-1.8394,1026,0.7935,-0.3569,45.61,5.0924,-3.3607,984,0.9715,-0.3608,45.63,6.7652,-4.4113,961,2.1886,-0.5706,47.14,10.0233,-5.9674,874,5.2139,-0.1623,48.17,15.6707,-7.5316,ok,D+20
volume_breakout_type,neckline_volume_breakout,3527,3326,0.1599,0.0,42.75,2.7602,-2.1639,3226,0.5114,-0.1605,45.75,5.2291,-3.9198,3118,0.8926,-0.4946,44.23,6.9867,-4.866,2930,2.706,-0.232,47.27,10.5734,-6.4929,2418,5.3213,0.0,49.88,16.8633,-8.3618,ok,D+20
volume_breakout_type,platform_volume_breakout,3533,3495,0.9326,0.0,48.41,4.0438,-1.7068,3478,1.1879,-0.1545,48.02,6.9944,-3.5493,3470,1.1457,-0.5674,44.9,8.5093,-4.6337,3427,1.702,-1.0,44.94,11.6228,-6.3413,3251,3.6138,-1.1923,45.65,17.059,-8.5186,ok,D+20
volume_breakout_type,right_side_volume_attack,3154,3101,1.0714,0.0,48.47,4.3294,-1.895,3073,1.8067,0.0,49.11,7.8521,-3.8856,3025,2.1753,-0.3311,47.87,10.2669,-5.18,2908,3.4602,0.0,49.62,14.3708,-7.2179,2619,8.0412,1.6878,53.57,22.0018,-8.9553,ok,D+20
volume_breakout_type,strict_60d_volume_breakout,2373,2276,1.1876,0.2877,51.58,4.8007,-2.2653,2244,1.7412,0.1549,50.22,8.9052,-4.8332,2216,2.0624,-0.3328,48.06,11.3972,-6.3177,2066,5.2615,0.9543,52.27,16.6321,-8.3831,1677,9.3684,1.9685,53.73,25.7556,-10.5976,ok,D+20
volume_breakout_type,volume_expansion_watch,10314,10100,0.0817,-0.2018,42.1,2.3596,-1.7629,10039,0.3488,-0.4535,42.79,4.5464,-3.2383,9996,0.6773,-0.5528,43.17,6.1434,-4.1434,9788,1.4422,-0.6349,44.44,9.0366,-5.6245,9171,3.0713,-0.5666,46.52,13.7333,-7.3682,ok,D+20
volume_watch_scope,broad_watch,11698,11280,0.1608,0.0,41.01,1.8829,-1.445,11007,0.4759,-0.2604,43.56,3.7621,-2.6725,10756,0.5952,-0.4009,42.87,5.0981,-3.5087,10487,1.2642,-0.5,44.01,7.6147,-4.9035,9662,3.0749,-0.2967,47.14,11.879,-6.3788,ok,D+20
