generated_at,model_id,model_name_zh,parameter_set_id,parameter_summary,entry_basis,recommended_usage,recommendation_reason_code,recommended_close_exit_horizon,best_close_win_rate_pct,best_avg_close_return_pct,recommended_high_exit_horizon,best_avg_high_return_pct,best_high_5pct_hit_rate_pct,selected_stock_days,selected_unique_stocks,sample_status,pdf_visibility,model_revision_note
2026-06-14 13:54:54 Asia/Taipei,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,high_thresholds_ret5_10_30_ret10_20_50_kd,高級距增加 + 5日漲幅 10% 至 30% + 10日漲幅 20% 至 50% + KD 多方但未過熱,signal_date_next_open,promote_to_pdf_core,close_hold_edge,D+10,69.18,9.26,D+20,35.7,90.7,265,175,ok_first_pass,pdf_core_model,D+1 到 D+10 的最佳收盤勝率與平均報酬達第一版門檻，可列入 PDF 專項核心候選；仍不可直接改核心權重。
2026-06-14 13:54:54 Asia/Taipei,hot_theme_pullback,熱門族群回檔模型,strict_mainstream_supported_ema-2.5_5_support8,歷史熱門/主流族群狀態 strict_mainstream_supported + 距 23EMA -2.5% 至 5% 或接近20日支撐 8% 內,signal_date_next_open,promote_to_pdf_core,close_hold_edge,D+7,75.0,5.28,D+9,13.49,79.63,618,321,ok_first_pass,pdf_core_model,D+1 到 D+10 的最佳收盤勝率與平均報酬達第一版門檻，可列入 PDF 專項核心候選；仍不可直接改核心權重。
2026-06-14 13:54:54 Asia/Taipei,hot_theme_pullback,熱門族群回檔模型,strict_mainstream_supported_ema-4_7_support10,歷史熱門/主流族群狀態 strict_mainstream_supported + 距 23EMA -4% 至 7% 或接近20日支撐 10% 內,signal_date_next_open,promote_to_pdf_core,close_hold_edge,D+7,72.88,5.01,D+9,13.24,79.55,757,371,ok_first_pass,pdf_core_model,D+1 到 D+10 的最佳收盤勝率與平均報酬達第一版門檻，可列入 PDF 專項核心候選；仍不可直接改核心權重。
2026-06-14 13:54:54 Asia/Taipei,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,all_thresholds_up_ret5_10_30_macd,四級距同步增加 + 5日漲幅 10% 至 30% + MACD 柱狀體 > 0,signal_date_next_open,pdf_secondary_watch,moderate_close_hold_edge,D+10,57.65,6.98,D+20,27.01,78.97,1397,452,ok_first_pass,pdf_core_model,收盤持有邊際優勢普通，可列次要觀察或加分項，不應作為單一主條件。
2026-06-14 13:54:54 Asia/Taipei,tdcc_stealth_accumulation,TDCC潛伏吸籌模型,tdcc_up2_range10,TDCC 連續增加週數 >= 2 + 股價位於 23 日區間上下 10% 內 + 20 日漲幅 <= 20%,signal_date_next_open,pdf_secondary_watch,moderate_close_hold_edge,D+10,55.3,2.29,D+10,7.69,44.86,16636,1269,ok_first_pass,pdf_core_model,收盤持有邊際優勢普通，可列次要觀察或加分項，不應作為單一主條件。
2026-06-14 13:54:54 Asia/Taipei,tdcc_stealth_accumulation,TDCC潛伏吸籌模型,tdcc_up1_range10,TDCC 連續增加週數 >= 1 + 股價位於 23 日區間上下 10% 內 + 20 日漲幅 <= 20%,signal_date_next_open,pdf_secondary_watch,moderate_close_hold_edge,D+10,52.54,2.2,D+20,9.54,51.43,27457,1686,ok_first_pass,pdf_core_model,收盤持有邊際優勢普通，可列次要觀察或加分項，不應作為單一主條件。
2026-06-14 13:54:54 Asia/Taipei,tdcc_stealth_accumulation,TDCC潛伏吸籌模型,tdcc_up3_range10,TDCC 連續增加週數 >= 3 + 股價位於 23 日區間上下 10% 內 + 20 日漲幅 <= 20%,signal_date_next_open,score_component_only,weak_positive_edge,D+8,51.56,1.14,D+20,7.26,48.11,10144,832,ok_first_pass,pdf_core_model,單獨模型勝率不足，但平均報酬略正；可當 TDCC、營收、族群或權證共振的加分項。
2026-06-14 13:54:54 Asia/Taipei,volume_range_breakout,放量攻擊模型,locked_limit_up_breakout_minvol1000,鎖量漲停突破前20日高點 2% + 漲幅 >= 9% + 一價或極窄區間 + 20日均量 >= 1000張；允許量比 < 2,signal_date_next_open,intraday_target_watch,high_return_not_close_hold,D+10,50.45,5.66,D+20,31.17,74.59,264,179,ok_first_pass,pdf_core_model,盤中最高價命中率/高點報酬較好，但收盤勝率不足；只能作短線目標價或移動停利研究，不可寫成收盤持有勝率。
2026-06-14 13:54:54 Asia/Taipei,pullback_short_reclaim,回檔後短線轉強模型,prior20up_reclaim_vol1.5,前 20 日漲幅 >= 10% + 距 23EMA -1% 至 6% + MACD 柱狀體 > 0 + 量比 >= 1.5,signal_date_next_open,intraday_target_watch,high_return_not_close_hold,D+10,48.97,2.69,D+20,17.66,70.25,1519,845,ok_first_pass,pdf_core_model,盤中最高價命中率/高點報酬較好，但收盤勝率不足；只能作短線目標價或移動停利研究，不可寫成收盤持有勝率。
2026-06-14 13:54:54 Asia/Taipei,pullback_short_reclaim,回檔後短線轉強模型,prior20up_reclaim_vol1.2,前 20 日漲幅 >= 10% + 距 23EMA -1% 至 6% + MACD 柱狀體 > 0 + 量比 >= 1.2,signal_date_next_open,intraday_target_watch,high_return_not_close_hold,D+10,49.72,2.62,D+20,17.14,69.64,2383,1056,ok_first_pass,pdf_core_model,盤中最高價命中率/高點報酬較好，但收盤勝率不足；只能作短線目標價或移動停利研究，不可寫成收盤持有勝率。
2026-06-14 13:54:54 Asia/Taipei,volume_range_breakout,放量攻擊模型,prior20x1.03_vol2_minvol1000,收盤突破前20日高點 3% + 量比 >= 2 + 20日均量 >= 1000張 + 實體紅K,signal_date_next_open,intraday_target_watch,high_return_not_close_hold,D+10,44.72,2.41,D+20,21.42,72.57,3090,1085,ok_first_pass,pdf_core_model,盤中最高價命中率/高點報酬較好，但收盤勝率不足；只能作短線目標價或移動停利研究，不可寫成收盤持有勝率。
2026-06-14 13:54:54 Asia/Taipei,pullback_short_reclaim,回檔後短線轉強模型,prior20up_reclaim_vol1,前 20 日漲幅 >= 10% + 距 23EMA -1% 至 6% + MACD 柱狀體 > 0 + 量比 >= 1,signal_date_next_open,intraday_target_watch,high_return_not_close_hold,D+10,49.44,2.32,D+20,16.59,69.18,3363,1195,ok_first_pass,pdf_core_model,盤中最高價命中率/高點報酬較好，但收盤勝率不足；只能作短線目標價或移動停利研究，不可寫成收盤持有勝率。
