generated_at,model_id,model_name_zh,parameter_set_id,parameter_summary,parameter_role,production_parity_status,parity_blocker,variant_of,pdf_visibility,entry_basis,selected_stock_days,selected_unique_stocks,best_close_horizon_d1_d10,best_close_win_rate_pct,best_avg_close_return_pct,sample_status,apply_status,notes,d1_mature_count,d1_close_win_rate_pct,d1_avg_close_return_pct,d1_avg_high_return_pct,d2_mature_count,d2_close_win_rate_pct,d2_avg_close_return_pct,d2_avg_high_return_pct,d3_mature_count,d3_close_win_rate_pct,d3_avg_close_return_pct,d3_avg_high_return_pct,d5_mature_count,d5_close_win_rate_pct,d5_avg_close_return_pct,d5_avg_high_return_pct,d10_mature_count,d10_close_win_rate_pct,d10_avg_close_return_pct,d10_avg_high_return_pct,d20_mature_count,d20_close_win_rate_pct,d20_avg_close_return_pct,d20_avg_high_return_pct
2026-06-21 21:06:21 Asia/Taipei,volume_range_breakout,放量攻擊模型,production_current,production baseline: normal prior-20d breakout OR locked-limit-up breakout bypass,production_baseline,production_parity,,production_current,pdf_core_model,signal_date_next_open,4180,1193,D+10,44.05,1.64,ok_first_pass,candidate_parameter_review,"Matches current production logic available in historical price fields, including locked-limit-up bypass without a volume-ratio gate.",4180,36.72,-0.66,2.78,4155,43.49,-0.26,5.21,4141,42.55,-0.09,6.83,4107,41.9,0.13,9.16,4016,44.05,1.64,13.37,3638,47.88,5.36,21.15
2026-06-21 21:06:22 Asia/Taipei,price_pullback_23ema,股價回檔模型,production_current_proxy,production baseline proxy: near 23EMA/support + EMA23 slope proxy up,production_baseline,production_proxy,support/platform entry flags are not fully backfilled in the historical research frame,production_current,pdf_core_model,signal_date_next_open,98821,1959,D+10,44.13,0.87,ok_first_pass,candidate_parameter_review,Production uses support/platform flags when available; research approximates support from historical 20d range low.,98821,39.35,-0.16,1.41,98189,42.14,-0.07,2.32,97543,42.93,0.03,3.04,96327,43.65,0.27,4.3,92202,44.13,0.87,6.78,87334,45.86,2.39,11.04
2026-06-21 21:06:22 Asia/Taipei,hot_theme_pullback,熱門族群回檔模型,production_current_proxy,production baseline proxy: no-lookahead mainstream theme + pullback near 23EMA/support,production_baseline,production_proxy,daily hot-theme labels are not fully backfilled as point-in-time model-layer fields,production_current,pdf_core_model,signal_date_next_open,2335,652,D+5,57.78,1.67,ok_first_pass,candidate_parameter_review,Production uses current model-layer hot theme labels; research uses strict historical no-lookahead theme state.,2335,48.01,0.3,2.32,2140,61.03,1.59,4.13,1951,56.95,1.26,5.27,1542,57.78,1.67,7.64,1164,47.85,-0.16,9.74,0,,,
2026-06-21 21:06:25 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,production_current_proxy,production baseline proxy: price still in 23d range and attack not started; revenue panel missing,production_baseline,proxy_only,historical revenue panel is incomplete; strong_revenue gate cannot be replayed point-in-time,production_current,pdf_core_model,signal_date_next_open,324653,1979,D+10,44.17,0.67,ok_first_pass,candidate_parameter_review,"Revenue YoY/cumulative YoY history is not complete in this research frame, so this row is not production-parity.",324653,39.23,-0.13,1.3,323167,42.14,-0.03,2.16,321606,43.09,0.06,2.84,318528,43.88,0.25,3.98,310831,44.17,0.67,6.23,296917,45.08,1.62,9.84
2026-06-21 21:06:26 Asia/Taipei,w_bottom_right_side,W底右側模型,production_current_proxy,production baseline proxy: W-bottom geometry proxy and not already a breakout,production_baseline,production_proxy,full production W-bottom detector is row/context based and not yet reused by the research grid,production_current,pdf_core_model,signal_date_next_open,87311,1931,D+10,44.92,1.22,ok_first_pass,candidate_parameter_review,Production uses stricter two-trough geometry from price history; research keeps a lightweight W proxy until the detector is shared safely.,87311,39.42,-0.19,1.67,86704,41.95,-0.07,2.75,86108,42.8,0.06,3.62,84901,43.56,0.35,5.1,81917,44.92,1.22,8.06,76494,47.5,3.38,13.14
2026-06-21 21:06:26 Asia/Taipei,near_high_neckline_challenge,接近前高 / 頸線挑戰模型,production_current_proxy,production baseline proxy: within 5% below 60d high + volume >= 1.2 + EMA23 up,production_baseline,production_proxy,neckline-specific fields and already-confirmed-breakout flags are not fully backfilled,production_current,pdf_core_model,signal_date_next_open,17306,1731,D+10,43.49,0.92,ok_first_pass,candidate_parameter_review,Research uses 60d-high distance as the neckline/prior-high proxy.,17306,39.55,-0.2,1.78,17214,41.87,-0.13,2.89,17125,41.73,-0.06,3.73,16925,42.44,0.17,5.11,16386,43.49,0.92,7.81,15390,45.75,2.94,12.64
2026-06-21 21:06:26 Asia/Taipei,platform_strengthening,平台整理轉強模型,production_current_proxy,"production baseline proxy: 20d range width <= 18%, near upper edge, volume >= 1.2, solid red candle",production_baseline,production_proxy,platform_base_flag and platform width fields are not fully point-in-time backfilled,production_current,pdf_core_model,signal_date_next_open,11232,1718,D+10,42.55,0.4,ok_first_pass,candidate_parameter_review,Research uses rolling range statistics instead of production platform flags.,11232,39.62,-0.13,1.28,11183,41.89,-0.03,2.11,11160,41.74,-0.02,2.7,11077,41.71,0.04,3.64,10765,42.55,0.4,5.54,9992,42.95,1.14,8.7
2026-06-21 21:06:27 Asia/Taipei,pullback_short_reclaim,回檔後短線轉強模型,production_current_proxy,"production baseline proxy: 20d return >= 5%, pullback/reclaim proxy, EMA23 up",production_baseline,production_proxy,pullback_entry_zone/right_side/ma20_reclaim setup flags are not fully backfilled,production_current,pdf_core_model,signal_date_next_open,82199,1842,D+10,45.82,1.78,ok_first_pass,candidate_parameter_review,Production uses pullback/right-side/reclaim flags; research approximates with EMA and MA20 reclaim context.,82199,39.29,-0.32,2.26,81498,42.57,-0.09,3.8,80862,43.45,0.14,5.02,79578,44.74,0.63,7.07,76746,45.82,1.78,11.0,69759,49.55,5.05,17.74
2026-06-21 21:06:28 Asia/Taipei,tdcc_stealth_accumulation,TDCC潛伏吸籌模型,production_current_proxy,"production baseline proxy: TDCC positive, attack not started, low volume/return, still in range",production_baseline,production_proxy,tdcc_price_phase is not fully available historically for every signal date,production_current,pdf_core_model,signal_date_next_open,29748,1712,D+10,52.81,1.91,ok_first_pass,candidate_parameter_review,Production uses TDCC phase when available; research uses weekly TDCC history and range constraints.,29748,41.96,-0.0,1.56,28934,45.31,0.19,2.61,28090,46.46,0.35,3.42,26448,49.49,0.79,4.91,22103,52.81,1.91,7.81,13836,56.09,3.14,12.33
2026-06-21 21:06:28 Asia/Taipei,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,production_current_proxy,production baseline proxy: TDCC sync/high thresholds + 5d momentum + MACD/KD,production_baseline,production_proxy,daily specialty packet fields are not a single core build_specs condition and must be replayed from historical TDCC/technical proxies,production_current,pdf_core_model,signal_date_next_open,2715,739,D+10,43.43,1.98,ok_first_pass,candidate_parameter_review,This mirrors the daily specialty short-term continuation surface enough to serve as baseline before deeper grid variants.,2715,40.63,-0.38,3.08,2628,41.7,-0.21,5.19,2574,41.34,-0.15,6.63,2448,43.34,0.46,9.09,2183,43.43,1.98,13.8,894,54.7,10.24,28.05
