date,ticker,found,name,market,open,high,low,close,volume,trading_value
20260302,5291,True,邑昇,TPEX,54.1,58.7,54.0,58.7,5187000,
20260303,5291,True,邑昇,TPEX,60.0,62.3,54.0,54.8,3657000,
20260304,5291,True,邑昇,TPEX,52.1,52.1,49.35,50.0,1338000,
20260305,5291,True,邑昇,TPEX,53.7,55.0,51.5,55.0,1433000,
20260306,5291,True,邑昇,TPEX,54.6,56.5,51.5,56.0,1147000,
20260309,5291,True,邑昇,TPEX,51.0,54.7,51.0,54.7,601000,
20260310,5291,True,邑昇,TPEX,55.5,55.9,51.7,51.8,754000,
20260311,5291,True,邑昇,TPEX,51.0,53.6,48.5,53.0,1167000,
20260312,5291,True,邑昇,TPEX,51.6,54.4,51.2,51.2,572000,
20260313,5291,True,邑昇,TPEX,50.4,53.1,50.0,53.1,431000,
20260316,5291,True,邑昇,TPEX,54.4,58.4,53.2,58.4,1494000,
20260317,5291,True,邑昇,TPEX,60.0,64.2,54.4,55.4,6740000,
20260318,5291,True,邑昇,TPEX,57.3,59.5,55.4,55.4,3239000,
20260319,5291,True,邑昇,TPEX,56.1,60.9,56.0,60.9,3240000,
20260320,5291,True,邑昇,TPEX,65.1,66.9,61.5,62.3,9878000,
20260323,5291,True,邑昇,TPEX,61.0,68.5,60.4,68.5,6294000,
20260324,5291,True,邑昇,TPEX,75.0,75.3,67.0,67.0,16094000,
20260325,5291,True,邑昇,TPEX,69.5,73.7,68.7,73.7,4241000,
20260326,5291,True,邑昇,TPEX,75.6,78.9,74.0,76.5,15343000,
20260327,5291,True,邑昇,TPEX,76.0,79.6,74.6,75.8,8077000,
20260330,5291,True,邑昇,TPEX,75.0,79.7,70.0,77.7,5760000,
20260331,5291,True,邑昇,TPEX,79.1,84.6,75.1,75.7,11855000,
20260401,5291,True,邑昇,TPEX,80.0,81.4,75.5,78.0,5348000,
20260402,5291,True,邑昇,TPEX,77.7,79.2,71.9,71.9,3439000,
20260407,5291,True,邑昇,TPEX,71.1,73.0,66.8,66.8,2833000,
20260408,5291,True,邑昇,TPEX,68.7,71.9,68.4,71.3,2406000,
20260409,5291,True,邑昇,TPEX,71.8,73.1,68.9,68.9,2536000,
20260410,5291,True,邑昇,TPEX,70.5,71.8,68.9,70.9,1348000,
20260413,5291,True,邑昇,TPEX,71.4,77.9,71.1,77.9,5012000,
20260414,5291,True,邑昇,TPEX,80.0,82.2,74.1,75.6,4495000,
20260415,5291,True,邑昇,TPEX,75.6,77.4,73.9,74.5,1671000,
20260416,5291,True,邑昇,TPEX,73.8,74.3,71.5,72.2,1390000,
20260417,5291,True,邑昇,TPEX,73.5,74.5,70.3,70.3,1565000,
20260420,5291,True,邑昇,TPEX,69.9,71.0,67.1,67.5,1428000,
20260421,5291,True,邑昇,TPEX,68.3,70.0,67.5,67.9,1149000,
20260422,5291,True,邑昇,TPEX,69.0,69.5,67.9,68.0,676000,
20260423,5291,True,邑昇,TPEX,67.8,68.7,61.2,61.3,1751000,
20260424,5291,True,邑昇,TPEX,61.4,61.5,55.9,57.7,1195000,
20260427,5291,True,邑昇,TPEX,58.8,59.6,55.2,58.7,934000,
20260428,5291,True,邑昇,TPEX,60.2,60.2,57.7,59.4,590000,
20260429,5291,True,邑昇,TPEX,58.4,58.7,56.7,56.9,408000,
20260430,5291,True,邑昇,TPEX,57.9,62.5,57.5,62.5,1081000,
20260504,5291,True,邑昇,TPEX,67.0,68.7,62.7,68.7,2513000,
20260505,5291,True,邑昇,TPEX,66.9,70.9,66.8,69.0,3475000,
20260506,5291,True,邑昇,TPEX,69.5,69.5,63.8,65.0,1401000,
20260507,5291,True,邑昇,TPEX,65.1,66.6,63.7,64.0,655000,
20260508,5291,True,邑昇,TPEX,67.7,70.4,67.5,70.4,6026000,
20260511,5291,True,邑昇,TPEX,75.0,77.4,71.2,71.5,9026000,
20260512,5291,True,邑昇,TPEX,69.2,73.1,69.2,70.7,1904000,
20260513,5291,True,邑昇,TPEX,70.8,70.8,67.5,68.2,869000,
20260514,5291,True,邑昇,TPEX,67.9,70.3,67.8,67.8,835000,
20260515,5291,True,邑昇,TPEX,68.6,69.1,66.0,66.7,851000,
20260518,5291,True,邑昇,TPEX,66.7,73.3,64.6,73.3,1517000,
20260519,5291,True,邑昇,TPEX,74.5,77.3,73.5,76.5,6267000,
