signal_date,stock_id,stock_name,theme_name,theme_final_status,theme_status_group,candidate_source_type,candidate_line_group,candidate_line,two_line_overlap_flag,presentation_priority,model_score,tdcc_status,warrant_flow_signal,volume_ratio,return_20d,repeat_appear_label,volume_breakout_type,volume_breakout_priority,selection_status,volume_attack_bucket,theme_volume_attack_status,is_volume_attack_selected,is_volume_attack_watch,is_volume_attack_failed,created_at,source_files
20260909,1101,台泥,水泥工業,mainstream_overheated,mainstream_overheated,risk_downgraded_candidate,risk,降級 / 鈍化 / 風險,False,,54.0,,call_strong_inflow,0.57,,stale_signal,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1102,亞泥,水泥工業,mainstream_overheated,mainstream_overheated,individual_quality_candidate,range_near_high_watch,區間轉強 / 前高挑戰,False,,54.0,,no_signal,0.98,,stale_signal,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1301,台塑,塑膠工業,mainstream_overheated,mainstream_overheated,risk_downgraded_candidate,risk,降級 / 鈍化 / 風險,False,,46.0,,no_signal,0.74,,stale_signal,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1304,台聚,塑膠工業,mainstream_overheated,mainstream_overheated,individual_quality_candidate,range_near_high_watch,區間轉強 / 前高挑戰,False,,69.0,,no_signal,1.49,,continued_2_3d,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1305,華夏,塑膠工業,mainstream_overheated,mainstream_overheated,individual_quality_candidate,range_near_high_watch,區間轉強 / 前高挑戰,False,,69.0,,no_signal,1.05,,repeated_but_no_breakout,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1308,亞聚,塑膠工業,mainstream_overheated,mainstream_overheated,individual_quality_candidate,range_near_high_watch,區間轉強 / 前高挑戰,False,,69.0,,no_signal,1.28,,continued_2_3d,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1309,台達化,塑膠工業,mainstream_overheated,mainstream_overheated,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,False,,69.0,,no_signal,1.51,,stale_signal,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1310,台苯,塑膠工業,mainstream_overheated,mainstream_overheated,individual_quality_candidate,range_near_high_watch,區間轉強 / 前高挑戰,False,,67.0,,,1.05,,stale_signal,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1313,聯成,塑膠工業,mainstream_overheated,mainstream_overheated,individual_quality_candidate,range_near_high_watch,區間轉強 / 前高挑戰,False,,69.0,,no_signal,1.27,,repeated_but_no_breakout,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1314,中石化,塑膠工業,mainstream_overheated,mainstream_overheated,individual_quality_candidate,range_near_high_watch,區間轉強 / 前高挑戰,False,,54.0,,,0.84,,repeated_but_no_breakout,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1316,上曜,建材營造,mainstream_overheated,mainstream_overheated,risk_downgraded_candidate,risk,降級 / 鈍化 / 風險,False,C_僅觀察_營建認列型需基本面確認,70.0,,,0.74,9.27,stale_signal,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1402,遠東新,紡織纖維,mainstream_overheated,mainstream_overheated,individual_quality_candidate,range_near_high_watch,區間轉強 / 前高挑戰,False,,54.0,,no_signal,0.42,,stale_signal,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1409,新纖,紡織纖維,mainstream_overheated,mainstream_overheated,latent_watch_candidate,individual_tdcc_latent_watch,TDCC 潛伏觀察股,False,,63.0,,call_strong_inflow,4.68,,repeated_but_no_breakout,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
20260909,1434,福懋,紡織纖維,mainstream_overheated,mainstream_overheated,individual_quality_candidate,range_near_high_watch,區間轉強 / 前高挑戰,False,,54.0,,,0.67,,stale_signal,,,,,,,,,2026-09-09 19:43:45 Asia/Taipei,two_line:output/latest/daily_candidate_two_line_view_latest.csv
