date,source_tdcc_dataset_id,stock_id,stock_name,market,close,volume,start_5d_avg_volume_ratio_vs_prev20,start_day_volume_ratio_vs_prev20,return_5d_pct,return_10d_pct,return_20d_pct,rsi14,macd_hist,tdcc_available,tdcc_all_thresholds_up,tdcc_high_thresholds_up,tdcc_high_up_streak,derived_market_regime,market_abnormal_status,market_abnormal_risk_level,is_disposition,is_attention,is_periodic_trading,disposition_period,execution_risk_note,matched_rules,best_d5_rule,best_d5_hit_rate_pct,best_d10_rule,best_d10_hit_rate_pct,best_d10_selected_stock_days,best_d20_rule,best_d20_hit_rate_pct,model_effect_allowed,core_weight_change_allowed,research_caveat,research_priority
20260717,tdcc-20260717-98c564c5bc4ab725,4534,,TPEx,41.7,7187000.0,2.09,3.79,24.11,22.29,23.92,79.41,0.7831,True,True,True,7.0,,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + bb_width_not_extreme + return_10d_20_50; day_vol_ge_2 + tdcc_all_up + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; vol5_avg_ge_2 + tdcc_high_streak2 + bb_width_not_extreme + return_20d_10_60,vol5_avg_ge_2 + tdcc_high_streak2 + bb_width_not_extreme + return_20d_10_60,42.02,vol5_avg_ge_1_5 + tdcc_high_up + bb_width_not_extreme + return_10d_20_50,54.34,173.0,vol5_avg_ge_1_5 + bb_width_not_extreme + return_10d_20_50,63.69,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260717,tdcc-20260717-98c564c5bc4ab725,1517,,TWSE,12.15,12510836.0,6.21,21.68,13.55,14.62,14.62,74.36,0.1334,True,True,True,1.0,weak_or_correction,normal,A_normal,False,False,False,,,vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + return_5d_10_30; vol5_avg_ge_3 + tdcc_all_up + rsi_50_75 + return_5d_10_30; vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + return_20d_10_60; vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + near_60d_high_5pct; vol5_avg_ge_3 + tdcc_all_up + kd_bullish_not_overheated + near_60d_high_5pct; vol5_avg_ge_3 + tdcc_all_up + kd_bullish_not_overheated + return_20d_10_60; vol5_avg_ge_3 + tdcc_all_up + kd_bullish_not_overheated + return_5d_10_30; vol5_avg_ge_3 + tdcc_all_up + kd_bullish_not_overheated + return_5d_5_20,vol5_avg_ge_3 + tdcc_all_up + macd_hist_pos + kd_bullish_not_overheated + return_20d_10_60,38.53,vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + return_5d_10_30,51.68,149.0,vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + return_5d_10_30,,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260717,tdcc-20260717-98c564c5bc4ab725,6505,,TWSE,81.3,165705194.0,3.49,7.08,38.27,41.15,54.56,89.27,2.5681,True,True,True,5.0,weak_or_correction,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + macd_hist_pos + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + close_above_ema23 + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + return_10d_20_50,vol5_avg_ge_3 + tdcc_high_streak2 + close_above_ema23 + return_20d_10_60,38.12,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50,51.26,1071.0,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50,60.6,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260717,tdcc-20260717-98c564c5bc4ab725,8039,,TWSE,192.5,57744349.0,2.89,4.72,25.0,30.07,31.85,75.94,5.4467,True,True,True,2.0,weak_or_correction,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + macd_hist_pos + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + close_above_ema23 + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + return_10d_20_50,vol5_avg_ge_1_5 + tdcc_high_streak2 + macd_hist_pos + return_10d_20_50,37.47,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50,51.26,1071.0,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50,60.6,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260717,tdcc-20260717-98c564c5bc4ab725,8383,,TPEx,89.0,15324000.0,3.07,3.37,27.69,41.49,48.09,78.86,2.8067,True,True,True,1.0,,disposition;attention,D_disposition_or_periodic,True,True,False,1150720~1150731,處置/分盤或注意交易標的；短線回測需獨立分層，實際進出可能受撮合、保證金或流動性影響。,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + macd_hist_pos + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + close_above_ema23 + return_10d_20_50; day_vol_ge_2 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + return_10d_20_50,day_vol_ge_2 + tdcc_all_up + macd_hist_pos + return_10d_20_50,37.11,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50,51.26,1071.0,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50,60.6,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260717,tdcc-20260717-98c564c5bc4ab725,3685,,TPEx,38.05,1928000.0,2.69,1.81,23.74,31.89,23.14,76.85,1.0867,True,True,True,1.0,,attention,C_attention,False,True,False,,處置/分盤或注意交易標的；短線回測需獨立分層，實際進出可能受撮合、保證金或流動性影響。,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_high_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + return_10d_20_50; vol5_avg_ge_1_5 + tdcc_all_up + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + macd_hist_pos + return_10d_20_50,vol5_avg_ge_1_5 + tdcc_all_up + macd_hist_pos + return_10d_20_50,36.71,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50,51.26,1071.0,vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_10d_20_50,60.6,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260717,tdcc-20260717-98c564c5bc4ab725,8421,,TPEx,15.3,673000.0,3.51,1.41,8.9,17.24,13.33,67.16,0.298,True,True,True,1.0,,normal,A_normal,False,False,False,,,vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + return_20d_10_60; vol5_avg_ge_3 + tdcc_all_up + rsi_50_75 + return_20d_10_60,vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + return_20d_10_60,36.36,vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + return_20d_10_60,50.8,187.0,vol5_avg_ge_3 + tdcc_high_up + rsi_50_75 + return_20d_10_60,,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260717,tdcc-20260717-98c564c5bc4ab725,2923,,TWSE,35.8,275014.0,2.29,1.75,31.86,35.61,40.39,83.8,0.9507,True,False,False,0.0,weak_or_correction,normal,A_normal,False,False,False,,,vol5_avg_ge_1_5 + bb_width_not_extreme + return_10d_20_50; vol5_avg_ge_1_5 + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + macd_hist_pos + return_10d_20_50; vol5_avg_ge_2 + bb_width_not_extreme + return_10d_20_50,vol5_avg_ge_1_5 + bb_width_not_extreme + return_10d_20_50,35.63,vol5_avg_ge_1_5 + bb_width_not_extreme + return_10d_20_50,50.0,1030.0,vol5_avg_ge_1_5 + bb_width_not_extreme + return_10d_20_50,63.69,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,B_strict_research_confirm
20260717,tdcc-20260717-98c564c5bc4ab725,6243,,TWSE,51.6,15677569.0,2.64,8.92,30.47,28.68,62.52,64.58,0.831,True,False,False,0.0,weak_or_correction,normal,A_normal,False,False,False,,,day_vol_ge_2 + kd_bullish_not_overheated + return_10d_20_50; day_vol_ge_2 + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50; day_vol_ge_2 + macd_hist_pos + return_10d_20_50; day_vol_ge_2 + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + rsi_50_75 + return_10d_20_50; vol5_avg_ge_2 + rsi_50_75 + return_10d_20_50,day_vol_ge_2 + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50,35.87,day_vol_ge_2 + macd_hist_pos + kd_bullish_not_overheated + return_10d_20_50,,,vol5_avg_ge_1_5 + rsi_50_75 + return_10d_20_50,62.18,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,C_strict_short_term_watch
20260717,tdcc-20260717-98c564c5bc4ab725,6598,,TWSE,27.65,1790410.0,4.03,7.35,21.01,21.54,13.32,72.99,0.4574,True,False,False,0.0,weak_or_correction,normal,A_normal,False,False,False,,,day_vol_ge_2 + macd_hist_pos + return_10d_20_50; day_vol_ge_2 + rsi_50_75 + return_10d_20_50; vol5_avg_ge_1_5 + close_above_ema23 + return_10d_20_50; vol5_avg_ge_1_5 + macd_hist_pos + return_10d_20_50; vol5_avg_ge_1_5 + rsi_50_75 + return_10d_20_50; vol5_avg_ge_2 + rsi_50_75 + return_10d_20_50,day_vol_ge_2 + rsi_50_75 + return_10d_20_50,35.28,day_vol_ge_2 + rsi_50_75 + return_10d_20_50,,,vol5_avg_ge_1_5 + rsi_50_75 + return_10d_20_50,62.18,False,False,strict_no_latest_theme_label; research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; disposition_history_not_backfilled,C_strict_short_term_watch
