日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
20260713,自營商,208579,183547,213342654,1105890,188304,181089,215012674,1015976,20275,2458,-1670020,89914,133161,53467,116352484,1602448,505997,48834,354720125,1534866,-372836,4633,-238367641,67582
20260713,投信,40035,0,356442132,0,39913,430,352585147,32023,122,-430,3856985,-32023,92863,6,724752080,87,6415,1745,55368237,76761,86448,-1739,669383843,-76674
20260713,外資及陸資,1176371,154489,1974378440,979104,1167923,155816,1972312911,984206,8448,-1327,2065529,-5102,242215,20449,287793299,588202,803297,28989,1273901771,924653,-561082,-8540,-986108472,-336451
