abm_rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,abm_score,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,accumulation_label,tracking_priority,trigger_to_watch,interpretation
1,6122,擎邦,other electronics,mainstream_leader,high,100.00,195.00,3,True,True,tdcc_leading_price,quiet_accumulation,-2.32,7.89,2.92,1.61,1.32,10.00,167.13,10.00,30.00,0.00,0.13,prime_pre_move,A_prime_watch,量縮守住 MA20；相對 benchmark 維持轉強；避免爆量長上影,籌碼持續改善，但股價尚未明顯反應。
2,2618,長榮航,traditional industries,mainstream_leader,high,86.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,4.04,-3.17,2.56,-3.30,0.61,10.00,194.41,10.00,45.00,0.00,3.41,prime_pre_move,B_confirm_needed,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
3,5201,凱衛,other electronics,mainstream_leader,high,86.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,-3.49,-5.91,2.66,-2.84,0.53,10.00,167.13,10.00,30.00,0.00,0.13,prime_pre_move,B_confirm_needed,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
4,3325,旭品,other electronics,mainstream_leader,high,83.00,195.00,3,True,True,tdcc_leading_price,quiet_accumulation,-4.65,-1.60,0.60,-3.93,0.97,10.00,167.13,10.00,30.00,0.00,0.13,prime_pre_move,B_confirm_needed,站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
5,5481,新華,other electronics,mainstream_leader,high,82.00,205.00,7,False,True,tdcc_leading_price,quiet_accumulation,-0.48,-8.33,2.83,-1.40,0.79,10.00,167.13,10.00,30.00,0.00,0.13,prime_pre_move,B_confirm_needed,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強,籌碼持續改善，但股價尚未明顯反應。
6,2949,欣新網,traditional industries,mainstream_leader,high,80.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,-18.97,1.34,2.62,-5.03,0.18,10.00,194.41,10.00,45.00,0.00,3.41,prime_pre_move,B_confirm_needed,站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
7,6835,圓裕,other,single_name_signal,high,81.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,-6.70,-11.46,0.81,-7.89,1.44,10.00,143.30,10.00,26.00,0.00,2.30,prime_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強；等待第二檔 / 第三檔同族群股票同步轉強,籌碼持續改善，但股價尚未明顯反應。
8,9110,越南控-DR,other,single_name_signal,high,80.00,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,3.33,-12.68,0.16,-5.11,0.49,10.00,143.30,10.00,26.00,0.00,2.30,prime_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線；價格止跌並重新轉強；等待第二檔 / 第三檔同族群股票同步轉強,籌碼持續改善，但股價尚未明顯反應。
9,3402,漢科,other electronics,mainstream_leader,high,77.00,215.00,5,True,True,tdcc_leading_price,watch_only,1.75,4.30,0.40,-1.07,1.36,10.00,167.13,10.00,30.00,0.00,0.13,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
10,5512,力麒,traditional industries,mainstream_leader,high,76.00,205.00,7,False,True,tdcc_leading_price,watch_only,-1.01,-1.26,2.65,-1.78,0.63,10.00,194.41,10.00,45.00,0.00,3.41,watch_pre_move,C_weak_or_discounted,站回 MA20；放量站上 5 日 / 10 日均線,籌碼持續改善，但股價尚未明顯反應。
