review_priority,taxonomy_review_status,stock_id,stock_name,industry,category,decision_priority,decision_score,risk_handling_bucket,effective_primary_theme,effective_secondary_themes,effective_structural_theme_bucket,effective_theme_structural_status,effective_theme_mainstream_label,effective_taxonomy_source,effective_confidence,volume_ratio,return_5d,return_20d,why_selected,downgrade_flags,effective_notes
1,industry_core_needs_market_theme,3311,閎暉,通信網路業,range_rebound,B_confirm_needed,88.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_supported,,,6.79,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=69；量比=6.79；距前高=-2.15%；20日漲幅=19.51%；TDCC=strong_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3050,鈺德,光電業,range_rebound,B_confirm_needed,85.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.48,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=69；量比=1.48；距前高=-16.16%；20日漲幅=1.63%；TDCC=strong_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6224,聚鼎,電子零組件業,range_rebound,B_confirm_needed,84.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.59,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=69；量比=1.59；距前高=-8.08%；20日漲幅=21.51%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,3027,盛達,通信網路業,range_rebound,C_watch_only,80.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_supported,,,3.71,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=69；量比=3.71；距前高=-16.49%；20日漲幅=4.05%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,8070,長華*,電子通路業,range_rebound,C_watch_only,80.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,2.54,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=69；量比=2.54；距前高=-0.78%；20日漲幅=4.95%；TDCC=strong_accumulation；權證=call_strong_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,4545,銘鈺,電子零組件業,true_breakout,C_watch_only,79.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,4.95,,,嚴格突破；型態=breakout_confirmed / true_breakout；分類分數=107；量比=4.95；距前高=5.89%；20日漲幅=27.77%；TDCC=neutral,catalyst_overheated|price_reaction_overheated|distance_ma20_gt_20|short_term_volume_overheat|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2425,承啟,電腦及週邊設備業,revenue_pullback,C_watch_only,77.0,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.54,,,營收成長股價回檔；分類分數=70；量比=1.54；距前高=-6.49%；20日漲幅=12.16%；TDCC=mild_accumulation,non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,2419,仲琦,通信網路業,range_rebound,C_watch_only,76.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_supported,,,3.23,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=69；量比=3.23；距前高=-21.08%；20日漲幅=2.61%；TDCC=mild_accumulation；權證=call_strong_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6438,迅得,其他電子業,range_rebound,C_watch_only,76.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.76,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=69；量比=1.76；距前高=-9.59%；20日漲幅=-1.41%；TDCC=mild_accumulation；權證=call_strong_inflow,repeated_but_no_breakout|non_ai_non_mainstream_cap,
1,industry_core_needs_market_theme,6672,騰輝電子-KY,電子零組件業,range_rebound,C_watch_only,76.8,non_mainstream_observe_only,,,,core_mainstream_theme,core_mainstream_overheated,,,1.61,,,區間內轉強 / 挑戰前高觀察；型態=neckline_challenge；分類分數=69；量比=1.61；距前高=-9.66%；20日漲幅=-3.59%；TDCC=mild_accumulation；權證=call_inflow,stale_signal|non_ai_non_mainstream_cap,
