event_name,index_id,market_regime,sample_count,mature_d1_count,avg_ret_d1,win_rate_d1,mature_d3_count,avg_ret_d3,win_rate_d3,mature_d5_count,avg_ret_d5,win_rate_d5,mature_d10_count,avg_ret_d10,win_rate_d10,mature_d20_count,avg_ret_d20,win_rate_d20,mature_d40_count,avg_ret_d40,win_rate_d40,mature_d60_count,avg_ret_d60,win_rate_d60,sample_status
index_new_high_but_ma20_breadth_down,TWSE,strong_bull,10,10,0.7228417403774356,80.0,10,1.6405199254411351,70.0,10,1.9913801129127626,80.0,10,2.7291302157646617,80.0,9,5.968084432728288,88.88888888888889,7,7.835662185602804,100.0,7,23.10638237397335,100.0,insufficient_sample
kd_high_death_cross,TPEX,mild_bull,5,5,-0.6466212657373727,40.0,5,-0.6725076349482584,20.0,5,0.08039835942201812,60.0,5,-0.1612151983988941,60.0,5,0.8842920682628398,60.0,5,0.8708001676557565,60.0,5,5.572093853743308,80.0,insufficient_sample
kd_high_death_cross,TPEX,range_bound,2,2,-0.2769511765198185,50.0,2,0.8993411256029371,100.0,2,1.656420867459063,100.0,2,0.4186968488036735,50.0,2,1.9845891731507637,100.0,2,3.750653121817671,100.0,2,5.629379440438786,100.0,insufficient_sample
kd_high_death_cross,TPEX,strong_bull,10,10,0.01713073339146054,50.0,10,0.7024548969376332,70.0,10,2.432976953640796,90.0,9,4.737147057328573,88.88888888888889,9,7.385160684110439,88.88888888888889,8,13.133415990288249,100.0,7,23.857656200719354,100.0,insufficient_sample
kd_high_death_cross,TWSE,correction,1,1,-0.9576183087799062,0.0,1,-0.45232275953208667,0.0,1,-0.4630038036625317,0.0,1,-0.020929657324431084,0.0,1,1.2205363181446272,100.0,1,0.11904823680608523,100.0,1,-4.352201159952751,0.0,insufficient_sample
kd_high_death_cross,TWSE,mild_bull,9,9,0.5102336869640813,66.66666666666666,9,-0.18845097085336862,33.33333333333333,9,-0.20652132934425074,44.44444444444444,9,0.09969063116354161,66.66666666666666,9,2.033814691049928,77.77777777777779,9,3.2002140116596314,77.77777777777779,9,9.309620155069881,66.66666666666666,insufficient_sample
kd_high_death_cross,TWSE,range_bound,1,1,-0.015039065066591029,0.0,1,2.837710966690654,100.0,1,6.017475490947599,100.0,1,6.119877409718155,100.0,1,5.489696780325981,100.0,1,10.544282746104084,100.0,1,14.581712010177883,100.0,insufficient_sample
kd_high_death_cross,TWSE,strong_bull,18,18,0.3238269728824239,72.22222222222221,18,0.825339966617989,66.66666666666666,18,0.925921000441958,66.66666666666666,18,3.066651009317015,72.22222222222221,17,4.549014431855526,82.35294117647058,16,6.743236053502066,100.0,15,17.296376400607762,100.0,insufficient_sample
kd_low_golden_cross,TPEX,correction,2,2,-0.24051565664752195,50.0,2,0.4787502142629796,100.0,2,2.1981043168208036,100.0,2,0.759412242160501,50.0,2,0.1651161023533798,50.0,2,2.6785392405392905,100.0,2,5.583237060751189,50.0,insufficient_sample
kd_low_golden_cross,TPEX,high_risk,4,4,0.01101905082443455,50.0,4,2.0468455885770895,100.0,4,1.996056820295386,75.0,4,3.746399957753516,100.0,4,6.310102333345863,100.0,4,11.79737676993028,100.0,4,11.668280113358836,75.0,insufficient_sample
kd_low_golden_cross,TWSE,correction,2,2,-0.8833602716774913,50.0,2,0.38971224806436666,50.0,2,1.4451957349097988,100.0,2,3.0336747614242654,100.0,2,2.6747738958123324,100.0,2,16.66133926728487,100.0,2,28.33003616097207,100.0,insufficient_sample
kd_low_golden_cross,TWSE,high_risk,2,2,1.7373715661071265,100.0,2,2.841586705403043,100.0,2,0.8642105334790984,50.0,2,-1.9561896166690964,50.0,2,-0.9523573618704821,50.0,2,6.464830194999438,50.0,2,8.919592806082981,50.0,insufficient_sample
ma20_slope_up_price_above_ma20_ma60,TPEX,mild_bull,78,78,-0.021882009107089838,57.692307692307686,78,0.1669036186637697,47.43589743589743,77,0.35636048373515,50.649350649350644,77,1.6922031375823567,58.44155844155844,77,3.0570454653295736,58.44155844155844,75,7.167474538523424,77.33333333333333,67,9.320759425881985,92.53731343283582,ok
ma20_slope_up_price_above_ma20_ma60,TPEX,strong_bull,106,105,0.3203105709499397,64.76190476190476,103,0.8943682052105107,68.93203883495146,102,1.426993232188673,65.68627450980392,99,3.3992326517696214,75.75757575757575,89,6.860679448134638,87.64044943820225,72,8.484721302807259,79.16666666666666,64,16.649462256502204,84.375,ok
ma20_slope_up_price_above_ma20_ma60,TWSE,mild_bull,86,86,0.05011782906649973,54.65116279069767,86,0.2639736972802514,54.65116279069767,86,0.7705419468005078,61.627906976744185,86,1.5572545000662184,69.76744186046511,86,3.8501841260299563,79.06976744186046,85,6.3747894773999985,78.82352941176471,84,9.87458248783679,77.38095238095238,ok
ma20_slope_up_price_above_ma20_ma60,TWSE,strong_bull,138,137,0.22922527137781262,55.47445255474452,135,0.7141638021692687,61.48148148148148,133,1.1525637567547216,67.66917293233082,130,2.4492701174176252,72.3076923076923,120,4.266664356986826,81.66666666666667,107,7.715584400784347,95.32710280373831,100,16.043466143389534,99.0,ok
macd_dif_low_cross_signal,TPEX,high_risk,4,4,0.9518491374181093,100.0,4,0.854888055474351,75.0,4,1.5893116496083215,100.0,4,3.420566132268121,100.0,4,5.239199673210338,100.0,4,1.6901858117054216,50.0,4,1.5410737032090789,50.0,insufficient_sample
macd_dif_low_cross_signal,TPEX,mild_bull,2,2,-0.36568440166103167,0.0,2,-1.5724145306074577,0.0,2,-3.154073071828656,0.0,2,-2.5054087225291397,0.0,2,-2.516156417463117,0.0,2,-0.8006224423592112,50.0,2,-11.713037865187015,0.0,insufficient_sample
macd_dif_low_cross_signal,TWSE,high_risk,2,2,-0.8474625231732036,0.0,2,-0.5296215178290986,50.0,2,0.19989835354621288,50.0,2,-3.6411335228671624,50.0,2,0.059610271567539286,50.0,2,7.112539144144565,50.0,2,9.08730703822605,50.0,insufficient_sample
macd_hist_turn_positive,TPEX,high_risk,4,4,0.9518491374181093,100.0,4,0.854888055474351,75.0,4,1.5893116496083215,100.0,4,3.420566132268121,100.0,4,5.239199673210338,100.0,4,1.6901858117054216,50.0,4,1.5410737032090789,50.0,insufficient_sample
macd_hist_turn_positive,TPEX,mild_bull,7,7,0.22898897496565881,42.857142857142854,7,-0.6079087761609179,42.857142857142854,7,-0.6900846504393963,42.857142857142854,7,-0.7341590975910329,28.57142857142857,7,0.365430045045385,28.57142857142857,7,3.4631560072873597,71.42857142857143,7,2.419602274344546,57.14285714285714,insufficient_sample
macd_hist_turn_positive,TPEX,strong_bull,5,4,0.6336558148594934,75.0,4,1.1733253656301512,50.0,4,0.20746912086038205,25.0,4,4.00336884405563,50.0,4,9.323905865153568,75.0,3,15.769190418876518,66.66666666666666,2,19.481094237741843,50.0,insufficient_sample
macd_hist_turn_positive,TWSE,high_risk,2,2,-0.8474625231732036,0.0,2,-0.5296215178290986,50.0,2,0.19989835354621288,50.0,2,-3.6411335228671624,50.0,2,0.059610271567539286,50.0,2,7.112539144144565,50.0,2,9.08730703822605,50.0,insufficient_sample
macd_hist_turn_positive,TWSE,mild_bull,9,9,0.5197790683329312,88.88888888888889,9,0.19397987327835547,55.55555555555556,9,0.16201679544986833,77.77777777777779,9,0.5769578378754789,44.44444444444444,9,1.3888724707717748,44.44444444444444,9,0.6257509690126679,55.55555555555556,9,-0.8065382640417703,33.33333333333333,insufficient_sample
macd_hist_turn_positive,TWSE,strong_bull,9,9,0.4336843117924298,88.88888888888889,8,1.4488802840625592,62.5,8,1.7864374197274366,62.5,8,2.2901312544148307,62.5,8,5.543656970136587,87.5,7,9.903576451564263,100.0,7,14.008155375087394,100.0,insufficient_sample
reclaim_ma20_after_breakdown,TPEX,high_risk,5,5,0.37177381585344227,80.0,5,-0.09373604784108869,60.0,5,-0.25129750702930453,80.0,5,1.865377473651322,80.0,5,2.4647568116067498,80.0,5,-1.6423532092733857,40.0,5,-4.221759782089537,40.0,insufficient_sample
reclaim_ma20_after_breakdown,TPEX,mild_bull,14,14,0.661515866122591,71.42857142857143,14,1.024305660143271,64.28571428571429,13,0.8542564197970871,61.53846153846154,13,0.977810220109519,53.84615384615385,13,2.2837793229989733,61.53846153846154,13,11.823506660363137,92.3076923076923,11,12.604014053947106,90.9090909090909,insufficient_sample
reclaim_ma20_after_breakdown,TPEX,range_bound,2,2,-1.1330104979435152,50.0,2,0.5633457910873052,50.0,2,1.6679120186409269,100.0,2,1.152865341667475,100.0,2,3.0209216711190257,100.0,2,2.25961184447121,100.0,2,9.599751539050771,100.0,insufficient_sample
reclaim_ma20_after_breakdown,TPEX,strong_bull,3,3,0.2339068153815608,66.66666666666666,3,2.37644104543188,66.66666666666666,3,3.219746598164578,66.66666666666666,3,6.179601625213778,66.66666666666666,3,9.536781615552215,66.66666666666666,2,2.4893725996420315,50.0,2,4.661870942645158,50.0,insufficient_sample
reclaim_ma20_after_breakdown,TWSE,high_risk,1,1,0.8135771985026796,100.0,1,1.8231013051553502,100.0,1,3.3224423619704124,100.0,1,6.324294648998907,100.0,1,8.37247826544214,100.0,1,11.654312215785145,100.0,1,15.675702331788322,100.0,insufficient_sample
reclaim_ma20_after_breakdown,TWSE,mild_bull,16,16,0.483444336779671,68.75,16,0.7287701881376105,68.75,16,0.5232490548474522,62.5,16,1.5136979584079433,62.5,16,4.399259839102731,75.0,15,6.2020707846362715,66.66666666666666,15,5.242154734300433,60.0,insufficient_sample
reclaim_ma20_after_breakdown,TWSE,strong_bull,5,5,0.43407778710158995,60.0,5,0.04161659129816577,40.0,4,0.1848543312559875,50.0,4,-1.1897096490291665,50.0,4,3.682897332480364,75.0,4,18.44577640316586,100.0,1,13.42306373967359,100.0,insufficient_sample
rsi14_overbought_70,TPEX,high_risk,1,1,-1.1370275493236215,0.0,1,-1.402184171497911,0.0,1,-1.330277290908266,0.0,1,4.026785313019654,100.0,1,1.4965619522718132,100.0,1,4.813266819468787,100.0,1,4.682935598400073,100.0,insufficient_sample
rsi14_overbought_70,TPEX,mild_bull,12,12,0.034638473421143755,66.66666666666666,12,-0.19097302205416852,50.0,12,0.15528933348775234,50.0,12,2.9497880984491096,91.66666666666666,12,6.292298092384489,83.33333333333334,12,8.817559721874964,91.66666666666666,11,9.98186450867688,90.9090909090909,insufficient_sample
rsi14_overbought_70,TPEX,range_bound,5,5,0.09622204691227099,60.0,5,-0.04394348363675471,40.0,5,-0.3372966847934933,20.0,5,-1.5299569490182874,20.0,5,1.3327649576618317,100.0,5,0.5575046801034778,60.0,5,4.000894714615804,100.0,insufficient_sample
rsi14_overbought_70,TPEX,strong_bull,56,56,0.29754121105284004,62.5,56,0.9133161383088415,64.28571428571429,56,1.5387553613446825,67.85714285714286,55,3.1172740972165074,72.72727272727273,46,5.011948004881336,82.6086956521739,35,5.251180673019982,80.0,35,17.487515367615092,88.57142857142857,ok
rsi14_overbought_70,TWSE,high_risk,1,1,0.01186202683485238,100.0,1,1.484532658384019,100.0,1,1.5512565593301497,100.0,1,7.662078533537153,100.0,1,5.560769904851726,100.0,1,11.168641941260237,100.0,1,15.524921871254493,100.0,insufficient_sample
rsi14_overbought_70,TWSE,mild_bull,10,10,0.16166721568475095,60.0,10,0.17159565155412165,60.0,10,0.7234322029315841,70.0,10,2.293288251619093,90.0,10,6.7913045251373605,100.0,10,11.38162610941233,100.0,10,14.861234978717377,100.0,insufficient_sample
rsi14_overbought_70,TWSE,range_bound,3,3,1.3658163724030281,100.0,3,3.133307798368142,100.0,3,2.4081795344428856,100.0,3,1.8270319976705067,100.0,3,4.931588001527576,100.0,3,6.227534157436139,100.0,3,11.228399901698069,100.0,insufficient_sample
rsi14_overbought_70,TWSE,strong_bull,76,76,0.1043701759719842,48.68421052631579,76,0.4162729076921842,57.89473684210527,76,0.7260729018702855,61.8421052631579,75,2.427926490939865,74.66666666666667,65,4.8862391629513215,84.61538461538461,54,6.272809007904533,92.5925925925926,53,16.630072927258517,98.11320754716981,ok
rsi14_oversold_30,TPEX,high_risk,13,13,0.6837872066168482,76.92307692307693,13,1.7236456818827024,76.92307692307693,13,1.861084733432713,76.92307692307693,13,1.9235924361626973,61.53846153846154,13,2.3937208145229123,69.23076923076923,13,8.472851552764531,69.23076923076923,13,11.093410220669812,76.92307692307693,insufficient_sample
rsi14_oversold_30,TWSE,correction,2,2,1.262969686442733,50.0,2,-0.7429373890248003,0.0,2,1.8518417398970866,100.0,2,3.7918452632641264,100.0,2,3.2363579606608184,100.0,2,16.659763064312116,100.0,2,28.389039842503514,100.0,insufficient_sample
rsi14_oversold_30,TWSE,high_risk,9,9,0.2516518108040221,66.66666666666666,9,2.0897058916060995,55.55555555555556,9,2.7502121776082182,77.77777777777779,9,0.41670396762674144,33.33333333333333,9,-3.8384836037717522,33.33333333333333,9,4.056079551207473,33.33333333333333,9,8.149960380321856,66.66666666666666,insufficient_sample
