rank,signal_date,stock_id,stock_name,theme,theme_mainstream_status,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_four_threshold_weekly_increase_sum,tdcc_weighted_weekly_increase_score,tdcc_effective_increase_count,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_effective_streak_weeks,tdcc_high_pair_streak_bonus,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,tdcc_phase_group_zh,risk_bucket,risk_bucket_zh,price_return_20d,distance_ma20_pct,relative_return_vs_benchmark,ranking_note_zh,price_context_date,price_context_source,price_start_date_5d,price_start_date_10d,price_start_date_20d,report_price_return_5d,report_price_return_10d,report_price_return_20d,report_distance_ma20_pct,tdcc_facts_zh,price_facts_zh,historical_evidence_status,historical_evidence_zh
1,20260911,5314,世紀*,其他,mainstream_leader,91.96,91.96,7.440000000000005,7.280000000000001,7.400000000000006,6.940000000000005,29.060000000000016,71.96,4,15.0,5.0,10111.3,0.0,1,0.0,1,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,160.18518518518522,29.8521256931608,25.060275306591826,有效級距增加 4/4（持股比率週變化 >0.5個百分點）,20260911,data/stock_price_history/5314.csv,20260904,20260828,20260814,31.718749999999996,23.245614035087712,160.18518518518522,29.8521256931608,>400／600／800／1000張：+7.44／+7.28／+7.40／+6.94百分點；800/1000有效連增：1週,截至20260911；5日：+31.72%；10日：+23.25%；20日：+160.19%；距MA20：+29.85%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
2,20260911,3693,營邦,電腦及週邊設備業,mainstream_leader,78.66,78.66,5.530000000000001,2.5799999999999983,5.710000000000001,7.710000000000001,21.53,58.66,4,15.0,5.0,1524.75,0.0,1,0.0,7,True,True,price_leading_tdcc,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,23.69402985074627,10.869565217391308,14.761850368608043,有效級距增加 4/4（持股比率週變化 >0.5個百分點）,20260911,data/stock_price_history/3693.csv,20260904,20260828,20260814,0.0,12.947189097103928,23.69402985074627,10.869565217391308,>400／600／800／1000張：+5.53／+2.58／+5.71／+7.71百分點；800/1000有效連增：1週,截至20260911；5日：+0.00%；10日：+12.95%；20日：+23.69%；距MA20：+10.87%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
3,20260911,3167,大量,半導體設備 / CoWoS,mainstream_leader,72.86,72.86,3.6099999999999994,3.9199999999999946,5.349999999999994,6.340000000000003,19.21999999999999,52.86,4,15.0,5.0,5589.13,0.0,1,0.0,2,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,22.666666666666657,6.646058732612059,6.063542175982517,有效級距增加 4/4（持股比率週變化 >0.5個百分點）,20260911,data/stock_price_history/3167.csv,20260904,20260828,20260814,3.1133250311332406,5.747126436781613,22.666666666666657,6.646058732612059,>400／600／800／1000張：+3.61／+3.92／+5.35／+6.34百分點；800/1000有效連增：1週,截至20260911；5日：+3.11%；10日：+5.75%；20日：+22.67%；距MA20：+6.65%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
4,20260911,6179,亞通,其他,mainstream_leader,71.26,71.26,5.3799999999999955,4.869999999999997,5.700000000000003,4.759999999999998,20.709999999999994,51.26,4,15.0,5.0,7796.45,0.0,1,0.0,3,True,True,price_leading_tdcc,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,32.16266173752311,19.425421747118765,19.413345482030444,有效級距增加 4/4（持股比率週變化 >0.5個百分點）,20260911,data/stock_price_history/6179.csv,20260904,20260828,20260814,20.777027027027017,17.59868421052633,32.16266173752311,19.425421747118765,>400／600／800／1000張：+5.38／+4.87／+5.70／+4.76百分點；800/1000有效連增：1週,截至20260911；5日：+20.78%；10日：+17.60%；20日：+32.16%；距MA20：+19.43%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
5,20260911,2409,友達,光電業,non_mainstream_watch,61.45,66.45,4.550000000000004,4.609999999999999,4.68,4.659999999999997,18.5,46.45,4,15.0,0.0,244933.69,0.0,2,5.0,2,True,True,price_leading_tdcc,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,17.05426356589146,11.511123419182123,17.144268737266653,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 2 週,20260911,data/stock_price_history/2409.csv,20260904,20260828,20260814,12.686567164179108,16.82785299806575,17.05426356589146,11.511123419182123,>400／600／800／1000張：+4.55／+4.61／+4.68／+4.66百分點；800/1000有效連增：2週,截至20260911；5日：+12.69%；10日：+16.83%；20日：+17.05%；距MA20：+11.51%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
6,20260911,8021,尖點,其他電子業,mainstream_leader,60.77,60.77,4.090000000000003,4.410000000000004,4.060000000000002,3.9200000000000017,16.48000000000001,40.77,4,15.0,5.0,7002.93,0.0,1,0.0,1,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,-3.57142857142857,-1.6624566762615256,-7.502967520710991,有效級距增加 4/4（持股比率週變化 >0.5個百分點）,20260911,data/stock_price_history/8021.csv,20260904,20260828,20260814,-0.3571428571428559,-7.819383259911894,-3.57142857142857,-1.6624566762615256,>400／600／800／1000張：+4.09／+4.41／+4.06／+3.92百分點；800/1000有效連增：1週,截至20260911；5日：-0.36%；10日：-7.82%；20日：-3.57%；距MA20：-1.66%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
7,20260911,8227,巨有科技,半導體業,mainstream_leader,59.35,59.35,6.469999999999999,3.6400000000000006,3.6400000000000006,3.6700000000000017,17.42,39.35,4,15.0,5.0,1638.4,0.0,1,0.0,1,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,57.755775577557756,42.516398330351834,50.261866240448214,有效級距增加 4/4（持股比率週變化 >0.5個百分點）,20260911,data/stock_price_history/8227.csv,20260904,20260828,20260814,50.78864353312302,48.4472049689441,57.755775577557756,42.516398330351834,>400／600／800／1000張：+6.47／+3.64／+3.64／+3.67百分點；800/1000有效連增：1週,截至20260911；5日：+50.79%；10日：+48.45%；20日：+57.76%；距MA20：+42.52%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
8,20260911,2492,華新科,被動元件,non_mainstream_watch,51.24,51.24,3.530000000000001,3.710000000000001,3.5900000000000034,3.6300000000000026,14.460000000000008,36.24,4,15.0,0.0,32287.67,0.0,1,0.0,1,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,2.975206611570247,5.988431439265063,-0.321542793494467,有效級距增加 4/4（持股比率週變化 >0.5個百分點）,20260911,data/stock_price_history/2492.csv,20260904,20260828,20260814,4.355108877721947,-0.6379585326953707,2.975206611570247,5.988431439265063,>400／600／800／1000張：+3.53／+3.71／+3.59／+3.63百分點；800/1000有效連增：1週,截至20260911；5日：+4.36%；10日：-0.64%；20日：+2.98%；距MA20：+5.99%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
9,20260911,6426,統新,通信網路業,mainstream_leader,51.1,61.1,5.350000000000001,2.8300000000000054,2.8700000000000045,2.8700000000000045,13.920000000000016,31.1,4,15.0,5.0,3358.09,0.0,3,10.0,5,True,True,price_leading_tdcc,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,37.89954337899544,12.665547472486471,14.927421431800514,有效級距增加 4/4（持股比率週變化 >0.5個百分點）；800/1000張有效連續增加 3 週,20260911,data/stock_price_history/6426.csv,20260904,20260828,20260814,12.059369202226344,14.61100569259961,37.89954337899544,12.665547472486471,>400／600／800／1000張：+5.35／+2.83／+2.87／+2.87百分點；800/1000有效連增：3週,截至20260911；5日：+12.06%；10日：+14.61%；20日：+37.90%；距MA20：+12.67%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
10,20260911,6770,力積電,半導體業,mainstream_leader,49.38,49.38,3.0799999999999983,3.0500000000000043,2.9200000000000017,2.8599999999999994,11.910000000000004,29.38,4,15.0,5.0,152743.15,0.0,1,0.0,1,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,-9.82142857142857,0.38335936390740954,1.3164157392009046,有效級距增加 4/4（持股比率週變化 >0.5個百分點）,20260911,data/stock_price_history/6770.csv,20260904,20260828,20260814,3.2116788321167933,1.0000000000000009,-9.82142857142857,0.38335936390740954,>400／600／800／1000張：+3.08／+3.05／+2.92／+2.86百分點；800/1000有效連增：1週,截至20260911；5日：+3.21%；10日：+1.00%；20日：-9.82%；距MA20：+0.38%,unavailable_no_approved_matching_metric,尚無核准的條件匹配績效
