date,stock_id,stock_name,call_warrant_count,put_warrant_count,call_turnover,put_turnover,total_warrant_turnover,call_volume,put_volume,total_warrant_volume,call_put_turnover_ratio,candidate_category,candidate_category_zh,sector,sub_theme,tdcc_status,tdcc_status_zh,warrant_flow_signal,warrant_flow_signal_zh,data_quality_note
20260617,3016,嘉晶,0,3,0.0,180790.0,180790.0,0.0,560000.0,560000.0,0.0,"pattern,pullback_rebound,revenue_pullback",型態觀察、回檔後短線轉強、營收成長股價回檔,,,,,no_signal,無明確訊號,
20260617,1303,南亞,0,13,0.0,179920.0,179920.0,0.0,600000.0,600000.0,0.0,true_breakout,嚴格突破,,,,,no_signal,無明確訊號,
20260617,2451,創見,0,6,0.0,179540.0,179540.0,0.0,484000.0,484000.0,0.0,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,no_signal,無明確訊號,
20260617,3376,新日興,0,5,0.0,174630.0,174630.0,0.0,99000.0,99000.0,0.0,,,,,,,no_signal,無明確訊號,
20260617,1560,中砂,0,12,0.0,169000.0,169000.0,0.0,486000.0,486000.0,0.0,,,,,,,no_signal,無明確訊號,
20260617,3715,定穎投控,0,8,0.0,157850.0,157850.0,0.0,375000.0,375000.0,0.0,"revenue_breakout_low_response,revenue_pullback",營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,no_signal,無明確訊號,
20260617,2464,盟立,0,3,0.0,153200.0,153200.0,0.0,73000.0,73000.0,0.0,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,no_signal,無明確訊號,
20260617,2329,華泰,0,4,0.0,141450.0,141450.0,0.0,111000.0,111000.0,0.0,pattern,型態觀察,,,,,no_signal,無明確訊號,
20260617,0067,富邦NASDAQ正2,0,15,0.0,140610.0,140610.0,0.0,499000.0,499000.0,0.0,,,,,,,no_signal,無明確訊號,
20260617,2882,國泰金,0,4,0.0,129830.0,129830.0,0.0,975000.0,975000.0,0.0,pattern,型態觀察,,,,,no_signal,無明確訊號,
20260617,1326,台化,0,6,0.0,110340.0,110340.0,0.0,117000.0,117000.0,0.0,pattern,型態觀察,,,,,no_signal,無明確訊號,
20260617,3406,玉晶光,0,4,0.0,106910.0,106910.0,0.0,443000.0,443000.0,0.0,pattern,型態觀察,,,,,no_signal,無明確訊號,
20260617,6239,力成,0,9,0.0,106650.0,106650.0,0.0,55000.0,55000.0,0.0,revenue_pullback,營收成長股價回檔,,,,,no_signal,無明確訊號,
20260617,8210,勤誠,0,5,0.0,94900.0,94900.0,0.0,163000.0,163000.0,0.0,,,,,,,no_signal,無明確訊號,
20260617,2338,光罩,0,1,0.0,94860.0,94860.0,0.0,141000.0,141000.0,0.0,pattern,型態觀察,,,,,no_signal,無明確訊號,
20260617,2049,上銀,0,6,0.0,87790.0,87790.0,0.0,207000.0,207000.0,0.0,revenue_pullback,營收成長股價回檔,,,,,no_signal,無明確訊號,
20260617,3189,景碩,0,14,0.0,85270.0,85270.0,0.0,569000.0,569000.0,0.0,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,no_signal,無明確訊號,
20260617,2472,立隆電,0,2,0.0,83090.0,83090.0,0.0,68000.0,68000.0,0.0,,,,,,,no_signal,無明確訊號,
20260617,2059,川湖,0,19,0.0,80910.0,80910.0,0.0,315000.0,315000.0,0.0,,,,,,,no_signal,無明確訊號,
20260617,0070,期元大S&P黃金正2(原名：元大S&P黃金正2),0,25,0.0,80080.0,80080.0,0.0,33000.0,33000.0,0.0,,,,,,,no_signal,無明確訊號,
20260617,7788,松川精密,0,1,0.0,79920.0,79920.0,0.0,97000.0,97000.0,0.0,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,no_signal,無明確訊號,
20260617,2449,京元電子,0,8,0.0,76810.0,76810.0,0.0,63000.0,63000.0,0.0,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,no_signal,無明確訊號,
20260617,8110,華東,0,6,0.0,74250.0,74250.0,0.0,75000.0,75000.0,0.0,pattern,型態觀察,,,,,no_signal,無明確訊號,
20260617,3231,緯創,0,19,0.0,70070.0,70070.0,0.0,46000.0,46000.0,0.0,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,no_signal,無明確訊號,
20260617,6862,三集瑞-KY,0,1,0.0,66050.0,66050.0,0.0,184000.0,184000.0,0.0,pattern,型態觀察,,,,,no_signal,無明確訊號,
20260617,1717,長興,0,2,0.0,63600.0,63600.0,0.0,120000.0,120000.0,0.0,pattern,型態觀察,,,,,no_signal,無明確訊號,
