month,factor_group,sample_size,sample_status,last_updated,mature_sample_d1,win_rate_d1,avg_return_d1,median_return_d1,avg_drawdown_d1,avg_relative_return_vs_benchmark_d1,benchmark_outperform_rate_d1,mature_sample_d2,win_rate_d2,avg_return_d2,median_return_d2,avg_drawdown_d2,avg_relative_return_vs_benchmark_d2,benchmark_outperform_rate_d2,mature_sample_d5,win_rate_d5,avg_return_d5,median_return_d5,avg_drawdown_d5,avg_relative_return_vs_benchmark_d5,benchmark_outperform_rate_d5,mature_sample_d10,win_rate_d10,avg_return_d10,median_return_d10,avg_drawdown_d10,avg_relative_return_vs_benchmark_d10,benchmark_outperform_rate_d10,mature_sample_d20,win_rate_d20,avg_return_d20,median_return_d20,avg_drawdown_d20,avg_relative_return_vs_benchmark_d20,benchmark_outperform_rate_d20
202606,all_thresholds,3054,ok,2026-06-11 23:26:12 Asia/Taipei,3049,46.736634962282714,0.30105644498738776,0.0,-1.7442688164822724,0.04084942810274029,45.19514594949164,2568,47.81931464174455,0.8188736820148753,0.0,-2.022182711081939,-0.10219658475648206,43.14641744548287,2567,51.26606934164394,1.5253182902995355,0.225225225225234,-3.2796055258565815,-0.479380334192591,37.98208024931827,2037,54.19734904270987,3.3049107310315127,0.5514705882353033,-4.493116832682562,-1.6180571117248554,31.71330387825233,1102,50.72595281306715,3.411950135760551,0.1655284873158691,-5.842519564274548,-5.490741742010086,22.0508166969147
202606,consecutive_2w_all_thresholds,1211,ok,2026-06-11 23:26:12 Asia/Taipei,1211,44.75639966969447,0.19810487842235183,0.0,-1.7167141221295572,0.10105457372268527,45.41701073492981,1000,47.8,0.7285216393165721,0.0,-1.8498873796585895,-0.08955891088258358,44.4,1000,53.800000000000004,1.6271992587822273,0.3257640067911738,-2.9172267500575297,-0.7282048242617597,38.6,755,52.980132450331126,2.6323044261231523,0.4032258064516014,-4.0701261388353105,-2.6704164103029955,28.344370860927153,370,45.13513513513514,-0.10851840242994244,-0.6224791998896195,-5.202155341965912,-10.103915512728106,14.054054054054054
202606,consecutive_3w_all_thresholds,552,ok,2026-06-11 23:26:12 Asia/Taipei,552,42.391304347826086,0.019771667532894263,-0.05020080321285755,-1.665425346462708,0.026492414565777174,44.20289855072464,435,44.827586206896555,0.5887967832419048,-0.1231527093596196,-1.647727996961734,-0.7214176397346277,37.93103448275862,435,51.49425287356322,1.0779903339560497,0.2444987775061191,-2.628875931683042,-1.3082600153303645,38.85057471264368,333,48.048048048048045,1.2332666345623415,0.0,-3.7170742481070937,-3.7947918890428904,21.92192192192192,226,45.57522123893805,-0.40564155439818617,-0.6855965982505763,-5.433831618936299,-11.118879307084123,12.831858407079647
202606,over_1000_only,542,ok,2026-06-11 23:26:12 Asia/Taipei,541,45.10166358595194,-0.25362398630641586,0.0,-2.317958657412491,-0.5815742938884356,41.21996303142329,464,46.55172413793103,0.42061856427343974,0.0,-2.13501909972907,-0.4702404665977717,40.73275862068966,464,48.922413793103445,1.0556722165267922,0.0,-3.474021456420781,-0.8655277331932013,35.991379310344826,373,51.474530831099194,2.4798704073107105,0.207468879668049,-4.751272693652358,-2.4290444555844926,27.61394101876676,191,60.20942408376963,3.436715183622585,1.2396694214876105,-5.934629189780366,-4.752347305430186,26.701570680628272
202606,over_800_or_above,5428,ok,2026-06-11 23:26:12 Asia/Taipei,5420,46.4760147601476,0.1537032692400183,0.0,-1.9317178408140703,-0.1397288450711001,43.81918819188192,4576,47.61800699300699,0.7069013420671608,0.0,-2.081629695699819,-0.23300522467391943,42.15472027972028,4574,50.63401836466988,1.386887937733601,0.1611688311688341,-3.3640327770579788,-0.5816372566227879,37.66943594228246,3666,54.20076377523186,3.1146520626618024,0.584124904465555,-4.6057720606758386,-1.7589866864471246,30.660120021822152,1945,53.62467866323908,3.5423032070336915,0.6389776357827559,-5.953065161972949,-5.071653613428619,23.39331619537275
202606,over_400_only,862,ok,2026-06-11 23:26:12 Asia/Taipei,861,44.134727061556326,-0.13033214861996564,-0.1724137931034541,-2.2894014295970435,-0.4036039266863602,41.69570267131243,712,44.241573033707866,0.5309185157936481,-0.263505068740455,-2.331858847707304,-0.31410603716651964,41.43258426966292,710,44.36619718309859,0.7695887264016864,-0.37852743160006197,-3.8651045633502497,-0.981502843047855,36.056338028169016,559,47.40608228980322,2.417375433983011,-0.1517450682852916,-5.299764174330011,-2.280051142124897,28.80143112701252,245,53.87755102040816,3.283347904695509,0.8898776418242438,-7.30304028375346,-4.317310664062652,26.122448979591837
202606,all_thresholds_not_overheated,2771,ok,2026-06-11 23:26:12 Asia/Taipei,2766,45.5531453362256,0.16355492025645046,0.0,-1.69482082837054,-0.09012188431485522,44.36008676789588,2334,46.74378748928877,0.554849484282415,0.0,-1.8950125830345361,-0.36664848741629097,41.98800342759212,2333,50.878696956708104,1.1795440410756068,0.1795332136445226,-3.023647653743862,-0.8792162914132999,36.648092584654954,1882,52.550478214665254,2.500247074235622,0.3752358424150226,-4.293779186988255,-2.445451489478781,29.11795961742827,1045,49.760765550239235,2.7562570960578014,0.0,-5.667458217672772,-6.224909593489949,20.574162679425836
202606,all_thresholds_overheated,283,ok,2026-06-11 23:26:12 Asia/Taipei,283,58.303886925795055,1.6449759411208593,1.206896551724146,-2.227566113715668,1.3209435982337274,53.35689045936396,234,58.54700854700855,3.4523458081155702,2.294835267862738,-3.2906232190419353,2.5355416238246873,54.700854700854705,234,55.12820512820513,4.972717108416738,1.5788390284067533,-5.8315273875616,3.507018333311317,51.28205128205128,155,74.19354838709677,13.075084938062908,8.438818565400851,-6.913461666209573,8.428112042680867,63.2258064516129,57,68.42105263157895,15.432989196977614,7.981220657276999,-9.051977585307117,7.969002201787396,49.122807017543856
202606,theme_breadth_A,7123,ok,2026-06-11 23:26:12 Asia/Taipei,7114,46.40146190610064,0.13856549806950202,0.0,-1.979358164590342,-0.1572663114907789,43.67444475681754,5994,47.280613947280614,0.705534937979081,0.0,-2.1225519917005577,-0.2079689742111109,42.42575909242576,5990,50.350584307178636,1.329066783288855,0.14195043320571749,-3.451462376026333,-0.5885913099508742,37.87979966611018,4772,53.56244761106454,2.994963347914271,0.5274726293873044,-4.732970250172755,-1.8476746554526853,30.301760268231348,2442,53.68550368550369,3.5228522163447478,0.6873582766439901,-6.177028261654426,-4.870969389460715,23.75102375102375
202606,theme_breadth_B,12,ok,2026-06-11 23:26:12 Asia/Taipei,12,58.333333333333336,-0.48815342013930624,2.368366176623915,-6.083355607150627,0.24132291648057827,58.333333333333336,8,50.0,6.219857561661163,5.161290322580648,-1.9436607105151964,5.30066361690438,50.0,8,50.0,4.420074507754127,1.0148632017419335,-3.764347018611577,4.534852354075509,50.0,5,100.0,30.25450721472372,26.956521739130437,-1.8513209313126517,27.509636159405368,80.0,5,100.0,57.660812666892625,54.255319148936174,-1.8513209313126517,48.57353041232109,100.0
