operation_rank,model_id,overlay_model_id,research_id,latest_price_date,signal_date,confirmation_date,confirmation_age_trading_days,stock_id,stock_name,market,trigger_id,trigger_name_zh,confirmation_rule_zh,matched_trigger_ids,selected_trigger_id,selected_confirmation_date,selected_trigger_priority,operation_selection_status,entry_rule_id,entry_rule_zh,planned_entry_timing_zh,entry_price_status,stop_loss_rule_id,stop_loss_rule_zh,stop_loss_level,exit_rule_id,exit_rule_zh,tdcc_list_type,tdcc_signal_date,tdcc_signal_age_days,tdcc_rank,tdcc_ranking_score,classification_id,classification_name_zh,attack_method,attack_method_name_zh,price_position_type,price_position_name_zh,risk_type,risk_name_zh,evidence_confluence_scope,evidence_confluence_id,evidence_rank_bucket,evidence_sample_size,evidence_win_rate,evidence_avg_return,evidence_median_return,evidence_confidence_status,evidence_out_of_sample_pass,ranking_research_score,approved_for_daily
1,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260605,20260617,5,2501,國建,TWSE,pullback_5ma_confirmed,pullback_5ma_confirmed,Confirm when price pulls back to 5MA and closes back above 5MA before breaking signal-date low.,pullback_5ma_confirmed,pullback_5ma_confirmed,20260617,1,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,23.4,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,weekly_increase,20260612,5,45,27.83,long_base_low_position,長盤整低位階突破,general_breakout,一般突破,low_position,低位階,stop_loss_easy_trigger,停損容易被打到,operation_trigger,all_confirmed_volume_breakout,top_50,15,53.33,10.2779,4.878,low,True,10.069,False
2,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260616,20260617,1,1905,華紙,TWSE,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260617,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,12.75,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,low_position,低位階,normal_risk,一般風險,operation_attack_position,locked_limit_up__low_position,all,148,42.57,11.022,-2.311,medium,False,4.3,False
3,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260605,20260617,5,2903,遠百,TWSE,pullback_5ma_confirmed,pullback_5ma_confirmed,Confirm when price pulls back to 5MA and closes back above 5MA before breaking signal-date low.,pullback_5ma_confirmed,pullback_5ma_confirmed,20260617,1,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,22.8,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,high_position_breakout,高位階突破,general_breakout,一般突破,high_position,高位階,high_position_chase,高位階追價,operation_classification,high_position_breakout,all,305,39.34,2.3486,-1.6687,medium,False,-1.2416,False
4,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260615,20260617,2,7828,創新服務,TPEx,pullback_5ma_confirmed,pullback_5ma_confirmed,Confirm when price pulls back to 5MA and closes back above 5MA before breaking signal-date low.,pullback_5ma_confirmed,pullback_5ma_confirmed,20260617,1,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,1885.0,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,high_position_breakout,高位階突破,general_breakout,一般突破,high_position,高位階,high_position_chase,高位階追價,operation_classification,high_position_breakout,all,305,39.34,2.3486,-1.6687,medium,False,-1.2416,False
5,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260611,20260617,4,2547,日勝生,TWSE,pullback_5ma_confirmed,pullback_5ma_confirmed,Confirm when price pulls back to 5MA and closes back above 5MA before breaking signal-date low.,pullback_5ma_confirmed,pullback_5ma_confirmed,20260617,1,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,10.85,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,standard_breakout,一般突破,general_breakout,一般突破,middle_position,中位階,stop_loss_easy_trigger,停損容易被打到,operation_attack_position,general_breakout__middle_position,all,11,36.36,4.1928,-2.3585,low,False,-1.7673,False
6,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260529,20260617,10,2324,仁寶,TWSE,pullback_5ma_confirmed,pullback_5ma_confirmed,Confirm when price pulls back to 5MA and closes back above 5MA before breaking signal-date low.,pullback_5ma_confirmed,pullback_5ma_confirmed,20260617,1,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,35.0,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,high_position,高位階,high_position_chase,高位階追價,operation_price_position,high_position,all,519,39.69,1.8581,-2.0067,medium,False,-2.1165,False
7,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260529,20260617,10,2357,華碩,TWSE,pullback_5ma_confirmed,pullback_5ma_confirmed,Confirm when price pulls back to 5MA and closes back above 5MA before breaking signal-date low.,pullback_5ma_confirmed,pullback_5ma_confirmed,20260617,1,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,708.0,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,high_position,高位階,high_position_chase,高位階追價,operation_price_position,high_position,all,519,39.69,1.8581,-2.0067,medium,False,-2.1165,False
8,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260612,20260617,3,6153,嘉聯益,TWSE,pullback_5ma_confirmed,pullback_5ma_confirmed,Confirm when price pulls back to 5MA and closes back above 5MA before breaking signal-date low.,pullback_5ma_confirmed,pullback_5ma_confirmed,20260617,1,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,20.7,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,high_position,高位階,high_position_chase,高位階追價,operation_price_position,high_position,all,519,39.69,1.8581,-2.0067,medium,False,-2.1165,False
9,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260616,20260617,1,2851,中再保,TWSE,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260617,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,38.5,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,high_position_breakout,高位階突破,general_breakout,一般突破,high_position,高位階,normal_risk,一般風險,operation_attack_method,general_breakout,all,270,43.7,1.479,-1.96,medium,False,-2.3308,False
10,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260615,20260617,1,6904,伯鑫,TPEx,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,Confirm on D+1 when intraday high breaks signal-date high and close remains above signal-date close.,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260617,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,120.0,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,standard_breakout,一般突破,general_breakout,一般突破,middle_position,中位階,stop_loss_easy_trigger,停損容易被打到,operation_attack_method,general_breakout,all,270,43.7,1.479,-1.96,medium,False,-2.3308,False
