date,category,category_cn,breakout_type,ticker,stock_id,name,stock_name,market,industry,score,judge,rebound_judge,revenue_period,revenue_yoy_pct,cumulative_yoy_pct,close,open,high,low,volume,volume_lots,volume_ratio,ma20,ma60,ema23,gap_ma20_pct,gap_ma60_pct,gap_ema23_pct,return_5d_pct,return_10d_pct,return_20d_pct,return_60d_pct,return_120d_pct,previous_20d_high,previous_20d_low,previous_40d_high,previous_40d_low,previous_60d_high,previous_60d_low,distance_to_previous_40d_high_pct,distance_to_previous_60d_high_pct,consolidation_range_pct,breakout_pct,limit_up_breakout,abnormal_volume_up,w_bottom_flag,w_bottom_right_side_flag,platform_base_flag,platform_right_side_flag,pullback_entry_zone_flag,pullback_right_side_flag,ma20_reclaim_setup_flag,early_attack_volume_flag,early_entry_watch_flag,right_side_follow_through_flag,rebound_from_5d_low_pct,neckline_price,neckline_source,neckline_distance_pct,neckline_challenge_flag,neckline_breakout_flag,platform_breakout_flag,volume_confirmed_breakout,breakout_close_near_high_flag,false_breakout_risk,pattern_stage,platform_high,platform_low,platform_width_pct,short_platform_high,short_platform_low,short_platform_width_pct,higher_lows_flag,ma5_turning_up_flag,ma10_turning_up_flag,available_days,price_data_warning,tdcc_date,holder_400_pct,holder_400_change,holder_1000_pct,holder_1000_change,tdcc_judgement,tdcc_weeks_used,tdcc_400_change_sum,tdcc_1000_change_sum,tdcc_400_up_weeks,tdcc_1000_up_weeks,tdcc_accumulation_signal,tdcc_accumulation_note,note
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,9921,9921,巨大,巨大,TWSE,運動休閒,69.0,初步觀察,,11506,15.980391584298689,-10.503624462794267,86.6,85.8,89.4,84.9,13375509.0,13375.51,5.34,77.41,72.93,77.74,11.87,18.75,11.4,19.12,14.7,15.16,31.21,-10.17,88.0,72.7,88.0,66.1,88.0,65.1,-1.59,-1.59,33.13,-1.59,0.0,0.0,True,True,True,True,False,False,False,False,False,True,17.19,88.0,previous_60d_high,-1.59,True,False,False,True,False,False,neckline_challenge,88.0,72.7,21.05,88.0,72.7,21.05,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比5.34x；月營收YoY 16.0%；累計YoY -10.5%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,3024,3024,憶聲,憶聲,TWSE,光電業,69.0,初步觀察,,11506,-36.91307171809355,-58.91922616014855,14.2,13.6,14.65,13.6,9581674.0,9581.67,4.52,12.53,13.95,12.89,13.31,1.81,10.19,14.52,16.87,13.6,3.65,24.02,13.7,11.8,17.95,11.8,18.4,11.8,-20.89,-22.83,52.12,-22.83,0.0,0.0,False,False,True,False,False,False,False,False,False,True,17.36,13.7,previous_20d_high,3.65,False,True,True,True,False,False,platform_breakout,13.7,11.8,16.1,13.7,11.8,16.1,False,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比4.52x；月營收YoY -36.9%；累計YoY -58.9%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2359,2359,所羅門,所羅門,TWSE,其他電子業,69.0,初步觀察,,11506,35.56207073774704,4.117504050425805,141.0,139.0,145.0,138.5,9184934.0,9184.93,1.84,138.15,135.24,139.3,2.06,4.26,1.22,1.44,-3.75,6.82,27.6,7.22,151.5,126.5,154.5,126.5,154.5,105.0,-8.74,-8.74,22.13,-8.74,0.0,0.0,False,False,True,True,False,True,False,False,True,False,3.3,151.5,previous_20d_high,-6.93,False,False,False,True,False,False,platform_right_side,151.5,126.5,19.76,151.5,132.0,14.77,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比1.84x；月營收YoY 35.6%；累計YoY 4.1%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,4534,4534,慶騰,慶騰,TPEx,電機機械,69.0,初步觀察,,11506,112.04410347043702,30.5946570904906,41.7,41.3,44.5,40.8,7187000.0,7187.0,3.29,33.98,29.18,34.39,22.74,42.91,21.25,24.11,22.29,23.92,76.32,111.68,42.35,28.1,42.35,22.4,42.35,21.7,-1.53,-1.53,89.06,-1.53,0.0,0.0,True,True,False,True,False,False,False,False,False,True,26.56,42.35,previous_60d_high,-1.53,True,False,False,True,False,False,neckline_challenge,42.35,28.1,50.71,42.35,30.0,41.17,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比3.29x；月營收YoY 112.0%；累計YoY 30.6%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,3413,3413,京鼎,京鼎,TWSE,半導體業,69.0,初步觀察,,11506,39.75269641874535,17.698513809699495,371.0,355.5,383.5,352.0,7028634.0,7028.63,1.9,331.25,322.07,335.29,12.0,15.19,10.65,10.91,12.42,16.12,20.06,29.27,382.5,299.0,382.5,286.0,382.5,286.0,-3.01,-3.01,33.74,-3.01,0.0,0.0,True,True,True,True,False,False,False,False,False,True,18.53,382.5,previous_60d_high,-3.01,True,False,False,True,False,False,neckline_challenge,382.5,299.0,27.93,382.5,313.0,22.2,True,True,True,309.0,,20260703,,,,,,,,,,,,,區間內轉強；量比1.9x；月營收YoY 39.8%；累計YoY 17.7%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,near_resistance,2912,2912,統一超,統一超,TWSE,貿易百貨,69.0,初步觀察,,11506,6.313731725107239,5.04727396187874,243.0,245.0,246.5,240.5,5619379.0,5619.38,1.52,232.6,227.05,234.67,4.47,7.02,3.55,0.83,6.35,6.11,7.52,11.98,249.0,221.0,250.0,203.5,250.0,203.5,-2.8,-2.8,22.85,-2.8,0.0,0.0,False,False,True,True,False,True,False,False,True,False,1.89,249.0,previous_20d_high,-2.41,True,False,False,True,False,False,neckline_challenge,249.0,221.0,12.67,249.0,224.0,11.16,True,True,True,310.0,,20260703,,,,,,,,,,,,,挑戰前高；量比1.52x；月營收YoY 6.3%；累計YoY 5.0%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,9103,9103,美德醫療-DR,美德醫療-DR,TWSE,,69.0,初步觀察,,,,,5.28,5.07,5.42,5.03,4231006.0,4231.01,3.79,5.15,5.17,5.18,2.49,2.03,1.95,4.55,3.53,-0.94,13.79,13.3,5.51,4.79,6.57,4.79,6.57,4.56,-19.63,-19.63,37.16,-19.63,0.0,0.0,False,False,True,False,False,True,True,False,True,False,10.23,5.33,previous_10d_high,-0.94,True,False,False,True,False,False,neckline_challenge,5.51,4.79,15.03,5.33,4.79,11.27,False,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比3.79x
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2527,2527,宏璟,宏璟,TWSE,建材營造,69.0,初步觀察,,11506,365.123018807587,2533.2289075556096,48.1,49.05,49.95,47.45,3693888.0,3693.89,2.2,42.06,37.49,42.08,14.36,28.3,14.31,12.91,17.32,23.65,37.63,59.01,49.55,38.25,49.55,33.05,49.55,32.7,-2.93,-2.93,49.92,-2.93,0.0,0.0,True,True,True,True,False,False,False,False,False,True,16.18,49.55,previous_60d_high,-2.93,True,False,False,True,False,False,neckline_challenge,49.55,38.25,29.54,49.55,40.05,23.72,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比2.2x；月營收YoY 365.1%；累計YoY 2533.2%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,abnormal_volume_up,6277,6277,宏正,宏正,TWSE,電腦及週邊設備業,69.0,初步觀察,,11506,35.1173010351806,12.794686147482606,80.5,74.0,81.6,73.2,3666335.0,3666.34,10.03,71.78,73.34,73.09,12.16,9.76,10.14,13.86,14.35,10.58,15.99,32.18,77.6,68.5,84.1,68.5,84.1,68.5,-4.28,-4.28,22.77,-4.28,0.0,1.0,True,False,True,False,False,False,False,True,False,True,11.81,77.6,previous_20d_high,3.74,False,True,True,True,True,False,neckline_breakout,77.6,68.5,13.28,77.6,69.2,12.14,False,True,True,310.0,,20260703,,,,,,,,,,,,,異常放量上漲；量比10.03x；月營收YoY 35.1%；累計YoY 12.8%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,4513,4513,福裕,福裕,TPEx,電機機械,69.0,初步觀察,,11506,807.5868384569401,174.19572595228854,21.05,21.45,22.3,20.4,3510000.0,3510.0,1.78,17.69,15.93,17.99,18.98,32.11,17.02,24.93,27.58,20.98,41.75,-7.27,23.95,15.95,23.95,13.95,23.95,13.9,-12.11,-12.11,71.68,-12.11,0.0,0.0,True,True,False,True,False,False,False,False,False,True,18.26,23.95,previous_60d_high,-12.11,False,False,False,True,False,False,platform_right_side,23.95,15.95,50.16,23.95,15.95,50.16,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比1.78x；月營收YoY 807.6%；累計YoY 174.2%
