date,stock_id,stock_name,industry,call_warrant_count,put_warrant_count,call_volume,put_volume,total_warrant_volume,call_turnover,put_turnover,total_warrant_turnover,call_put_turnover_ratio,call_turnover_change_1d,call_turnover_change_5d,put_turnover_change_1d,put_turnover_change_5d,call_volume_change_1d,call_volume_change_5d,put_volume_change_1d,put_volume_change_5d,low_float_call_spike_count,low_float_put_spike_count,issuer_count,top_issuer,top_issuer_call_turnover,top_issuer_put_turnover,latest_warrant_count,issued_quantity_total,cancelled_quantity_total,warrant_flow_signal,warrant_flow_signal_zh,warrant_flow_score,warrant_flow_warning,note
20260706,2324,仁寶,,97,0,10667000.0,0.0,10667000.0,11606510.0,0.0,11606510.0,,55.53,110.82,,-100.0,44.56,108.79,,-100.0,0,0,11,富邦,2747530.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1503,士電,,92,0,10446000.0,0.0,10446000.0,11496000.0,0.0,11496000.0,,212.02,201.8,,-100.0,201.12,167.22,,-100.0,0,0,11,元大,3540680.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,4576,大銀微系統,,57,0,8920000.0,0.0,8920000.0,11050680.0,0.0,11050680.0,,116.53,197.0,,,135.17,174.88,,,0,0,7,統一,3349230.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,0070,期元大S&P黃金正2(原名：元大S&P黃金正2),,207,0,14754000.0,0.0,14754000.0,10776780.0,0.0,10776780.0,,7.69,112.53,,-100.0,4.76,89.24,,-100.0,0,0,11,群益,3870670.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1514,亞力,,65,0,14240000.0,0.0,14240000.0,10107320.0,0.0,10107320.0,,162.12,158.49,,,144.46,143.74,,,0,0,11,凱基,2788880.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2436,偉詮電,,40,0,8012000.0,0.0,8012000.0,9064720.0,0.0,9064720.0,,25.27,105.67,,,20.52,84.14,,,0,0,10,元大,3819290.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1513,中興電,,99,0,9595000.0,0.0,9595000.0,9037890.0,0.0,9037890.0,,122.6,64.88,,,112.61,42.31,,,0,0,11,元大,3631410.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1504,東元,,92,0,11287000.0,0.0,11287000.0,9003570.0,0.0,9003570.0,,93.79,279.75,,,111.09,264.4,,,0,0,12,元大,1824960.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1718,中纖,,9,0,2965000.0,0.0,2965000.0,8799670.0,0.0,8799670.0,,97.14,151.1,,,122.93,111.51,,,0,0,4,國票,5221170.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2615,萬海,,64,0,9582000.0,0.0,9582000.0,8126820.0,0.0,8126820.0,,-21.47,140.92,,-100.0,-21.18,117.99,,-100.0,0,0,11,元大,3388200.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2609,陽明,,61,0,9374000.0,0.0,9374000.0,7620550.0,0.0,7620550.0,,15.16,187.49,,-100.0,9.86,120.54,,-100.0,0,0,11,元大,2167490.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,6269,台郡,,50,0,10632000.0,0.0,10632000.0,7295390.0,0.0,7295390.0,,172.85,26.99,,,176.44,44.03,,,0,0,9,元大,5375530.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1711,永光,,51,0,4784000.0,0.0,4784000.0,6911350.0,0.0,6911350.0,,160.3,374.47,,-100.0,250.22,459.27,,-100.0,0,0,9,國票,3028360.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,6937,天虹,,41,0,7917000.0,0.0,7917000.0,6124970.0,0.0,6124970.0,,-21.06,102.91,,-100.0,-5.38,155.26,,-100.0,0,0,10,富邦,1702080.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2354,鴻準,,39,0,3806000.0,0.0,3806000.0,6063580.0,0.0,6063580.0,,132.87,313.6,,,0.61,78.35,,,0,0,9,台新,2465050.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2329,華泰,,131,0,8406000.0,0.0,8406000.0,5873840.0,0.0,5873840.0,,119.39,92.28,,-100.0,127.01,81.45,,-100.0,0,0,12,元大,2770430.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1477,聚陽,,13,0,7926000.0,0.0,7926000.0,5842660.0,0.0,5842660.0,,22.76,173.13,,,4.81,130.66,,,0,0,7,元大,2895910.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,8046,南電,,75,0,528000.0,0.0,528000.0,5243820.0,0.0,5243820.0,,138.19,-21.43,,-100.0,60.49,-38.32,,-100.0,0,0,11,國票,2369000.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,6491,晶碩,,4,0,2601000.0,0.0,2601000.0,4557340.0,0.0,4557340.0,,65.46,151.05,,,44.42,92.24,,,0,0,2,凱基,2484550.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,4938,和碩,,27,0,4594000.0,0.0,4594000.0,4453880.0,0.0,4453880.0,,38.68,110.02,,,42.89,127.92,,,0,0,10,群益,2053800.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1714,和桐,,4,0,1777000.0,0.0,1777000.0,4360160.0,0.0,4360160.0,,154.96,269.78,,,207.97,267.6,,,0,0,2,國票,3080610.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2337,旺宏,,57,0,209000.0,0.0,209000.0,4219250.0,0.0,4219250.0,,328.43,78.67,,-100.0,51.45,-18.87,,-100.0,0,0,12,台新,2023000.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,3708,上緯投控,,22,0,8085000.0,0.0,8085000.0,4097680.0,0.0,4097680.0,,115.61,548.66,,,123.84,413.79,,,0,0,8,元大,2075730.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2323,中環,,15,0,4044000.0,0.0,4044000.0,4000450.0,0.0,4000450.0,,-10.08,110.73,,,-26.38,50.95,,,0,0,6,凱基,1377610.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1402,遠東新,,8,0,4530000.0,0.0,4530000.0,3992930.0,0.0,3992930.0,,-18.0,121.94,,,-11.7,93.9,,,0,0,4,元大,2638070.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2891,中信金,,27,0,2523000.0,0.0,2523000.0,3822120.0,0.0,3822120.0,,100.45,288.51,,,181.58,419.14,,,0,0,9,富邦,2363800.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2103,台橡,,7,0,1894000.0,0.0,1894000.0,3797950.0,0.0,3797950.0,,448.83,1668.28,,,298.74,949.89,,,0,0,4,國泰,2411300.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,8033,雷虎,,4,0,1026000.0,0.0,1026000.0,3587870.0,0.0,3587870.0,,46.76,130.25,,,28.73,82.82,,,0,0,2,統一,3587870.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2002,中鋼,,44,0,8021000.0,0.0,8021000.0,3575130.0,0.0,3575130.0,,88.38,232.38,,,106.78,213.61,,,0,0,10,富邦,1741130.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2885,元大金,,16,0,2628000.0,0.0,2628000.0,3474290.0,0.0,3474290.0,,390.35,552.48,,,325.93,563.64,,,0,0,1,元大,3474290.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2542,興富發,,5,0,1509000.0,0.0,1509000.0,3452680.0,0.0,3452680.0,,93.81,522.25,,,18.08,280.87,,,0,0,3,永豐,2305090.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,4961,天鈺,,8,0,2703000.0,0.0,2703000.0,3356430.0,0.0,3356430.0,,132.7,484.57,,,62.24,293.45,,,0,0,5,凱基,1256050.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,3532,台勝科,,46,0,623000.0,0.0,623000.0,3127150.0,0.0,3127150.0,,184.29,319.26,,,221.13,315.89,,,0,0,8,元大,1232300.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,1313,聯成,,6,0,3330000.0,0.0,3330000.0,3119790.0,0.0,3119790.0,,19.18,223.75,,,44.34,194.48,,,0,0,5,群益,2292550.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2630,亞航,,12,0,2898000.0,0.0,2898000.0,3080130.0,0.0,3080130.0,,189.24,237.33,,,41.92,61.61,,,0,0,6,凱基,1750460.0,0.0,0.0,0.0,0.0,call_strong_inflow,認購強流入,2,,認購權證成交金額明顯升溫
20260706,2409,友達,,280,0,35505000.0,0.0,35505000.0,66921960.0,0.0,66921960.0,,57.88,7.49,,-100.0,35.1,16.8,,-100.0,0,0,12,元大,18294360.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,3042,晶技,,63,0,45698000.0,0.0,45698000.0,60900990.0,0.0,60900990.0,,-31.56,75.04,,-100.0,-19.31,82.91,,-100.0,0,0,9,永豐,17115350.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2317,鴻海,,519,0,40608000.0,0.0,40608000.0,54016850.0,0.0,54016850.0,,60.89,71.0,,-100.0,31.93,44.08,,-100.0,0,0,12,元大,14954200.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,6239,力成,,197,0,29349000.0,0.0,29349000.0,50529870.0,0.0,50529870.0,,82.81,94.1,,-100.0,70.02,83.66,,-100.0,0,0,12,凱基,15627000.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,6781,AES-KY,,163,0,33677000.0,0.0,33677000.0,38139330.0,0.0,38139330.0,,53.27,69.29,,,19.21,22.63,,,0,0,12,台新,8358680.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,6409,旭隼,,93,0,18445000.0,0.0,18445000.0,37543850.0,0.0,37543850.0,,54.37,71.8,,-100.0,17.6,16.41,,-100.0,0,0,10,凱基,13482330.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,8112,至上,,143,0,18576000.0,0.0,18576000.0,26084860.0,0.0,26084860.0,,13.66,78.05,,-100.0,-7.23,56.99,,-100.0,0,0,12,元大,16091650.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2441,超豐,,76,0,15618000.0,0.0,15618000.0,25591460.0,0.0,25591460.0,,61.88,88.6,,,15.94,29.1,,,0,0,10,元大,4476270.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2493,揚博,,59,0,9645000.0,0.0,9645000.0,18611110.0,0.0,18611110.0,,-33.33,95.13,,-100.0,-14.96,148.4,,-100.0,0,0,10,國票,5619580.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2451,創見,,113,0,15046000.0,0.0,15046000.0,16362120.0,0.0,16362120.0,,13.0,98.04,,-100.0,-5.96,55.29,,-100.0,0,0,12,元大,4934400.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,6282,康舒,,162,0,12782000.0,0.0,12782000.0,15321870.0,0.0,15321870.0,,86.6,-11.45,,-100.0,25.52,-31.63,,-100.0,0,0,12,元大,5732700.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2356,英業達,,98,0,7339000.0,0.0,7339000.0,12918940.0,0.0,12918940.0,,64.62,70.42,,-100.0,29.99,38.29,,-100.0,0,0,11,群益,4202470.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,3406,玉晶光,,94,0,12915000.0,0.0,12915000.0,12614720.0,0.0,12614720.0,,85.8,62.93,,-100.0,98.27,60.99,,-100.0,0,0,12,元大,6730230.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,1605,華新,,147,0,16741000.0,0.0,16741000.0,12451710.0,0.0,12451710.0,,55.31,92.56,,-100.0,146.01,156.99,,-100.0,0,0,12,元大,6086430.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,3605,宏致,,28,0,8485000.0,0.0,8485000.0,12220270.0,0.0,12220270.0,,89.58,52.72,,,59.61,15.68,,,0,0,8,國泰,3980610.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,3059,華晶科,,35,0,8462000.0,0.0,8462000.0,10134460.0,0.0,10134460.0,,8.26,71.26,,-100.0,11.53,47.7,,-100.0,0,0,9,元大,3208720.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,6505,台塑化,,41,0,12053000.0,0.0,12053000.0,9993290.0,0.0,9993290.0,,-33.19,82.15,,,-39.6,75.55,,,0,0,9,富邦,3568940.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,3005,神基,,33,0,13979000.0,0.0,13979000.0,8784240.0,0.0,8784240.0,,51.84,73.13,,,42.24,36.91,,,0,0,11,元大,3787530.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,3026,禾伸堂,,49,0,918000.0,0.0,918000.0,8411710.0,0.0,8411710.0,,-9.61,73.78,,,35.6,165.47,,,0,0,10,統一,3997010.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,3019,亞光,,105,0,7700000.0,0.0,7700000.0,8004330.0,0.0,8004330.0,,-1.37,98.6,,,-21.43,36.09,,,0,0,12,元大,2830980.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2884,玉山金,,10,0,3413000.0,0.0,3413000.0,7830480.0,0.0,7830480.0,,-34.43,82.46,,,-34.44,59.64,,,0,0,4,玉山,7397930.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2353,宏碁,,66,0,5406000.0,0.0,5406000.0,7227750.0,0.0,7227750.0,,50.52,92.91,,-100.0,47.1,75.67,,-100.0,0,0,8,永豐,2422000.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2312,金寶,,95,0,6139000.0,0.0,6139000.0,6994170.0,0.0,6994170.0,,59.11,-27.14,,-100.0,13.92,-30.5,,-100.0,0,0,11,元大,1788770.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,1312,國喬,,30,0,8018000.0,0.0,8018000.0,6944390.0,0.0,6944390.0,,-41.81,86.6,,,-43.89,73.54,,,0,0,9,元富,2618280.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,7788,松川精密,,27,0,4764000.0,0.0,4764000.0,6314200.0,0.0,6314200.0,,85.63,-48.01,,,72.36,-24.4,,,0,0,8,台新,2115550.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,3653,健策,,30,0,7061000.0,0.0,7061000.0,6280720.0,0.0,6280720.0,,32.54,81.12,,-100.0,37.56,96.67,,-100.0,0,0,8,群益,2393710.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,5243,乙盛-KY,,54,0,6894000.0,0.0,6894000.0,5675790.0,0.0,5675790.0,,74.34,84.62,,-100.0,58.63,57.34,,-100.0,0,0,9,群益,2252640.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2027,大成鋼,,65,0,4959000.0,0.0,4959000.0,5289460.0,0.0,5289460.0,,95.17,-23.26,,,77.11,-29.25,,,0,0,10,元大,2672750.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,2359,所羅門,,45,0,6645000.0,0.0,6645000.0,5236010.0,0.0,5236010.0,,-10.21,73.43,,,-5.18,70.65,,,0,0,10,富邦,1461560.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,8081,致新,,17,0,2912000.0,0.0,2912000.0,4665630.0,0.0,4665630.0,,15.48,59.9,,,9.35,50.8,,,0,0,8,凱基,1310220.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,6456,GIS-KY,,52,0,4634000.0,0.0,4634000.0,4212460.0,0.0,4212460.0,,92.49,58.72,,,70.24,43.42,,,0,0,10,凱基,1443660.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
20260706,4739,康普,,39,0,2141000.0,0.0,2141000.0,4084110.0,0.0,4084110.0,,73.0,77.07,,,37.68,42.62,,,0,0,8,國票,1292340.0,0.0,0.0,0.0,0.0,call_inflow,認購流入,1,,認購權證資金升溫
