rule_name,rule_family,source_type,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,top_theme_status_counts,sample_status
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+20,D+1_open,10.0,406,265,65.27,0.34,140,101,14.45,20.72,1.04,47.54,strong_bull=398; mild_bull=8,mainstream_overheated=406,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+20,D+1_open,10.0,1719,1006,58.52,1.28,291,228,13.11,19.29,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+20,D+1_open,10.0,631,364,57.69,0.46,170,127,13.12,19.31,0.77,10.14,strong_bull=508; mild_bull=123,mainstream_overheated=631,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+20,D+1_open,10.0,2984,1702,57.04,2.17,317,267,12.51,18.44,0.77,16.66,strong_bull=2516; mild_bull=468,mainstream_overheated=2984,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+20,D+1_open,10.0,1296,726,56.02,0.93,273,205,11.78,17.53,0.82,22.22,strong_bull=1192; mild_bull=104,mainstream_overheated=1296,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+20,D+1_open,10.0,1817,1012,55.7,1.29,276,217,11.84,18.23,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,141,78,55.32,0.1,48,29,11.96,16.09,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+20,D+1_open,10.0,127,69,54.33,0.09,48,28,10.8,15.68,1.33,100.0,strong_bull=120; mild_bull=7,mainstream_overheated=127,provisional_latest_theme_label
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,39,21,53.85,0.03,23,14,10.34,15.87,1.2,100.0,strong_bull=36; mild_bull=2; range_or_unclear=1,mainstream_overheated=39,insufficient_sample
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,173,90,52.02,0.11,58,33,10.44,16.71,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,173,90,52.02,0.11,58,33,10.44,16.71,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+20,D+1_open,10.0,153,79,51.63,0.1,58,31,10.34,16.68,1.27,100.0,strong_bull=144; mild_bull=9,mainstream_overheated=153,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,186,94,50.54,0.12,63,35,10.25,16.16,1.17,100.0,strong_bull=156; range_or_unclear=20; mild_bull=9; weak_or_correction=1,mainstream_overheated=186,provisional_latest_theme_label
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,60,30,50.0,0.04,28,16,9.98,15.89,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+20,D+1_open,10.0,14368,6256,43.54,7.98,1708,1082,8.0,15.31,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+20,D+1_open,10.0,648,278,42.9,0.35,187,100,8.11,14.53,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+20,D+1_open,10.0,12170,5203,42.75,6.63,1663,1015,7.85,14.98,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+20,D+1_open,10.0,813,340,41.82,0.43,229,121,7.88,14.0,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+20,D+1_open,10.0,634,238,37.54,0.3,98,55,6.45,12.04,0.52,21.45,strong_bull=534; mild_bull=100,mainstream_supported=634,provisional_latest_theme_label
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+20,D+1_open,10.0,317,108,34.07,0.14,92,46,5.45,10.93,0.75,100.0,strong_bull=236; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=232; mainstream_overheated=61; mainstream_supported=21; non_mainstream=3,ok_initial_sample
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+20,D+1_open,10.0,7,0,0.0,0.0,2,0,3.18,2.52,-0.56,100.0,strong_bull=5; mild_bull=1; range_or_unclear=1,non_mainstream=7,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+3,D+1_open,10.0,141,31,21.99,0.17,48,21,4.35,6.3,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+3,D+1_open,10.0,406,84,20.69,0.47,140,53,4.5,6.27,1.04,47.54,strong_bull=398; mild_bull=8,mainstream_overheated=406,provisional_latest_theme_label
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+3,D+1_open,10.0,39,8,20.51,0.04,23,7,4.83,6.13,1.2,100.0,strong_bull=36; mild_bull=2; range_or_unclear=1,mainstream_overheated=39,insufficient_sample
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+3,D+1_open,10.0,127,25,19.69,0.14,48,18,4.31,5.88,1.33,100.0,strong_bull=120; mild_bull=7,mainstream_overheated=127,provisional_latest_theme_label
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+3,D+1_open,10.0,631,122,19.33,0.68,170,67,3.93,5.97,0.77,10.14,strong_bull=508; mild_bull=123,mainstream_overheated=631,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+3,D+1_open,10.0,173,33,19.08,0.18,58,23,4.28,5.87,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+3,D+1_open,10.0,173,33,19.08,0.18,58,23,4.28,5.87,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+3,D+1_open,10.0,1296,242,18.67,1.35,273,124,3.83,5.78,0.82,22.22,strong_bull=1192; mild_bull=104,mainstream_overheated=1296,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+3,D+1_open,10.0,186,34,18.28,0.19,63,23,4.27,5.74,1.17,100.0,strong_bull=156; range_or_unclear=20; mild_bull=9; weak_or_correction=1,mainstream_overheated=186,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+3,D+1_open,10.0,2984,544,18.23,3.03,317,193,3.87,5.8,0.77,16.66,strong_bull=2516; mild_bull=468,mainstream_overheated=2984,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+3,D+1_open,10.0,1719,303,17.63,1.69,291,142,4.07,5.83,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+3,D+1_open,10.0,1817,318,17.5,1.77,276,135,3.9,5.73,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+3,D+1_open,10.0,648,113,17.44,0.63,187,62,3.41,5.51,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+3,D+1_open,10.0,153,26,16.99,0.14,58,19,4.14,5.51,1.27,100.0,strong_bull=144; mild_bull=9,mainstream_overheated=153,provisional_latest_theme_label
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+3,D+1_open,10.0,813,130,15.99,0.72,229,75,3.28,5.26,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+3,D+1_open,10.0,60,9,15.0,0.05,28,7,4.31,5.37,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+3,D+1_open,10.0,14368,2008,13.98,11.17,1708,713,2.72,4.76,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+3,D+1_open,10.0,12170,1669,13.71,9.29,1663,638,2.68,4.7,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+3,D+1_open,10.0,317,36,11.36,0.2,92,21,2.93,4.54,0.75,100.0,strong_bull=236; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=232; mainstream_overheated=61; mainstream_supported=21; non_mainstream=3,ok_initial_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+3,D+1_open,10.0,634,60,9.46,0.33,98,23,2.26,3.85,0.52,21.45,strong_bull=534; mild_bull=100,mainstream_supported=634,provisional_latest_theme_label
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+3,D+1_open,10.0,7,0,0.0,0.0,2,0,2.43,1.99,-0.56,100.0,strong_bull=5; mild_bull=1; range_or_unclear=1,non_mainstream=7,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,141,42,29.79,0.17,48,22,5.12,7.53,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+4,D+1_open,10.0,127,34,26.77,0.14,48,21,4.83,6.84,1.33,100.0,strong_bull=120; mild_bull=7,mainstream_overheated=127,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+4,D+1_open,10.0,406,106,26.11,0.43,140,62,5.39,7.45,1.04,47.54,strong_bull=398; mild_bull=8,mainstream_overheated=406,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,173,44,25.43,0.18,58,24,4.66,6.97,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,173,44,25.43,0.18,58,24,4.66,6.97,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,186,46,24.73,0.19,63,25,4.63,6.82,1.17,100.0,strong_bull=156; range_or_unclear=20; mild_bull=9; weak_or_correction=1,mainstream_overheated=186,provisional_latest_theme_label
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+4,D+1_open,10.0,631,155,24.56,0.63,170,79,4.67,7.07,0.77,10.14,strong_bull=508; mild_bull=123,mainstream_overheated=631,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+4,D+1_open,10.0,1296,312,24.07,1.26,273,139,4.6,7.0,0.82,22.22,strong_bull=1192; mild_bull=104,mainstream_overheated=1296,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+4,D+1_open,10.0,2984,708,23.73,2.87,317,208,4.6,6.96,0.77,16.66,strong_bull=2516; mild_bull=468,mainstream_overheated=2984,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+4,D+1_open,10.0,1719,404,23.5,1.64,291,160,4.8,7.1,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,39,9,23.08,0.04,23,8,5.56,6.74,1.2,100.0,strong_bull=36; mild_bull=2; range_or_unclear=1,mainstream_overheated=39,insufficient_sample
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+4,D+1_open,10.0,153,35,22.88,0.14,58,22,4.61,6.41,1.27,100.0,strong_bull=144; mild_bull=9,mainstream_overheated=153,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+4,D+1_open,10.0,648,147,22.69,0.6,187,70,4.07,6.79,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+4,D+1_open,10.0,1817,405,22.29,1.64,276,151,4.56,6.8,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,60,13,21.67,0.05,28,10,5.49,6.27,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+4,D+1_open,10.0,813,169,20.79,0.68,229,83,3.89,6.37,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+4,D+1_open,10.0,14368,2595,18.06,10.5,1708,780,3.2,5.71,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+4,D+1_open,10.0,12170,2165,17.79,8.76,1663,695,3.16,5.64,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+4,D+1_open,10.0,317,50,15.77,0.2,92,28,3.48,5.59,0.75,100.0,strong_bull=236; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=232; mainstream_overheated=61; mainstream_supported=21; non_mainstream=3,ok_initial_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+4,D+1_open,10.0,634,73,11.51,0.3,98,28,2.56,4.44,0.52,21.45,strong_bull=534; mild_bull=100,mainstream_supported=634,provisional_latest_theme_label
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+4,D+1_open,10.0,7,0,0.0,0.0,2,0,2.43,2.17,-0.56,100.0,strong_bull=5; mild_bull=1; range_or_unclear=1,non_mainstream=7,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,141,51,36.17,0.17,48,23,5.77,8.49,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+5,D+1_open,10.0,127,42,33.07,0.14,48,22,5.42,7.72,1.33,100.0,strong_bull=120; mild_bull=7,mainstream_overheated=127,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,406,127,31.28,0.41,140,65,6.26,8.47,1.04,47.54,strong_bull=398; mild_bull=8,mainstream_overheated=406,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,173,54,31.21,0.18,58,25,5.29,7.88,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,173,54,31.21,0.18,58,25,5.29,7.88,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,186,56,30.11,0.18,63,26,5.26,7.77,1.17,100.0,strong_bull=156; range_or_unclear=20; mild_bull=9; weak_or_correction=1,mainstream_overheated=186,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+5,D+1_open,10.0,153,44,28.76,0.14,58,23,5.11,7.27,1.27,100.0,strong_bull=144; mild_bull=9,mainstream_overheated=153,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1296,370,28.55,1.21,273,154,5.2,8.0,0.82,22.22,strong_bull=1192; mild_bull=104,mainstream_overheated=1296,provisional_latest_theme_label
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+5,D+1_open,10.0,631,179,28.37,0.58,170,87,5.33,8.02,0.77,10.14,strong_bull=508; mild_bull=123,mainstream_overheated=631,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+5,D+1_open,10.0,2984,841,28.18,2.75,317,215,5.22,7.99,0.77,16.66,strong_bull=2516; mild_bull=468,mainstream_overheated=2984,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1719,483,28.1,1.58,291,170,5.41,8.18,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+5,D+1_open,10.0,648,180,27.78,0.59,187,78,4.48,7.9,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,60,16,26.67,0.05,28,11,5.85,6.94,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+5,D+1_open,10.0,1817,484,26.64,1.58,276,157,5.11,7.77,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,39,10,25.64,0.03,23,9,6.18,7.28,1.2,100.0,strong_bull=36; mild_bull=2; range_or_unclear=1,mainstream_overheated=39,insufficient_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+5,D+1_open,10.0,813,205,25.22,0.67,229,91,4.24,7.33,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+5,D+1_open,10.0,317,68,21.45,0.22,92,34,3.69,6.58,0.75,100.0,strong_bull=236; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=232; mainstream_overheated=61; mainstream_supported=21; non_mainstream=3,ok_initial_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+5,D+1_open,10.0,14368,3058,21.28,9.99,1708,822,3.58,6.54,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+5,D+1_open,10.0,12170,2555,20.99,8.35,1663,745,3.54,6.46,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+5,D+1_open,10.0,634,86,13.56,0.28,98,29,2.74,4.95,0.52,21.45,strong_bull=534; mild_bull=100,mainstream_supported=634,provisional_latest_theme_label
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+5,D+1_open,10.0,7,0,0.0,0.0,2,0,2.43,2.17,-0.56,100.0,strong_bull=5; mild_bull=1; range_or_unclear=1,non_mainstream=7,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,141,57,40.43,0.16,48,24,6.3,9.45,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+6,D+1_open,10.0,127,48,37.8,0.13,48,23,6.12,8.71,1.33,100.0,strong_bull=120; mild_bull=7,mainstream_overheated=127,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,173,64,36.99,0.18,58,28,6.12,8.85,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,173,64,36.99,0.18,58,28,6.12,8.85,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,186,68,36.56,0.19,63,30,5.98,8.74,1.17,100.0,strong_bull=156; range_or_unclear=20; mild_bull=9; weak_or_correction=1,mainstream_overheated=186,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+6,D+1_open,10.0,406,146,35.96,0.41,140,70,6.9,9.45,1.04,47.54,strong_bull=398; mild_bull=8,mainstream_overheated=406,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+6,D+1_open,10.0,153,53,34.64,0.15,58,26,5.74,8.23,1.27,100.0,strong_bull=144; mild_bull=9,mainstream_overheated=153,provisional_latest_theme_label
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,39,13,33.33,0.04,23,10,6.18,8.26,1.2,100.0,strong_bull=36; mild_bull=2; range_or_unclear=1,mainstream_overheated=39,insufficient_sample
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+6,D+1_open,10.0,60,19,31.67,0.05,28,12,5.85,7.84,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+6,D+1_open,10.0,1719,536,31.18,1.49,291,179,6.03,9.23,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+6,D+1_open,10.0,2984,929,31.13,2.59,317,223,5.88,9.0,0.77,16.66,strong_bull=2516; mild_bull=468,mainstream_overheated=2984,provisional_latest_theme_label
