stock_id,stock_name,tdcc_weeks_used,tdcc_history_dates,tdcc_400_change_sum,tdcc_1000_change_sum,tdcc_400_up_weeks,tdcc_1000_up_weeks,tdcc_accumulation_signal,tdcc_accumulation_note
1101,台泥,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1102,亞泥,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1103,嘉泥,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1104,環泥,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1108,幸福,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1109,信大,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1110,東泥,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1201,味全,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1203,味王,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1210,大成,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1213,大飲,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1215,卜蜂,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1216,統一,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1217,愛之味,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1218,泰山,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1219,福壽,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1220,台榮,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1225,福懋油,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1227,佳格,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1229,聯華,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1231,聯華食,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1232,大統益,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1233,天仁,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1234,黑松,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1235,興泰,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1236,宏亞,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1240,茂生農經,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1256,鮮活果汁-KY,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1259,安心,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1264,德麥,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1268,漢來美食,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1294,漢田生技,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1295,生合,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1301,台塑,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1303,南亞,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1304,台聚,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1305,華夏,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1307,三芳,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1308,亞聚,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1309,台達化,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1310,台苯,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1312,國喬,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1313,聯成,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1314,中石化,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1315,達新,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1316,上曜,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
1319,東陽,3,"20260430,20260508,20260515",0.0,0.0,0,0,neutral,近幾週TDCC無明顯累積
