rank,signal_date,stock_id,stock_name,theme,theme_mainstream_status,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_four_threshold_weekly_increase_sum,tdcc_weighted_weekly_increase_score,tdcc_effective_increase_count,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_effective_streak_weeks,tdcc_high_pair_streak_bonus,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,tdcc_phase_group_zh,risk_bucket,risk_bucket_zh,price_return_20d,distance_ma20_pct,relative_return_vs_benchmark,ranking_note_zh
1,20260618,2478,大毅,被動元件,mainstream_leader,64.17,74.17,4.180000000000007,4.369999999999997,4.789999999999999,4.219999999999999,17.560000000000002,44.17,4,15.0,5.0,12969.17,0.0,3,10.0,4,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,101.72413793103448,48.14814814814816,68.45724768249532,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 3 週；TDCC 後股價過熱
2,20260618,2243,宏旭-KY,汽車工業,mainstream_leader,58.17,63.17,3.440000000000005,2.3400000000000034,4.229999999999997,4.340000000000003,14.350000000000009,38.17,4,15.0,5.0,2181.84,0.0,2,5.0,6,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,135.0,63.866877971473855,72.64305176037362,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 後股價過熱
3,20260618,2241,艾姆勒,汽車工業,mainstream_leader,55.78,60.78,1.8699999999999974,1.490000000000002,3.8699999999999974,4.829999999999998,12.059999999999995,35.78,4,15.0,5.0,5151.08,0.0,2,5.0,2,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,37.127371273712754,30.361973463867066,55.41828664353427,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 後股價過熱
4,20260618,3624,光頡,被動元件,mainstream_overheated,51.42,56.42,1.8000000000000043,3.230000000000004,3.719999999999999,3.0,11.750000000000007,31.42,4,15.0,5.0,11630.51,0.0,2,5.0,2,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,75.40983606557377,40.85125054848617,53.49100500874309,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 後股價過熱
5,20260618,3550,聯穎,電子零組件業,mainstream_leader,43.99,53.99,3.4200000000000017,3.729999999999997,2.3700000000000045,1.5,11.020000000000003,23.99,4,15.0,5.0,7226.73,0.0,3,10.0,3,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,78.22966507177034,48.30297601274012,53.80778858209676,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 3 週；TDCC 後股價過熱
6,20260618,6182,合晶,半導體業,mainstream_leader,48.31,53.31,3.259999999999998,2.8200000000000003,2.9499999999999957,2.6400000000000006,11.669999999999995,28.31,4,15.0,5.0,18109.4,0.0,2,5.0,5,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,88.67924528301887,31.427632659766715,30.431742560759155,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 後股價過熱
7,20260618,8088,品安,半導體業,mainstream_leader,36.95,51.95,5.359999999999999,2.8900000000000006,0.8300000000000018,0.8300000000000018,9.910000000000004,16.95,4,15.0,5.0,2227.7,0.0,4,15.0,6,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,27.911275415896487,11.892634812838555,0.7854051459526001,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 4 週；價格資料不足
8,20260618,3715,定穎投控,電子零組件業,mainstream_leader,43.3,48.3,2.210000000000001,2.080000000000002,2.0700000000000003,2.6799999999999997,9.040000000000003,23.3,4,15.0,5.0,11005.69,0.0,2,5.0,2,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,9.146341463414643,3.4084344309647685,4.192589263990754,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；價格資料不足
9,20260618,2484,希華,被動元件,mainstream_leader,38.9,43.9,1.1900000000000013,1.1899999999999977,2.509999999999998,1.9499999999999993,6.839999999999996,18.9,4,15.0,5.0,43011.83,0.0,2,5.0,2,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,58.751393534002226,21.62623846942262,38.432909815637785,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 後股價過熱
10,20260618,2375,凱美,被動元件,mainstream_overheated,37.24,42.24,2.270000000000003,3.129999999999999,1.2100000000000009,1.2700000000000031,7.880000000000006,17.24,4,15.0,5.0,17439.71,0.0,2,5.0,2,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,78.77551020408163,34.314627414903384,49.30991225929782,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 後股價過熱
