signal_date,code,name,primary_theme,secondary_theme,abm_rank,abm_score,setup_type,tdcc_price_phase,priority_group,all_threshold_streak_weeks,tdcc_400_streak_weeks,tdcc_600_streak_weeks,tdcc_800_streak_weeks,tdcc_1000_streak_weeks,tdcc_800_ratio_20w_high,tdcc_1000_ratio_20w_high,price_return_5d,price_return_10d,price_return_20d,price_return_60d,distance_ma20_pct,distance_ma60_pct,distance_20d_high_pct,distance_60d_high_pct,price_range_20d_pct,price_range_60d_pct,bollinger_bandwidth_20d,atr_pct_14d,volume_ratio_5d,volume_ratio_20d,relative_ret_2w,turnover_ratio,is_price_not_reacted,is_compression,is_volume_healthy,is_volume_explosive,theme_breadth_score,abm_reason,created_at,updated_at
20260703,1210,大成,other,,1,100,quiet_accumulation,insufficient_price_context,A,4,5,5,4,4,1.0,1.0,5.072463768115942,6.032906764168189,7.011070110701101,6.422018348623859,4.730949801372342,7.516915376772637,-1.6949152542372836,-1.6949152542372836,10.902255639097746,14.341085271317834,7.044227093280596,1.7241379310344818,1.1825,1.1824590107972883,5.354076155454557,1.1824590107972883,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:13 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,1413,宏洲,other,,2,100,watch_only,tdcc_leading_price,B,3,3,3,3,3,1.0,1.0,2.685284640171859,1.271186440677985,-1.2396694214875992,-3.726082578046319,1.3893307879944805,0.12358350264971563,-1.6460905349794275,-3.726082578046319,7.4033149171270685,9.723756906077341,3.61776330409935,1.9202032277346075,4.1922,4.192195621688345,0.5923558319643529,4.192195621688345,True,True,False,True,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:13 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,1437,勤益控,other,,3,100,quiet_accumulation,insufficient_price_context,A,3,3,4,7,7,1.0,1.0,3.322259136212624,5.245346869712364,6.3247863247863245,1.8003273322422242,4.643337819650073,5.6385869565217295,-0.16051364365969878,-0.16051364365969878,10.460992907801426,11.250000000000004,8.50210131286446,1.0105649977032636,1.9335,1.9335327422880642,4.566516260998732,1.9335327422880642,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:13 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,1616,億泰,other,,4,100,quiet_accumulation,insufficient_price_context,A,3,3,4,3,3,0.9874299303550196,0.9870402802101576,7.339449541284404,5.643340857787815,-6.212424849699405,-1.0570824524312905,4.545962247291402,4.305034278021935,-3.901437371663252,-8.235294117647063,14.85849056603774,26.237623762376238,7.255078864233158,2.442002442002442,1.9427,1.942677598316648,4.964510249074183,1.942677598316648,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:14 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,1737,臺鹽,other,,5,100,quiet_accumulation,tdcc_leading_price,A,7,7,7,7,7,1.0,1.0,0.9448818897637601,0.7861635220125729,1.1041009463722329,0.15624999999999112,0.825796303578441,1.0005514850705,-0.15576323987540608,-0.7739938080495334,2.2292993630573354,3.525641025641013,1.4843523693094085,0.7243146868731923,1.1082,1.1081673828224434,0.1073329132989409,1.1081673828224434,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:14 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,2008,高興昌,other,,6,100,quiet_accumulation,tdcc_leading_price,A,4,4,7,7,7,1.0,1.0,2.4958402662229595,0.0,2.6666666666666616,9.608540925266906,1.2574997945261845,7.220686630137374,-2.2222222222222254,-2.2222222222222254,8.62068965517242,16.666666666666675,7.804001763053423,2.0408163265306123,0.5168,0.5168077560832414,-0.678830608713632,0.5168077560832414,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:14 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,2017,官田鋼,other,,7,100,quiet_accumulation,tdcc_leading_price,A,3,3,3,7,5,1.0,1.0,5.999999999999983,2.2508038585209,-3.2454361054766734,-3.3434650455927084,2.602710260271013,4.838621053441305,-3.2454361054766734,-6.009852216748779,10.414333706606937,20.40332147093713,8.539911422634182,2.2237196765498686,1.2883,1.288337633026588,1.571973249807268,1.288337633026588,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:14 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,2033,佳大,other,,8,100,quiet_accumulation,insufficient_price_context,A,3,4,3,3,3,0.9952654232424677,1.0,2.1604938271605034,5.0793650793650835,3.7617554858934366,1.846153846153853,3.16347202742715,4.625655095680314,-2.6470588235294024,-4.610951008645536,12.58278145695364,19.243986254295532,10.424856825130131,2.6974536037980155,2.1922,2.192238176772629,4.4005344706514515,2.192238176772629,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:14 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,2107,厚生,other,,9,100,quiet_accumulation,tdcc_leading_price,A,5,7,7,7,5,1.0,1.0,1.5748031496063186,1.5748031496063186,-0.9596928982725572,1.5748031496063186,0.5553931598947681,0.4641599950157227,-2.824858757062143,-2.824858757062143,5.988023952095811,7.92682926829269,4.712925942447011,1.3981173864894785,1.273,1.2729705342418869,0.8959725408926866,1.2729705342418869,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:14 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,2114,鑫永銓,other,,10,100,quiet_accumulation,tdcc_leading_price,A,4,7,7,5,4,1.0,1.0,2.259887005649719,1.6853932584269593,-0.9846827133479286,3.192702394526803,0.9762900976290068,1.1436496875723012,-3.620873269435576,-5.036726128016788,6.704545454545463,9.540229885057471,6.356174198333979,1.3417521704814532,1.514,1.5139631151552078,1.0065626497133273,1.5139631151552078,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:14 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,2845,遠東銀,other,,11,100,quiet_accumulation,tdcc_leading_price,A,5,5,5,5,5,1.0,1.0,1.1538461538461497,1.5444015444015635,4.7808764940239,3.9525691699604737,1.7801857585139302,5.3474864810735045,-2.2304832713754608,-2.2304832713754608,11.618257261410768,13.502109704641342,7.422188782405207,2.1998913633894635,0.5429,0.5429217168977732,0.8655709356879315,0.5429217168977732,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:16 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,3045,台灣大,other,,12,100,quiet_accumulation,tdcc_price_divergence,A,5,5,5,5,5,1.0,1.0,-1.6877637130801704,-2.1008403361344574,0.4310344827586299,6.392694063926951,-1.5007398013105133,2.0586946999561873,-4.115226337448563,-4.115226337448563,6.578947368421062,11.46788990825689,4.82898691667803,1.900674432863274,1.4314,1.4314345760173772,-2.7796709448480894,1.4314345760173772,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:16 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,3712,永崴投控,other,,13,100,quiet_accumulation,insufficient_price_context,A,3,4,3,3,3,1.0,1.0,9.22190201729105,7.365439093484416,2.43243243243243,6.760563380281681,5.073468256168567,2.7841208025297437,-0.2631578947368429,-19.532908704883233,13.095238095238093,60.750853242320815,9.081463649090473,3.467772333207691,1.169,1.1689649035344174,6.686608484770784,1.1689649035344174,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:17 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,4155,訊映,other,,14,100,quiet_accumulation,tdcc_leading_price,A,3,3,7,3,7,1.0,1.0,7.26643598615917,1.3071895424836555,2.6490066225165476,17.870722433460063,2.5301802546717322,8.886547242711629,-2.208201892744477,-2.208201892744477,10.069444444444443,23.34630350194553,7.287720466515498,2.718894009216589,0.9548,0.9547595162307003,0.6283589337700235,0.9547595162307003,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:17 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,4538,大詠城,other,,15,100,quiet_accumulation,tdcc_price_divergence,A,7,7,7,7,7,1.0,1.0,-1.0582010582010581,-0.7957559681697757,1.6304347826086918,-1.0582010582010581,0.1204658010975912,0.9719222462202914,-6.265664160401007,-6.265664160401007,11.45251396648046,16.66666666666665,5.308473332335885,2.043544690603512,0.3914,0.391425908667288,-0.4199674834026279,0.391425908667288,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:18 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,5203,訊連,other,,16,100,quiet_accumulation,tdcc_leading_price,A,3,4,4,4,3,1.0,1.0,4.029850746268671,1.0144927536231974,-3.194444444444444,10.459587955625981,1.544289044289049,5.247263118157819,-4.9113233287858,-6.818181818181812,12.596006144393247,22.22222222222221,6.891049146836899,2.3262963722074184,0.7278,0.7277678472959442,0.33566214490956536,0.7277678472959442,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:18 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,5438,東友,other,,17,100,quiet_accumulation,tdcc_leading_price,A,3,3,3,3,3,1.0,1.0,3.16622691292876,1.822916666666674,-1.0126582278480956,0.7731958762886793,2.6381414883843046,2.302459445316596,-2.977667493796521,-6.904761904761902,10.410958904109592,15.384615384615397,8.17228382908188,3.5074899525027394,2.2017,2.201729106628242,2.198705151433822,2.201729106628242,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:19 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,5533,皇鼎,other,,18,100,quiet_accumulation,tdcc_leading_price,A,3,7,3,3,5,0.9978156996587031,1.0,2.1582733812949506,1.4285714285714235,1.0676156583629748,-1.730103806228378,1.4466869083764822,0.5608747379751922,-1.0452961672473893,-4.377104377104379,5.128205128205132,8.791208791208781,3.227577102137614,1.106639839034205,0.7528,0.7528214179930002,0.7497408198577915,0.7528214179930002,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:19 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,5880,合庫金,other,,19,100,quiet_accumulation,tdcc_price_divergence,A,5,5,5,5,5,1.0,1.0,0.0,-0.20202020202020332,4.219409282700415,3.563941299790341,1.374923045351939,4.909064652865669,-1.5936254980079778,-1.5936254980079778,9.606986899563342,11.061946902654874,8.801019451687528,1.648351648351648,0.438,0.43795205865637243,-0.8808508107338353,0.43795205865637243,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:19 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,6283,淳安,other,,20,100,quiet_accumulation,tdcc_leading_price,A,3,7,3,7,7,1.0,1.0,4.3196544276457916,0.6249999999999867,-4.545454545454552,16.94915254237288,0.9193480986209757,1.7519023181737703,-6.213592233009713,-9.380863039399623,14.190687361419062,32.91770573566084,10.496375928252778,3.4161490683229814,0.2772,0.27716666319233835,-0.05383060871364531,0.27716666319233835,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:20 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,6527,明達醫,other,,21,100,quiet_accumulation,tdcc_leading_price,A,3,3,7,7,7,1.0,1.0,1.1080332409972193,1.671309192200554,3.1073446327683607,4.285714285714293,1.2412454060051203,3.358002387145098,-0.6802721088435382,-0.6802721088435382,5.000000000000004,10.859728506787336,3.977901072010654,0.9295499021526407,0.9483,0.9482758620689655,2.047097676967702,0.9482758620689655,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:20 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,5278,尚凡*,other,,22,99,quiet_accumulation,tdcc_leading_price,A,3,3,3,3,3,1.0,1.0,0.0,2.2774327122153215,4.0000000000000036,2.9166666666666563,1.7927055429631134,3.945291951604424,-4.633204633204635,-4.633204633204635,15.625,17.46031746031744,9.240771821802616,3.5858877964141134,0.8319,0.8318780758850611,2.6532211969824693,0.8318780758850611,True,False,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；同族群多檔同步,2026-07-11 15:42:19 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,5523,豐謙,other,,23,99,quiet_accumulation,tdcc_leading_price,A,5,5,7,7,7,1.0,1.0,0.0,-0.16420361247947435,-0.16420361247947435,3.401360544217691,-0.04931777083676536,0.05200071089579428,-0.16420361247947435,-8.018154311649017,1.1627906976744207,12.798634812286668,0.48179851853694666,0.493421052631576,0.8042,0.8041958041958042,0.21158487228767342,0.8041958041958042,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:19 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,1102,亞泥,other,,24,98,quiet_accumulation,tdcc_leading_price,A,3,3,3,3,3,0.9981294425738871,1.0,1.9580419580419672,1.8156424581005748,6.113537117903944,2.3876404494381998,3.133620994553299,4.175002572222297,-1.7520215633423097,-1.7520215633423097,10.746268656716417,14.506172839506192,9.106736133544976,2.2045855379188724,0.8504,0.8503773493859692,1.1368118493869428,0.8503773493859692,True,True,True,False,10,四級距連續三週增加；高級距同步改善；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:13 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,1103,嘉泥,other,,25,97,quiet_accumulation,tdcc_price_divergence,A,2,6,4,2,2,1.0,1.0,1.8656716417910557,-1.0869565217391353,0.0,-1.7985611510791366,0.7751937984496138,1.3114827102491677,-1.7985611510791366,-2.8469750889679735,6.106870229007644,9.338521400778221,4.883115057954961,1.5175300889586585,1.7254,1.7253656451909627,-1.7657871304527673,1.7253656451909627,True,True,True,False,10,四級距連續兩週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:13 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,1457,宜進,other,,26,97,quiet_accumulation,tdcc_leading_price,A,2,2,4,4,4,1.0,1.0,4.62633451957295,2.7972027972027913,-5.4662379421221985,-3.60655737704918,1.8711018711018657,1.6421780466724156,-6.9620253164556996,-9.259259259259256,12.857142857142856,18.248175182481763,9.553942854724774,1.6520894071914471,1.3933,1.3932947475939468,2.1183721884891593,1.3932947475939468,True,True,True,False,10,四級距連續兩週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:13 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,4580,捷流閥業,other,,27,97,quiet_accumulation,tdcc_leading_price,A,2,2,2,2,2,1.0,1.0,2.6151930261519407,-0.12121212121211089,-1.6706443914081048,3.647798742138364,0.6842619745845546,1.1394140542053233,-2.715466351829987,-2.715466351829987,6.140350877192979,7.351077313054488,3.6726280983185484,1.4563106796116525,1.1257,1.125703564727955,0.2545763635550369,1.125703564727955,True,True,True,False,10,四級距連續兩週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:18 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,8049,晶采,other,,28,97,quiet_accumulation,tdcc_price_divergence,A,2,2,2,2,2,1.0,1.0,-2.67857142857143,-1.6245487364620947,0.18382352941177516,7.495069033530566,0.07344840249723372,3.3928015844709725,-7.470288624787768,-7.470288624787768,14.36893203883496,17.799999999999994,9.147046448723007,2.8571428571428545,1.3288,1.3288288288288288,-1.248760251694947,1.3288288288288288,True,True,True,False,10,四級距連續兩週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:21 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,8462,柏文,other,,29,97,quiet_accumulation,insufficient_price_context,A,2,2,2,2,2,0.9983697424193022,0.9983385944509056,8.088235294117641,5.755395683453246,4.255319148936176,3.5211267605633756,3.9420187378468974,3.3755274261603407,-0.3389830508474523,-3.289473684210531,9.259259259259256,12.592592592592599,10.262340161276489,2.0165208940719146,1.2205,1.2205184233497635,5.076565074739614,1.2205184233497635,True,True,True,False,10,四級距連續兩週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:21 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,2880,華南金,other,,30,96,quiet_accumulation,tdcc_price_divergence,A,3,5,3,3,3,1.0,1.0,2.0325203252032464,-1.8252933507170832,-0.13262599469496816,10.898379970544902,2.4977880623425985,9.140874344502524,-3.9540816326530726,-3.9540816326530726,18.787878787878796,32.432432432432435,13.766678778844538,3.2536520584329347,0.4816,0.4815695592536167,-2.504123959430715,0.4815695592536167,True,False,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；同族群多檔同步,2026-07-11 15:42:16 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,3073,天方能源,other,,31,96,quiet_accumulation,insufficient_price_context,A,4,4,4,4,4,1.0,1.0,4.872389791183296,6.60377358490567,-8.870967741935477,-12.572533849129597,5.2631578947368585,0.9866304425538042,-3.0042918454935563,-22.06896551724138,16.79197994987469,46.46464646464645,15.033880785215647,3.350189633375475,0.6445,0.6445012787723785,6.979562069672818,0.6445012787723785,True,False,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；同族群多檔同步,2026-07-11 15:42:16 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,3494,誠研,other,,32,96,quiet_accumulation,tdcc_price_divergence,A,3,3,3,3,3,1.0,1.0,0.2512562814070307,-0.8695652173913104,-1.724137931034464,1.7857142857143016,-0.6535947712418277,-0.03507541213608745,-4.316546762589923,-6.884480746791133,13.161465400271366,19.525801952580203,4.322809055060361,2.2466881489437895,0.6289,0.6288967855480685,-1.5483958261049424,0.6288967855480685,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:17 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,6606,建德工業,other,,33,96,quiet_accumulation,tdcc_price_divergence,A,3,6,3,4,4,1.0,0.9944097336402499,1.2170385395537497,-0.20000000000000018,-6.2030075187969995,3.9583333333333304,-1.6167192429022093,-0.392441802437693,-6.2030075187969995,-8.608058608058611,9.4650205761317,16.170212765957448,10.61967351484141,1.9038076152304577,0.3641,0.3641315626352133,-0.8788306087136322,0.3641315626352133,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:20 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,8084,巨虹,other,,34,96,quiet_accumulation,insufficient_price_context,A,4,7,5,5,4,1.0,1.0,1.2422360248447228,3.601694915254239,-2.004008016032066,-1.6096579476861272,1.1689252094755354,5.551034680745892,-7.386363636363635,-7.386363636363635,19.052987598647107,27.2289156626506,14.482010340776604,4.601226993865031,0.2923,0.292259083728278,3.9774834000213866,0.292259083728278,True,False,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；同族群多檔同步,2026-07-11 15:42:21 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
20260703,8342,益張,other,,35,96,quiet_accumulation,tdcc_price_divergence,A,7,7,7,7,7,1.0,1.0,1.1363636363636465,-1.9823788546255439,-0.5586592178770999,5.700712589073631,-0.4919499105545566,-0.30245323176878447,-2.732240437158473,-6.315789473684208,13.664596273291929,18.012422360248447,5.9018294998221155,0.6099518459069017,0.0469,0.046938550396748095,-1.606590369858396,0.046938550396748095,True,True,False,False,10,四級距連續三週增加；高級距同步改善；20日股價尚未明顯反應；20日平台壓縮；同族群多檔同步,2026-07-11 15:42:21 Asia/Taipei,2026-07-11 15:43:24 Asia/Taipei
