date,ticker,name,market,close,volume_lots,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,industry,is_mainstream,tdcc_date,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge,stage_order
20260515,6155,鈞寶,listed,49.3,6675.0,W底右側攻擊增強・預備發動,預備發動型,136,20260309,41.7,20260318,52.3,20260407,41.2,-1.2,25.42,19.66,-5.74,15.93,19.37,1667.0,3953.0,2.37,4,11,6.58,電子零組件業,True,20260515,59.01,-2.14,52.71,-0.5,大戶籌碼減少,1
20260515,4927,泰鼎-KY,listed,48.4,13249.0,W底右側攻擊增強・預備發動,預備發動型,136,20260310,41.0,20260318,53.8,20260408,40.25,-1.83,31.22,20.25,-10.04,8.33,17.19,12149.0,24355.0,2.0,4,13,10.54,電子零組件業,True,20260515,28.55,-4.03,22.36,-4.17,大戶籌碼減少,1
20260515,1305,華夏,listed,12.5,3002.0,W底右側攻擊增強・預備發動,預備發動型,130,20260122,11.55,20260128,13.3,20260206,11.25,-2.6,15.15,11.11,-6.02,6.72,8.7,6395.0,14859.0,2.32,2,20,14.71,塑膠工業,False,20260515,50.83,0.6,47.54,0.03,中大戶/超大戶同步增加,1
20260515,6282,康舒,listed,49.6,20295.0,W底右側攻擊增強・預備發動,預備發動型,124,20260309,41.8,20260318,55.0,20260407,42.5,1.67,31.58,16.71,-9.82,22.51,16.16,22917.0,34376.0,1.5,4,12,4.81,電子零組件業,True,20260515,45.48,1.41,41.87,1.84,中大戶/超大戶同步增加,1
20260515,3701,大眾控,listed,55.6,1935.0,W底右側攻擊增強・預備發動,預備發動型,122,20260106,49.0,20260116,62.5,20260126,51.0,4.08,27.55,9.02,-11.04,14.69,6.31,4070.0,8927.0,2.19,5,21,6.45,電腦及週邊設備業,True,20260515,73.72,-0.48,70.67,-0.51,大戶籌碼減少,1
20260515,3041,揚智,listed,23.15,1486.0,W底右側攻擊增強・預備發動,預備發動型,120,20260309,21.9,20260320,24.6,20260331,21.5,-1.83,12.33,7.67,-5.89,5.63,7.67,1015.0,1729.0,1.7,3,12,4.86,半導體業,True,20260515,22.95,0.08,20.52,-0.12,中大戶增加,1
20260515,1905,華紙,listed,12.0,5607.0,W底右側攻擊增強・預備發動,預備發動型,118,20260119,12.15,20260224,13.25,20260313,11.5,-5.35,9.05,4.35,-9.43,0.79,4.35,2835.0,8712.0,3.07,5,13,5.62,造紙工業,False,20260515,71.81,-0.22,69.11,-0.31,大戶籌碼減少,1
20260515,6962,奕力-KY,listed,36.1,3967.0,W底右側攻擊增強・預備發動,預備發動型,118,20260109,37.15,20260126,41.25,20260420,33.75,-9.15,11.04,6.96,-12.48,6.67,6.8,2658.0,7740.0,2.91,6,7,2.94,半導體業,True,20260515,52.77,-0.17,47.32,0.05,超大戶增加,1
20260515,8131,福懋科,listed,65.2,5123.0,W底右側攻擊增強・預備發動,預備發動型,118,20260309,57.1,20260318,71.2,20260424,56.0,-1.93,24.69,16.43,-8.43,16.24,12.61,5257.0,9732.0,1.85,4,8,1.74,半導體業,True,20260515,71.46,-0.22,69.37,-0.13,大戶籌碼減少,1
20260515,2449,京元電子,listed,299.5,36263.0,W底右側攻擊增強・預備發動,預備發動型,118,20260309,256.5,20260319,328.0,20260402,255.5,-0.39,27.88,17.22,-8.69,16.18,15.64,22683.0,35649.0,1.57,5,10,1.74,半導體業,True,20260515,64.06,-5.64,56.9,-5.6,大戶籌碼減少,1
