date,stock_id,stock_name,market,open,high,low,close,volume,prev20_volume_avg,volume_ratio_vs_prev20,volume_ratio_vs_prev5,prev_day_volume_ratio_vs_prev20,signal_return_1d_pct,intraday_return_pct,next_open,mature_d1,next_open_to_d1_close_return_pct,next_open_to_d1_max_high_return_pct,next_open_to_d1_max_low_return_pct,mature_d5,next_open_to_d5_close_return_pct,next_open_to_d5_max_high_return_pct,next_open_to_d5_max_low_return_pct,mature_d10,next_open_to_d10_close_return_pct,next_open_to_d10_max_high_return_pct,next_open_to_d10_max_low_return_pct,mature_d20,next_open_to_d20_close_return_pct,next_open_to_d20_max_high_return_pct,next_open_to_d20_max_low_return_pct
20260527,1530,亞崴,TWSE,34.5,35.1,32.1,32.7,2063286,89756.15,22.987683852304272,8.682781942990268,5.715251823969723,2.3474178403755985,-5.217391304347818,31.85,True,12.40188383045524,12.872841444270012,-0.15698587127158659,False,,,,False,,,,False,,,
20260527,9105,泰金寶-DR,TWSE,8.97,8.97,7.95,8.56,339888622,27228487.7,12.482831428056139,6.612681115025242,1.35119858309281,4.90196078431373,-4.570791527313267,8.9,True,-4.382022471910119,3.93258426966292,-5.61797752808989,False,,,,False,,,,False,,,
20260527,2453,凌群,TWSE,65.6,65.6,61.6,62.5,8958771,725656.4,12.345747932492568,5.286583336480541,7.473379963299434,1.4610389610389518,-4.7256097560975485,62.0,True,-3.0645161290322576,0.0,-3.3870967741935543,False,,,,False,,,,False,,,
20260527,2438,翔耀,TWSE,23.5,25.3,23.5,25.3,1833017,209314.8,8.75722595822178,9.129161748519575,1.9051877841413987,10.000000000000009,7.659574468085117,27.7,True,0.3610108303249149,0.3610108303249149,-3.2490974729241784,False,,,,False,,,,False,,,
20260527,3257,虹冠電,TWSE,63.9,65.7,60.8,61.1,4795036,684870.3,7.001378217160242,3.2669318800421596,4.832475579682751,2.1739130434782705,-4.381846635367759,59.1,True,10.998307952622666,13.705583756345185,-0.8460236886632777,False,,,,False,,,,False,,,
20260527,1503,士電,TWSE,209.0,223.0,209.0,221.0,20890394,3041483.7,6.868487902795599,5.949831533797197,2.2868674259211055,8.866995073891616,5.741626794258381,221.5,True,-2.483069977426633,7.900677200902928,-3.3860045146726914,False,,,,False,,,,False,,,
20260527,1409,新纖,TWSE,18.2,19.4,18.2,18.9,57381079,8377246.05,6.849635149489252,6.073978116857035,1.8766454878092067,7.082152974504252,3.8461538461538325,19.35,True,7.235142118863047,7.235142118863047,-0.7751937984496249,False,,,,False,,,,False,,,
20260527,1340,勝悅-KY,TWSE,5.3,5.58,5.16,5.52,1429103,218324.3,6.545780749096642,8.069660601775988,0.701575591906169,4.150943396226414,4.150943396226414,5.57,True,-2.6929982046678735,0.8976660682226134,-3.4111310592459643,False,,,,False,,,,False,,,
20260527,5520,力泰,TPEx,82.2,82.8,82.2,82.2,82000,12700.0,6.456692913385827,2.3563218390804597,6.456692913385827,0.0,0.0,82.5,True,-0.12121212121211089,0.0,-0.3636363636363549,False,,,,False,,,,False,,,
20260527,5274,信驊,TPEx,18065.0,18450.0,17510.0,18230.0,18143000,2901500.0,6.252972600379114,1.7085412939071476,6.040668619679476,5.742459396751731,0.913368391918068,17825.0,True,0.056100981767182034,6.591865357643756,-1.8232819074333828,False,,,,False,,,,False,,,
20260527,2516,新建,TWSE,12.8,14.1,12.8,13.6,1851079,314897.6,5.878352200842433,5.7174701876460965,1.7792926970545346,5.836575875486383,6.25,13.1,True,-3.435114503816794,3.435114503816794,-3.435114503816794,False,,,,False,,,,False,,,
20260527,1810,和成,TWSE,18.85,20.15,18.6,19.9,11157795,1898934.05,5.875820173954962,7.4495533524140125,0.5811012762660188,6.133333333333324,5.570291777188308,20.6,True,-2.912621359223311,0.7281553398058138,-3.8834951456310662,False,,,,False,,,,False,,,
20260527,8466,美吉吉-KY,TWSE,16.85,17.3,16.15,16.5,952009,165947.7,5.736801413939451,3.823482870798024,1.8563438962998582,3.4482758620689724,-2.077151335311578,16.75,True,-4.477611940298509,0.29850746268658135,-6.8656716417910495,False,,,,False,,,,False,,,
20260527,2434,統懋,TWSE,30.7,33.2,30.4,33.2,268767,49008.55,5.484083899646082,6.126162472647702,0.9362243934986854,9.933774834437092,8.143322475570036,34.85,True,4.734576757532283,4.734576757532283,-0.717360114777621,False,,,,False,,,,False,,,
20260527,2369,菱生,TWSE,38.85,41.0,36.95,40.15,90986427,16655207.55,5.462941649142042,3.603085288769936,3.5004637333384654,6.49867374005304,3.346203346203347,40.0,True,-0.6249999999999978,5.000000000000004,-3.125,False,,,,False,,,,False,,,
20260527,4952,凌通,TWSE,55.8,58.4,54.7,55.8,6669911,1257699.15,5.303264298143161,3.368181941213685,1.5460652891432742,1.4545454545454417,0.0,54.5,True,-2.2018348623853212,1.83486238532109,-4.036697247706423,False,,,,False,,,,False,,,
20260527,6698,旭暉應材,TWSE,34.3,37.8,33.6,36.55,2472486,484251.95,5.10578429266005,4.291294549877535,0.9305135477513307,6.095791001451367,6.559766763848396,36.45,True,-0.6858710562414272,2.3319615912208436,-4.663923182441709,False,,,,False,,,,False,,,
20260527,1315,達新,TWSE,61.0,62.0,61.0,62.0,130171,25795.0,5.046365574723784,7.36436257481981,0.5816631130063966,2.1416803953871355,1.6393442622950838,62.0,True,-0.6451612903225823,1.6129032258064502,-0.8064516129032251,False,,,,False,,,,False,,,
20260527,3321,同泰,TWSE,18.45,19.3,17.85,19.05,2174519,436116.95,4.986091460100324,3.724005402115429,3.723443906502602,4.670329670329676,3.252032520325221,19.1,True,1.8324607329842868,7.329842931937169,0.0,False,,,,False,,,,False,,,
20260527,7734,印能科技,TPEx,3790.0,3955.0,3600.0,3840.0,3783000,785400.0,4.8166539343009935,1.678349600709849,4.572192513368984,6.371191135734078,1.3192612137203241,3885.0,True,-5.534105534105538,7.078507078507079,-9.009009009009006,False,,,,False,,,,False,,,
20260527,2321,東訊,TWSE,14.3,15.5,14.25,15.0,52639,10976.35,4.795674336186437,4.1324383733710155,2.183239419296943,4.895104895104896,4.895104895104896,15.0,True,-0.33333333333334103,0.0,-0.33333333333334103,False,,,,False,,,,False,,,
20260527,6855,數泓科,TPEx,107.5,119.5,107.5,111.0,114000,24150.0,4.720496894409938,1.6473988439306357,4.513457556935818,0.0,3.2558139534883734,108.0,True,0.0,0.0,-1.851851851851849,False,,,,False,,,,False,,,
20260527,8110,華東,TWSE,60.0,60.6,57.1,60.6,68790601,14886370.7,4.621045813402994,4.371206126157231,2.9343469862671094,9.981851179673317,1.0000000000000009,61.9,True,0.1615508885298933,6.623586429725359,-2.584814216478193,False,,,,False,,,,False,,,
20260527,1418,東華,TWSE,17.35,18.8,17.3,18.8,139636,30629.15,4.558925076275378,4.360000749377081,1.9474911971112485,9.941520467836252,8.35734870317002,19.0,True,-5.263157894736848,0.0,-5.263157894736848,False,,,,False,,,,False,,,
20260527,8104,錸寶,TWSE,35.3,38.25,34.35,37.25,3914622,907111.8,4.315479084276051,4.115265039198137,1.2800759509467299,6.580829756795414,5.524079320113318,40.95,True,0.0,0.0,-0.8547008547008628,False,,,,False,,,,False,,,
20260527,4305,世坤,TPEx,44.15,44.25,44.1,44.1,44000,10350.0,4.251207729468599,1.5714285714285714,4.251207729468599,0.2272727272727204,-0.11325028312569874,44.2,True,-0.4524886877828149,0.0,-0.4524886877828149,False,,,,False,,,,False,,,
20260527,2474,可成,TWSE,195.0,214.5,188.0,208.5,22629999,5334858.3,4.24191191732309,3.360056149614235,2.45297724215093,6.923076923076921,6.923076923076921,212.0,True,-10.14150943396226,0.2358490566037652,-10.377358490566035,False,,,,False,,,,False,,,
20260527,4419,皇家美食,TPEx,45.9,45.9,45.25,45.3,45000,10900.0,4.128440366972477,1.6304347826086956,4.128440366972477,0.11049723756906271,-1.3071895424836666,45.5,True,1.2087912087912045,2.19780219780219,0.0,False,,,,False,,,,False,,,
20260527,1264,德麥,TPEx,271.5,272.0,271.0,271.5,272000,66950.0,4.062733383121732,1.5795586527293843,4.062733383121732,0.1845018450184588,0.0,270.5,True,0.0,0.3696857670979714,0.0,False,,,,False,,,,False,,,
20260527,3528,安馳,TWSE,97.8,103.5,96.4,103.5,3687835,957051.0,3.853331745121211,3.2900777592211945,0.8904739663821468,9.639830508474567,5.828220858895716,112.5,True,0.8888888888888946,0.8888888888888946,-1.3333333333333308,False,,,,False,,,,False,,,
20260527,2937,集雅社,TPEx,48.95,48.95,47.8,47.85,48000,12750.0,3.764705882352941,1.643835616438356,3.6862745098039214,0.20942408376962707,-2.2471910112359605,47.95,True,1.2513034410844615,1.9812304483837195,-0.4171011470281649,False,,,,False,,,,False,,,
20260527,1513,中興電,TWSE,168.5,175.5,166.5,169.0,30847651,8247484.2,3.7402497842917963,2.4550545168659412,4.117944111975382,2.4242424242424176,0.29673590504450953,170.0,True,-2.6470588235294135,4.117647058823537,-2.941176470588236,False,,,,False,,,,False,,,
20260527,3617,碩天,TWSE,208.0,220.0,207.5,215.0,1171537,321825.85,3.6402824695405918,3.3780603423915743,1.0433033890845003,4.1162227602905554,3.3653846153846256,217.5,True,-2.758620689655178,0.0,-5.287356321839076,False,,,,False,,,,False,,,
20260527,5469,瀚宇博,TWSE,83.8,89.9,83.4,87.0,12693990,3531080.95,3.594930328629254,5.215667657756609,0.6832717896201161,4.693140794223827,3.818615751789989,88.0,True,-4.545454545454541,0.5681818181818121,-5.113636363636365,False,,,,False,,,,False,,,
20260527,5903,全家,TPEx,187.0,187.5,187.0,187.5,187000,52150.0,3.585810162991371,1.4102564102564104,3.604985618408437,0.0,0.2673796791443861,187.5,True,-0.5333333333333301,0.0,-0.5333333333333301,False,,,,False,,,,False,,,
20260527,6212,理銘,TPEx,27.6,27.6,27.6,27.6,27000,7550.0,3.576158940397351,2.0454545454545454,3.7086092715231787,0.0,0.0,27.15,True,2.7624309392265234,3.6832412523020164,0.0,False,,,,False,,,,False,,,
20260527,6579,研揚,TWSE,186.0,189.5,176.0,177.0,2962983,847462.8,3.496298598593354,3.45995259966192,1.3159374075180645,1.4326647564469885,-4.8387096774193505,177.0,True,-4.23728813559322,0.0,-5.36723163841808,False,,,,False,,,,False,,,
20260527,1583,程泰,TWSE,50.2,54.0,49.85,53.8,147241,42263.2,3.483905620019308,3.248460058597197,2.322587972515096,7.923771313941819,7.17131474103585,56.5,True,3.8938053097345104,4.6017699115044275,-2.6548672566371723,False,,,,False,,,,False,,,
