queue_date,model_id,research_id,signal_date,signal_age_trading_days,stock_id,stock_name,market,pending_trigger_ids,expired,broken_signal_low,stop_loss_level,watch_until_trading_date,classification_id,attack_method,price_position_type,approved_for_daily
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260703,9,1434,福懋,TWSE,next_day_continuation_confirmed,False,False,17.45,20260717,high_position_breakout,volume_attack,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260716,1,1439,雋揚,TWSE,next_day_continuation_confirmed,False,False,24.9,20260717,standard_breakout,volume_attack,middle_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260702,10,1515,力山,TWSE,next_day_continuation_confirmed,False,False,37.0,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260703,9,1515,力山,TWSE,next_day_continuation_confirmed,False,False,38.05,20260717,high_position_breakout,volume_attack,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260713,4,1709,和益,TWSE,next_day_continuation_confirmed,False,False,25.7,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260714,3,1810,和成,TWSE,next_day_continuation_confirmed,False,False,26.65,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260703,9,2103,台橡,TWSE,next_day_continuation_confirmed,False,False,21.35,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260713,4,2434,統懋,TWSE,next_day_continuation_confirmed,False,False,64.9,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260714,3,2434,統懋,TWSE,next_day_continuation_confirmed,False,False,72.0,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260702,10,2466,冠西電,TWSE,next_day_continuation_confirmed,False,False,72.3,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260703,9,2466,冠西電,TWSE,next_day_continuation_confirmed,False,False,85.1,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260716,1,2527,宏璟,TWSE,next_day_continuation_confirmed,False,False,45.85,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
20260717,volume_range_breakout,volume_breakout_confirmed_operation,20260706,8,2601,益航,TWSE,next_day_continuation_confirmed,False,False,6.6,20260717,locked_limit_up_breakout,locked_limit_up,high_position,False
