advisory_volume_breakout_rank,signal_date,advisory_score_as_of,advisory_score_source_artifact,advisory_score_source_sha256,stock_id,stock_name,market,close,open,high,low,volume,volume_ma20,volume_ratio,return_1d,return_5d,return_20d,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_previous_20d_high_pct,distance_to_previous_60d_high_pct,ma20,ma60,ema23,previous_20d_high,previous_60d_high,previous_20d_low,previous_60d_low,range_window,range_high,range_low,range_width_pct,range_breakout_pct,close_above_range_high,high_above_range_high,volume_breakout_type,volume_watch_scope,advisory_volume_breakout_score,volume_breakout_notes,false_breakout_risk_calc,overheated_breakout,industry,category,pattern_stage,tdcc_status,repeat_appear_label,volume_breakout_priority,selection_status,not_selected_reason,risk_flags,next_volume_breakout_confirmation,category_cn,breakout_type,volume_confirmed_breakout,platform_breakout_flag,neckline_breakout_flag,breakout_close_near_high_flag,false_breakout_risk,revaluation_priority,細分族群,theme_group,already_priced_in,consecutive_appear_days_any_category,consecutive_appear_days_same_category,appear_count_5d,appear_count_10d,appear_count_20d,repeat_appear_note,multi_category_flags
11,20260821,20260821,data/stock_price_history/6881.csv,97d77746e253542feff14b8c68a932ab023d361e79862dfc2ba0e7abb8a7e0c0,6881,潤德,TPEx,220.0,207.0,220.0,207.0,17000.0,6750.0,2.5185,6.7961,10.0,10.8312,8.414438832080817,-4.9059866003890225,6.2801932367149815,-19.413919413919412,202.925,231.35,207.9307,207.0,273.0,198.5,198.5,20,207.0,198.5,4.2821,6.2802,True,True,bottom_volume_attack,bottom_volume_attack,53.37,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,False,False,,,,,,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,,,,,,,,,,,,,,,,,,
12,20260821,20260821,data/stock_price_history/1815.csv,23c00f0c6385647126e3a882ce907ea395902f4051514b5a4f10440c0e38ce1d,1815,富喬,TPEx,112.0,107.0,112.5,105.0,119804000.0,32852050.0,3.6468,4.6729,22.4044,51.5562,31.76470588235294,20.961166065640867,4.1860465116279055,-5.485232067510548,85.0,92.5917,90.9641,107.5,118.5,59.1,59.1,20,107.5,59.1,81.8951,4.186,True,True,bottom_volume_attack,bottom_volume_attack,52.8,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_high_position|strong_red_body,False,False,,range_rebound,neckline_breakout,,continued_overheated,A_bottom_volume_attack,selected,,continued_overheated,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,區間內轉強 / 挑戰前高觀察,range_rebound,True,True,True,True,False,,,,,4,2,4,7,17,連續上榜但短線過熱，需避免追高並等待量價重新確認。,range_rebound
13,20260821,20260821,data/stock_price_history/1316.csv,d56c3e5212aae54b0bc43417ccfafd342f9cdb0c1b8659e3807e0db90fe679a0,1316,上曜,TWSE,11.2,10.75,11.35,10.75,10948958.0,2384413.25,4.5919,5.1643,12.0,9.2683,10.003437607425237,7.860320884454608,2.752293577981635,-3.4482758620689724,10.1815,10.3838,10.3438,10.9,11.6,9.39,9.39,20,10.9,9.39,16.0809,2.7523,True,True,bottom_volume_attack,bottom_volume_attack,52.47,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_above_mid_high|strong_red_body,False,False,,range_rebound,platform_breakout,,repeated_but_no_breakout,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,區間內轉強 / 挑戰前高觀察,abnormal_volume_up,True,True,True,False,False,,,,,6,6,5,8,17,近 10 日上榜 8 次、近 20 日上榜 17 次，但尚未有效突破，需等待攻擊確認。,pullback_rebound|range_rebound|revenue_pullback
14,20260821,20260821,data/stock_price_history/2601.csv,099f5817b9a16c719eaf195b67466653fb17990e2234ab3563b8902ac7cb1d03,2601,益航,TWSE,7.39,6.78,7.39,6.76,12206714.0,3413774.25,3.5757,9.9702,19.1935,11.1278,15.604223699648024,18.47695390781563,2.6388888888888795,-10.748792270531393,6.3925,6.2375,6.5045,7.2,8.28,6.0,4.96,20,7.2,6.0,20.0,2.6389,True,True,bottom_volume_attack,bottom_volume_attack,52.24,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,False,False,,range_rebound,neckline_breakout,,continued_overheated,A_bottom_volume_attack,selected,,continued_overheated,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,區間內轉強 / 挑戰前高觀察,abnormal_volume_up,True,True,True,True,False,,,,,2,1,3,6,13,連續上榜但短線過熱，需避免追高並等待量價重新確認。,range_rebound
15,20260821,20260821,data/stock_price_history/3229.csv,1537374ec722cb99e49ee248217e4042aed934702a1c50d5a87d9fac5bdbaada,3229,晟鈦,TWSE,61.8,57.4,61.8,54.5,2856128.0,1283315.5,2.2256,8.6116,14.8699,56.4557,27.258687258687253,37.53443924672077,7.66550522648084,7.66550522648084,48.5625,44.9342,49.5707,57.4,57.4,36.5,35.15,20,57.4,36.5,57.2603,7.6655,True,True,bottom_volume_attack,bottom_volume_attack,51.23,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|red_body_confirmed,False,False,,true_breakout,breakout_confirmed,,continued_overheated,A_bottom_volume_attack,selected,,continued_overheated,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,嚴格突破,true_breakout,True,True,True,True,False,,,,,2,1,3,3,4,連續上榜但短線過熱，需避免追高並等待量價重新確認。,true_breakout
16,20260821,20260821,data/stock_price_history/4304.csv,81366ebf104dd33e4118bddc3d8b08ad57e058ee02ffd1d1fa785638678dfe64,4304,勝昱,TPEx,25.7,25.7,25.7,25.7,79000.0,27300.0,2.8938,9.8291,60.1246,41.2088,45.96052818401248,24.868208165506232,9.829059829059839,-10.45296167247387,17.6075,20.5817,18.8487,23.4,28.7,15.35,15.35,20,23.4,15.35,52.443,9.8291,True,True,bottom_volume_attack,bottom_volume_attack,50.09,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2,False,False,,,,,,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,,,,,,,,,,,,,,,,,,
17,20260821,20260821,data/stock_price_history/2606.csv,30eb867ff4ebab801a6ffc510eac71af177cb5add1516fe7d282ad4f1d3bbfbb,2606,裕民,TWSE,72.6,70.5,73.0,70.2,15910892.0,4790783.95,3.3211,3.4188,9.5023,13.4375,10.477060031956164,11.884577034688837,3.124999999999978,-0.5479452054794609,65.715,64.8883,66.4484,70.4,73.0,59.9,59.1,20,70.4,59.9,17.5292,3.125,True,True,bottom_volume_attack,bottom_volume_attack,49.94,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_high_position|strong_red_body,False,False,,range_rebound,neckline_breakout,,repeated_but_no_breakout,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,區間內轉強 / 挑戰前高觀察,range_rebound,True,True,True,True,False,,,,,15,2,5,10,19,近 10 日上榜 10 次、近 20 日上榜 19 次，但尚未有效突破，需等待攻擊確認。,range_rebound
18,20260821,20260821,data/stock_price_history/6830.csv,9ac8013adf07f6ff7046d9323bab917f2c34c435b5fc8f6e13bcb65a70b0e56d,6830,汎銓,TWSE,462.0,428.5,462.0,417.5,4328417.0,2059640.0,2.1015,10.0,13.5135,27.0977,15.34140556734489,-0.8548160416907646,4.054054054054057,-42.25,400.55,465.9833,416.0364,444.0,800.0,307.0,307.0,20,444.0,307.0,44.6254,4.0541,True,True,bottom_volume_attack,bottom_volume_attack,48.43,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,False,False,,range_rebound,neckline_breakout,,first_seen,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,區間內轉強 / 挑戰前高觀察,range_rebound,True,True,True,True,False,,,,,1,1,2,2,2,首次上榜或資料有限，需後續確認。,range_rebound
19,20260821,20260821,data/stock_price_history/6895.csv,211328ee0551a33d124ada6cb75f45f2b1cb39d60d71713ccc9d2aea2ba3286c,6895,宏碩系統,TPEx,134.0,125.0,135.0,125.0,107000.0,52900.0,2.0227,5.098,17.0306,10.7438,12.8421052631579,-2.3679417122040025,5.098039215686279,-24.92997198879552,118.75,137.25,122.9647,127.5,178.5,110.0,110.0,20,127.5,110.0,15.9091,5.098,True,True,bottom_volume_attack,bottom_volume_attack,47.65,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_high_position|strong_red_body,False,False,,,,,,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,,,,,,,,,,,,,,,,,,
20,20260821,20260821,data/stock_price_history/8103.csv,ed0069515e53e3ad44048069cbd045e04e615e6b92bb54a42eef9410a159bb96,8103,瀚荃,TWSE,94.0,91.5,96.3,90.2,6918574.0,1560459.1,4.4337,2.2851,19.1381,19.5929,18.52225444458453,4.752883490276938,2.285092491838947,-21.338912133891206,79.31,89.735,83.0551,91.9,119.5,66.3,66.3,20,91.9,66.3,38.6124,2.2851,True,True,bottom_volume_attack,bottom_volume_attack,47.15,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|red_body_confirmed,False,False,,range_rebound,platform_breakout,,continued_overheated,A_bottom_volume_attack,selected,,continued_overheated,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,區間內轉強 / 挑戰前高觀察,range_rebound,True,True,True,False,True,,,,,2,2,2,2,6,連續上榜但短線過熱，需避免追高並等待量價重新確認。,range_rebound
21,20260821,20260821,data/stock_price_history/2451.csv,d39b38a89d2377bad8fcabec7df54749d6b5e66f00c4e32fa3409c57e8d8be65,2451,創見,TWSE,312.5,285.0,312.5,285.0,18341659.0,9151518.1,2.0042,9.8418,6.8376,18.3712,9.303952430919903,9.565814343970747,2.12418300653594,-18.40731070496083,285.9,285.2167,283.8556,306.0,383.0,250.0,216.0,20,306.0,250.0,22.4,2.1242,True,True,bottom_volume_attack,bottom_volume_attack,45.2,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,False,False,,range_rebound,neckline_breakout,,repeated_but_no_breakout,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,區間內轉強 / 挑戰前高觀察,range_rebound,True,True,True,True,False,,,,,5,5,5,8,17,近 10 日上榜 8 次、近 20 日上榜 17 次，但尚未有效突破，需等待攻擊確認。,pullback_rebound|range_rebound|revenue_pullback
22,20260821,20260821,data/stock_price_history/6796.csv,70b405955a0a630a5913e10fd3169721e59972349d0c3565d7f89a172a8873e3,6796,晉弘,TWSE,65.3,62.5,67.2,61.0,197015.0,59390.1,3.3173,4.48,8.6522,10.8659,11.395428181508027,10.784431818374607,3.650793650793638,3.4865293185419866,58.62,58.9433,59.5997,63.0,63.1,52.5,52.5,20,63.0,52.5,20.0,3.6508,True,True,bottom_volume_attack,bottom_volume_attack,44.7,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|red_body_confirmed,False,False,,,,,,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,,,,,,,,,,,,,,,,,,
23,20260821,20260821,data/stock_price_history/6278.csv,24b109f40ba4d92643afbaa81eda42a2c1671f269471069895442435e9fb94b9,6278,台表科,TWSE,187.0,180.0,190.5,178.0,17236125.0,5716297.65,3.0153,3.8889,8.0925,17.2414,15.71782178217822,1.1357490535424564,3.0303030303030276,-25.940594059405942,161.6,184.9,170.5663,181.5,252.5,128.0,128.0,20,181.5,128.0,41.7969,3.0303,True,True,bottom_volume_attack,bottom_volume_attack,43.58,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_above_mid_high|red_body_confirmed,False,False,,range_rebound,platform_breakout,,stale_signal,A_bottom_volume_attack,selected,,stale_signal,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,區間內轉強 / 挑戰前高觀察,range_rebound,True,True,True,False,False,,,,,1,1,3,4,8,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。,range_rebound
24,20260821,20260821,data/stock_price_history/1402.csv,6cfdaac216633b518bf2bdd94e7e73c903ec5129276a7904318a4469bda9efc3,1402,遠東新,TWSE,30.35,29.25,30.6,29.05,40320281.0,18928766.45,2.1301,3.9384,11.9926,10.9689,10.223352097330674,9.907221646833886,3.056027164685915,1.5050167224080369,27.535,27.6142,27.7943,29.45,29.9,26.6,23.3,20,29.45,26.6,10.7143,3.056,True,True,bottom_volume_attack,bottom_volume_attack,43.07,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_above_mid_high|strong_red_body,False,False,,true_breakout,breakout_confirmed,,continued_2_3d,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,嚴格突破,true_breakout,True,True,True,True,False,,,,,2,1,3,4,12,連續 2 日上榜，訊號延續，但仍需量價與籌碼確認。,true_breakout
