target_return_pct,filter_metric,filter_rule,threshold,selected_stock_days,hit_stock_days,hit_rate_pct,selected_unique_stocks,hit_unique_stocks,coverage_of_all_hits_pct,base_hit_rate_pct,total_hit_stock_days
20.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.5,0.5,164107,11907,7.26,1966,1127,78.94,6.93,15083
20.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.8,0.8,110212,9267,8.41,1965,1101,61.44,6.93,15083
20.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1,1.0,82852,7759,9.36,1965,1071,51.44,6.93,15083
20.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.2,1.2,62800,6539,10.41,1964,1045,43.35,6.93,15083
20.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.5,1.5,43323,5222,12.05,1963,1009,34.62,6.93,15083
20.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=2,2.0,25919,3687,14.23,1962,926,24.44,6.93,15083
20.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=3,3.0,12157,2095,17.23,1894,755,13.89,6.93,15083
20.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=5,5.0,4677,908,19.41,1483,499,6.02,6.93,15083
20.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=0.5,0.5,163974,11489,7.01,1966,1112,76.17,6.93,15083
20.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=0.8,0.8,109915,8487,7.72,1965,1067,56.27,6.93,15083
20.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=1,1.0,82592,6831,8.27,1965,1010,45.29,6.93,15083
20.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=1.2,1.2,62610,5570,8.9,1964,957,36.93,6.93,15083
20.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=1.5,1.5,43159,4264,9.88,1963,895,28.27,6.93,15083
20.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=2,2.0,25820,2820,10.92,1962,759,18.7,6.93,15083
20.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=3,3.0,12122,1515,12.5,1894,575,10.04,6.93,15083
20.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=5,5.0,4678,622,13.3,1486,340,4.12,6.93,15083
10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.5,0.5,164107,37712,22.98,1966,1680,78.59,22.05,47983
10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.8,0.8,110212,28209,25.6,1965,1661,58.79,22.05,47983
10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1,1.0,82852,23165,27.96,1965,1650,48.28,22.05,47983
10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.2,1.2,62800,19102,30.42,1964,1629,39.81,22.05,47983
10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.5,1.5,43323,14909,34.41,1963,1591,31.07,22.05,47983
10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=2,2.0,25919,10367,40.0,1962,1517,21.61,22.05,47983
10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=3,3.0,12157,5900,48.53,1894,1349,12.3,22.05,47983
10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=5,5.0,4677,2615,55.91,1483,1026,5.45,22.05,47983
10.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=0.5,0.5,163974,36355,22.17,1966,1675,75.77,22.05,47983
10.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=0.8,0.8,109915,25972,23.63,1965,1647,54.13,22.05,47983
10.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=1,1.0,82592,20636,24.99,1965,1618,43.01,22.05,47983
10.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=1.2,1.2,62610,16526,26.4,1964,1582,34.44,22.05,47983
10.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=1.5,1.5,43159,12411,28.76,1963,1503,25.87,22.05,47983
10.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=2,2.0,25820,8233,31.89,1962,1385,17.16,22.05,47983
10.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=3,3.0,12122,4438,36.61,1894,1168,9.25,22.05,47983
10.0,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=5,5.0,4678,1901,40.64,1486,818,3.96,22.05,47983
