rule_name,volume_ratio_threshold,min_signal_return_pct,horizon,selected_stock_days,selected_stocks,mature_count,sample_status,close_win_rate_pct,avg_close_return_pct,median_close_return_pct,avg_mfe_pct,median_mfe_pct,avg_mae_pct,median_mae_pct,hit_rate_high_ge_5pct,close_hit_rate_ge_5pct,hit_rate_high_ge_10pct,close_hit_rate_ge_10pct,hit_rate_high_ge_20pct,close_hit_rate_ge_20pct
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+1,1672,893,1672,ok,36.12,-0.78,-0.93,2.7,1.6,-3.43,-2.98,20.45,9.51,2.15,1.08,0.06,0.06
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+10,1672,893,1588,ok,37.78,-0.4,-2.36,9.55,5.63,-7.94,-7.03,52.9,21.91,32.3,13.29,13.98,7.12
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+11,1672,893,1579,ok,38.38,-0.29,-2.36,10.0,5.85,-8.2,-7.22,54.27,21.66,33.57,14.06,15.14,7.28
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+12,1672,893,1574,ok,38.18,-0.18,-2.35,10.48,6.05,-8.43,-7.46,55.27,22.81,34.82,14.68,16.26,7.31
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+13,1672,893,1562,ok,38.03,-0.07,-2.54,10.9,6.23,-8.66,-7.7,56.21,22.79,35.79,14.92,16.84,8.32
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+14,1672,893,1543,ok,38.89,0.04,-2.5,11.39,6.37,-8.86,-7.85,57.16,23.85,37.27,15.75,17.82,8.43
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+15,1672,893,1532,ok,39.16,0.18,-2.54,11.87,6.85,-9.05,-8.01,57.96,25.0,39.1,16.32,18.67,9.01
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+16,1672,893,1513,ok,39.72,0.55,-2.56,12.44,7.28,-9.18,-8.23,59.02,26.11,40.98,18.18,19.76,9.52
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+17,1672,893,1509,ok,38.37,0.56,-2.73,12.9,7.45,-9.36,-8.41,59.97,25.71,41.88,17.96,20.61,10.01
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+18,1672,893,1498,ok,38.85,0.62,-3.09,13.37,7.71,-9.49,-8.56,60.41,25.43,42.92,18.36,21.36,10.68
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+19,1672,893,1497,ok,38.28,0.87,-2.76,13.85,7.94,-9.64,-8.73,60.99,25.92,43.95,18.5,22.11,10.69
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+2,1672,893,1669,ok,36.07,-0.94,-1.51,4.29,2.7,-4.75,-4.0,32.17,15.22,12.64,6.41,0.54,0.42
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+20,1672,893,1491,ok,39.17,0.98,-2.69,14.23,8.02,-9.76,-8.88,61.44,27.03,44.4,18.51,22.8,10.73
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+3,1672,893,1663,ok,36.62,-1.05,-1.69,5.32,3.16,-5.61,-4.76,37.4,15.39,17.38,7.7,3.85,2.77
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+4,1672,893,1659,ok,36.29,-0.92,-2.05,6.21,3.65,-6.23,-5.44,41.23,18.08,21.4,9.95,5.55,3.19
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+5,1672,893,1650,ok,36.24,-0.82,-2.03,6.97,4.09,-6.62,-5.85,43.88,18.0,24.12,10.48,7.45,3.88
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+6,1672,893,1627,ok,38.11,-0.68,-2.01,7.59,4.5,-6.98,-6.11,46.59,19.98,26.43,11.86,8.54,4.12
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+7,1672,893,1619,ok,38.23,-0.59,-2.14,8.15,4.8,-7.29,-6.4,48.67,20.57,27.86,12.66,10.19,5.19
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+8,1672,893,1612,ok,38.65,-0.53,-2.08,8.68,5.05,-7.51,-6.58,50.37,20.72,29.47,12.72,11.72,5.83
volume_ratio_prev20_ge_10x_signal_return_ge_0pct,10,0,D+9,1672,893,1599,ok,38.46,-0.52,-2.2,9.11,5.31,-7.71,-6.81,51.53,20.58,31.08,13.88,12.95,6.19
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+1,1291,753,1291,ok,36.56,-0.82,-1.16,2.93,1.93,-3.69,-3.27,23.32,10.69,2.32,1.32,0.08,0.08
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+10,1291,753,1220,ok,37.05,-0.58,-2.73,10.09,6.24,-8.39,-7.52,56.23,22.95,35.0,14.26,15.08,7.54
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+11,1291,753,1212,ok,37.38,-0.53,-2.77,10.53,6.37,-8.67,-7.78,57.51,22.52,36.3,15.02,16.5,7.59
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+12,1291,753,1209,ok,38.3,-0.4,-2.88,11.03,6.61,-8.93,-8.04,58.4,23.49,37.39,15.8,17.62,7.53
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+13,1291,753,1199,ok,37.45,-0.28,-3.04,11.46,6.9,-9.19,-8.39,59.22,23.19,38.45,16.01,18.18,8.51
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+14,1291,753,1183,ok,37.62,-0.26,-3.25,11.97,7.14,-9.42,-8.71,60.1,24.18,39.9,16.65,19.44,8.96
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+15,1291,753,1177,ok,38.66,-0.05,-3.31,12.44,7.47,-9.63,-8.95,60.58,25.32,41.46,17.08,20.05,9.26
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+16,1291,753,1161,ok,38.85,0.31,-3.43,13.06,7.82,-9.77,-9.14,61.58,26.53,43.41,19.12,21.19,9.73
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+17,1291,753,1159,ok,37.88,0.41,-3.34,13.56,8.11,-9.96,-9.32,62.55,26.83,44.35,18.98,22.26,10.53
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+18,1291,753,1150,ok,38.0,0.46,-3.48,14.03,8.51,-10.09,-9.43,62.96,26.26,45.48,19.04,22.96,11.13
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+19,1291,753,1150,ok,37.22,0.66,-3.52,14.55,8.9,-10.24,-9.58,63.3,26.78,46.52,19.13,23.74,11.04
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+2,1291,753,1288,ok,35.25,-1.0,-1.96,4.68,3.13,-5.09,-4.44,36.26,17.0,14.29,7.22,0.7,0.54
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+20,1291,753,1145,ok,38.08,0.75,-3.52,14.94,9.0,-10.37,-9.76,63.58,27.6,46.99,19.21,24.54,11.53
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+3,1291,753,1283,ok,35.39,-1.18,-2.11,5.75,3.61,-6.01,-5.16,41.31,16.6,19.49,8.5,4.6,3.2
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+4,1291,753,1280,ok,35.62,-0.98,-2.36,6.69,4.18,-6.64,-5.87,44.84,19.3,23.44,10.94,6.25,3.75
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+5,1291,753,1271,ok,35.88,-0.93,-2.55,7.48,4.64,-7.05,-6.16,47.21,19.12,26.28,11.25,8.42,4.48
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+6,1291,753,1252,ok,37.7,-0.74,-2.38,8.14,4.99,-7.4,-6.53,50.0,21.33,28.83,12.94,9.5,4.55
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+7,1291,753,1245,ok,37.59,-0.66,-2.45,8.72,5.4,-7.72,-6.73,52.21,22.01,30.6,13.73,11.24,5.54
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+8,1291,753,1239,ok,37.93,-0.67,-2.5,9.25,5.66,-7.93,-6.93,53.75,21.79,32.2,13.72,12.91,6.3
volume_ratio_prev20_ge_10x_signal_return_ge_3pct,10,3,D+9,1291,753,1227,ok,37.98,-0.7,-2.67,9.66,5.92,-8.15,-7.27,54.69,21.52,33.9,14.67,14.26,6.44
volume_ratio_prev20_ge_10x_signal_return_ge_5pct,10,5,D+1,1039,663,1039,ok,37.92,-0.76,-1.01,3.06,2.2,-3.77,-3.37,24.83,11.36,2.21,1.35,0.1,0.1
volume_ratio_prev20_ge_10x_signal_return_ge_5pct,10,5,D+10,1039,663,980,ok,36.53,-0.6,-2.9,10.56,6.73,-8.64,-7.76,58.67,23.47,37.04,14.49,15.61,7.96
volume_ratio_prev20_ge_10x_signal_return_ge_5pct,10,5,D+11,1039,663,973,ok,37.72,-0.57,-2.8,10.94,6.95,-8.91,-8.1,59.3,22.71,38.23,15.31,16.75,7.71
volume_ratio_prev20_ge_10x_signal_return_ge_5pct,10,5,D+12,1039,663,971,ok,38.21,-0.48,-3.09,11.4,7.28,-9.17,-8.56,60.35,23.79,39.34,16.07,17.92,7.72
volume_ratio_prev20_ge_10x_signal_return_ge_5pct,10,5,D+13,1039,663,962,ok,37.32,-0.46,-3.19,11.77,7.44,-9.43,-8.77,61.02,22.97,40.44,16.01,18.3,8.52
volume_ratio_prev20_ge_10x_signal_return_ge_5pct,10,5,D+14,1039,663,950,ok,37.47,-0.48,-3.51,12.24,7.67,-9.67,-9.04,61.89,23.47,41.89,16.53,19.58,8.95
volume_ratio_prev20_ge_10x_signal_return_ge_5pct,10,5,D+15,1039,663,946,ok,38.16,-0.35,-3.69,12.66,7.9,-9.89,-9.25,62.26,24.63,43.13,16.6,20.08,8.99
volume_ratio_prev20_ge_10x_signal_return_ge_5pct,10,5,D+16,1039,663,935,ok,38.18,0.0,-3.7,13.17,8.19,-10.05,-9.34,62.78,25.56,44.71,18.61,21.28,9.63
volume_ratio_prev20_ge_10x_signal_return_ge_5pct,10,5,D+17,1039,663,933,ok,36.76,0.07,-3.6,13.64,8.65,-10.25,-9.67,63.67,26.05,45.55,18.22,22.29,10.5
